Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Quality,0,0,0,0,0,5,0,0,0,-1,0,1
Tonemapping,0,0,0,0,0,7,0,0,0,-1,0,2
AmplifyColorBase,68,32,5,19,5,877,94,0,0,0.3100000023841858,5,0
VersionInfo,8,6,1,3,4,55,6,0,0,0,0,1
VolumeEffectField,8,4,0,8,4,53,6,0,0,0.5,0,4
VolumeEffectComponent,2,9,0,2,9,104,21,0,0,0,3,3
VolumeEffect,2,10,0,2,10,213,39,0,0,0.2000000029802322,5,3
VolumeEffectContainer,1,6,0,1,6,60,11,0,0,0,1,2
VolumeEffectFieldFlags,3,2,0,3,2,20,2,0,0,0,1,3
VolumeEffectComponentFlags,3,6,0,3,6,68,14,0,0,0,3,3
VolumeEffectFlags,1,7,0,1,7,75,18,0,0,0,4,2
AstarColor,16,3,0,15,3,68,4,0,0,0,1,3
GraphHitInfo,5,1,1,5,1,27,1,0,0,0,1,3
NNConstraint,9,3,2,9,3,88,6,1,0,1,2,11
PathNNConstraint,0,1,1,0,1,18,2,0,1,-1,1,2
NNInfo,4,3,0,4,3,50,3,0,0,0,1,10
Progress,2,1,0,2,1,9,1,0,0,0,0,0
IUpdatableGraph,0,3,0,0,0,15,3,2,0,-1,1,1
TagMask,2,3,0,2,3,24,3,0,0,0.6700000166893005,0,0
GraphUpdateObject,16,5,0,14,5,182,15,0,0,0.800000011920929,4,5
IRaycastableGraph,0,4,0,0,0,6,4,0,0,-1,2,4
PathThreadInfo,4,1,0,4,1,14,1,0,0,0,1,0
IntRect,5,15,2,4,15,186,15,0,0,0,1,2
GraphUpdateThreading,0,0,0,0,0,5,0,0,0,-1,0,2
PathLog,0,0,0,0,0,7,0,0,0,-1,0,2
Heuristic,0,0,0,0,0,6,0,0,0,-1,0,1
GraphDebugMode,0,0,0,0,0,9,0,0,0,-1,0,1
ThreadCount,0,0,0,0,0,13,0,0,0,-1,0,0
PathState,0,0,0,0,0,7,0,0,0,-1,0,1
PathCompleteState,0,0,0,0,0,6,0,0,0,-1,0,2
AstarData,7,30,6,5,29,618,83,0,0,0.2300000041723251,13,7
AstarSplines,0,3,0,0,3,46,3,0,0,-1,0,5
VectorMath,0,45,0,0,45,731,79,0,0,-1,2,11
AstarMath,0,42,0,0,41,295,45,0,0,-1,4,2
Polygon,0,50,0,0,50,618,75,0,0,-1,3,4
GraphUpdateScene,19,12,0,16,12,356,36,0,1,0,3,0
GraphUpdateShape,3,4,2,0,3,72,12,0,0,0.75,3,3
AnimationLink,6,3,0,6,2,117,15,0,1,0,2,1
LinkClip,3,0,1,3,0,12,0,0,0,-1,0,1
AstarEnumFlagAttribute,1,2,0,1,2,9,2,0,0,1,0,0
BinaryHeapM,5,8,0,2,5,211,19,0,0,0,2,1
Tuple,2,1,0,2,1,9,1,0,0,0,1,1
GraphEditorBase,1,0,0,1,0,6,0,1,0,-1,1,1
GraphModifier,5,17,0,0,8,181,27,4,0,0,1,3
EventType,0,0,0,0,0,8,0,0,0,-1,0,2
Int3,7,9,6,6,9,244,10,0,0,0,0,20
Int2,3,10,1,2,10,99,11,0,0,0,1,4
NodeLink,4,10,2,4,9,166,29,0,1,0.2000000029802322,4,0
NodeLink2,11,16,6,3,8,310,50,1,1,0.1899999976158142,10,2
NodeLink3Node,3,4,0,3,3,45,10,0,1,0.5,2,2
NodeLink3,13,14,4,3,8,313,47,0,1,0.1400000005960464,11,1
PathPool,2,4,0,0,4,71,6,0,0,0,1,3
PathPool<T>,0,5,0,0,5,35,7,0,0,-1,2,0
ThreadControlQueue,9,12,3,0,11,266,27,0,0,0,1,0
QueueTerminationException,0,0,0,0,0,2,0,0,0,-1,0,0
GraphNode,14,17,8,3,16,293,20,3,0,0.6499999761581421,5,33
MeshNode,2,15,0,2,14,184,40,1,1,0.3300000131130219,6,2
Path,27,32,9,11,26,688,72,1,0,0.25,12,21
PathNode,11,0,6,3,0,76,0,0,0,-1,1,14
PathHandler,13,12,1,4,12,171,22,0,0,0.1700000017881393,4,12
MineBotAI,5,4,0,4,3,107,9,0,0,0.5,0,0
TargetMover,7,4,0,4,3,73,15,0,0,0,0,0
NavGraph,10,22,0,10,21,400,32,3,0,0.3199999928474426,10,13
GraphCollision,19,7,0,16,7,256,22,0,0,0,4,3
ColliderType,0,0,0,0,0,5,0,0,0,-1,0,2
RayDirection,0,0,0,0,0,5,0,0,0,-1,0,1
GridGraph,33,42,6,32,37,1650,159,0,1,0.07000000029802322,17,4
NumNeighbours,0,0,0,0,0,5,0,0,0,-1,0,2
INavmesh,0,1,0,0,0,3,1,1,0,-1,0,1
NavMeshGraph,10,28,3,7,26,682,70,0,1,0.3899999856948853,21,2
GridNode,6,16,4,0,16,355,43,0,1,0.119999997317791,9,3
GridNodeBase,9,11,3,2,10,271,42,1,1,0.1800000071525574,6,1
PointNode,4,13,0,4,13,203,37,1,1,0.2300000041723251,6,3
INavmeshHolder,0,3,0,0,0,5,3,1,0,-1,0,2
TriangleMeshNode,4,18,0,3,18,285,39,0,2,0.1099999994039536,10,2
PointGraph,11,17,1,11,14,419,49,0,1,0.1800000071525574,8,4
GetNearestHelper,8,2,0,6,2,31,6,0,0,0,3,0
BBTree,0,2,0,0,2,4,2,0,0,-1,0,1
HeuristicOptimizationMode,0,0,0,0,0,6,0,0,0,-1,0,1
EuclideanEmbedding,5,5,0,5,4,34,5,0,0,1,1,0
ObjImporter,0,3,0,0,1,231,7,0,0,-1,1,1
meshStruct,11,0,0,11,0,13,0,0,0,-1,0,1
AlternativePath,11,6,1,2,3,135,11,0,1,0.3300000131130219,3,0
FunnelModifier,0,3,1,0,3,198,25,0,1,-1,4,0
IPathModifier,0,2,1,0,0,6,2,2,0,-1,1,0
PathModifier,1,4,1,1,4,30,6,1,1,1,1,0
MonoModifier,1,6,1,1,6,35,8,4,1,0.8299999833106995,1,1
RaycastModifier,9,3,1,8,3,150,22,0,2,0.6700000166893005,6,0
SimpleSmoothModifier,9,7,1,9,7,358,38,0,2,0.2899999916553497,4,0
SmoothType,0,0,0,0,0,6,0,0,0,-1,0,1
StartEndModifier,9,3,1,7,2,176,12,0,2,0,8,0
Exactness,0,0,0,0,0,14,0,0,0,-1,0,1
RelevantGraphSurface,5,7,4,1,5,82,12,0,0,0,0,0
ABPath,13,14,1,11,11,457,51,0,1,0.2899999916553497,13,1
AstarProfiler,4,10,0,2,9,204,22,0,0,0.300000011920929,2,3
ProfilePoint,4,0,0,4,0,8,0,0,0,-1,0,1
GraphUpdateUtilities,0,2,0,0,2,92,4,0,0,-1,3,0
PathUtilities,2,10,0,0,9,497,50,0,0,0.6000000238418579,10,1
Profile,8,9,0,1,9,85,18,0,0,0,0,0
UnityReferenceHelper,1,3,0,0,3,33,4,0,0,0,1,4
ArrayPool<T>,2,2,0,0,2,57,4,0,0,0,0,0
ListPool<T>,3,6,0,0,6,118,6,0,0,0,0,0
IAstarPooledObject,0,1,0,0,0,3,1,0,0,-1,0,0
ObjectPool<T>,1,6,0,0,5,62,11,0,0,0.3300000131130219,0,0
StackPool<T>,1,6,0,0,5,58,11,0,0,0.3300000131130219,0,0
Checksum,1,2,0,0,2,74,3,0,0,0,0,1
Memory,0,3,0,0,3,113,12,0,0,-1,0,0
Guid,7,9,0,2,8,157,21,0,0,0.3300000131130219,0,5
LockFreeStack,1,2,0,1,2,48,4,0,0,0,1,0
WindowsStoreCompatibility,0,2,0,0,2,17,2,0,0,-1,0,3
GraphSerializationContext,5,11,0,4,11,132,24,0,0,0.1800000071525574,4,13
AstarSerializer,13,39,0,0,19,669,90,0,0,0.07999999821186066,12,1
GraphMeta,4,1,0,4,1,35,3,0,0,0,0,3
SerializeSettings,3,0,1,3,0,26,0,0,0,-1,0,2
JsonMemberAttribute,0,0,0,0,0,1,0,0,0,-1,0,6
JsonOptInAttribute,0,0,0,0,0,1,0,0,0,-1,0,1
TinyJsonSerializer,3,5,0,0,1,105,11,0,0,0,5,1
TinyJsonDeserializer,3,10,0,0,1,257,32,0,0,0,3,1
