Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AppButtonInput,2,1,0,2,0,15,3,0,0,0,1,0
Vector3Event,0,0,0,0,0,2,0,0,0,-1,0,0
Vector2Event,0,0,0,0,0,2,0,0,0,-1,0,0
FloatEvent,0,0,0,0,0,2,0,0,0,-1,0,0
BoolEvent,0,0,0,0,0,2,0,0,0,-1,0,0
ButtonEvent,0,0,0,0,0,2,0,0,0,-1,0,1
TouchPadEvent,0,0,0,0,0,2,0,0,0,-1,0,0
TransformEvent,0,0,0,0,0,2,0,0,0,-1,0,0
GameObjectEvent,0,0,0,0,0,2,0,0,0,-1,0,0
AutoPlayVideo,5,2,0,2,0,39,6,0,0,0,0,0
PositionSwapper,2,12,0,1,2,67,13,0,0,"0,17000000178813934",0,0
ToggleAction,7,4,0,5,2,52,8,0,0,0,0,0
BaseAndroidDevice,1,8,0,0,7,98,13,1,1,"0,8799999952316284",1,1
BaseVRDevice,18,27,1,3,24,221,34,2,0,"0,6700000166893005",0,1
EditorDevice,6,10,1,0,10,89,11,0,1,"0,8999999761581421",0,0
GvrDevice,13,28,0,0,10,215,33,1,2,0,1,0
UnityVRDevice,0,14,0,0,12,36,14,0,3,-1,0,0
ControllerProviderFactory,0,1,0,0,0,24,2,0,0,-1,2,0
AndroidNativeControllerProvider,37,35,0,0,3,368,41,0,1,"0,10999999940395355",4,0
gvr_quat,4,0,0,0,0,7,0,0,0,-1,0,1
gvr_vec3,3,0,0,0,0,6,0,0,0,-1,0,1
gvr_vec2,2,0,0,0,0,5,0,0,0,-1,0,1
DummyControllerProvider,1,4,0,0,3,9,4,0,1,1,1,1
EmulatorControllerProvider,4,13,0,0,3,145,19,0,1,"0,3100000023841858",12,1
ControllerState,22,2,0,0,2,72,2,0,0,0,0,4
EmulatorClientSocket,8,9,1,0,1,213,26,0,0,0,5,1
EmulatorConfig,4,0,1,3,0,39,0,0,0,-1,1,2
Mode,0,0,0,0,0,5,0,0,0,-1,0,3
EmulatorGyroEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorAccelEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorTouchEvent,6,7,0,2,5,114,13,0,0,0,4,2
Action,0,0,0,0,0,11,0,0,0,-1,0,3
Pointer,3,2,0,3,2,16,2,0,0,0,0,2
EmulatorOrientationEvent,2,1,0,2,1,10,1,0,0,0,1,2
EmulatorButtonEvent,2,1,0,2,1,18,1,0,0,0,2,2
ButtonCode,0,0,0,0,0,8,0,0,0,-1,0,2
EmulatorManager,11,10,2,0,3,213,19,0,0,"0,20000000298023224",11,2
IControllerProvider,0,3,0,0,0,12,3,3,0,-1,1,0
PhoneEvent,26,23,19,7,19,3468,45,0,0,"0,8299999833106995",9,0
Types,0,0,0,0,0,3114,0,0,0,-1,0,0
Type,0,0,0,0,0,10,0,0,0,-1,0,0
MotionEvent,12,22,11,3,19,749,34,0,0,"0,7699999809265137",3,0
Pointer,13,21,11,3,18,355,31,0,0,"0,8600000143051147",2,0
Builder,16,164,96,0,148,1958,274,0,0,"0,14000000059604645",11,0
GyroscopeEvent,16,21,13,4,18,401,34,0,0,"0,8600000143051147",2,0
AccelerometerEvent,16,21,13,4,18,401,34,0,0,"0,8600000143051147",2,0
DepthMapEvent,16,22,13,4,19,425,37,0,0,"0,7699999809265137",2,0
OrientationEvent,19,21,15,5,18,447,37,0,0,"0,8600000143051147",2,0
KeyEvent,10,21,9,2,18,309,28,0,0,"0,8600000143051147",2,0
PhoneEvent,26,23,19,7,19,3468,45,0,0,"0,3499999940395355",8,5
Types,0,0,0,0,0,3114,0,0,0,-1,0,3
Type,0,0,0,0,0,10,0,0,0,-1,0,5
MotionEvent,12,22,11,3,19,749,34,0,0,"0,27000001072883606",2,7
Pointer,13,21,11,3,18,355,31,0,0,"0,33000001311302185",1,6
Builder,16,164,96,0,148,1958,274,0,0,0,10,18
GyroscopeEvent,16,21,13,4,18,401,34,0,0,"0,33000001311302185",1,6
AccelerometerEvent,16,21,13,4,18,401,34,0,0,"0,33000001311302185",1,6
DepthMapEvent,16,22,13,4,19,425,37,0,0,"0,27000001072883606",1,5
OrientationEvent,19,21,15,5,18,447,37,0,0,"0,33000001311302185",1,6
KeyEvent,10,21,9,2,18,309,28,0,0,"0,33000001311302185",1,6
