Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
IVRSystem,44,0,0,0,0,224,0,0,0,-1,0,1
IVRExtendedDisplay,3,0,0,0,0,19,0,0,0,-1,0,1
IVRTrackedCamera,12,0,0,0,0,64,0,0,0,-1,0,1
IVRApplications,30,0,0,0,0,154,0,0,0,-1,0,1
IVRChaperone,8,0,0,0,0,44,0,0,0,-1,0,1
IVRChaperoneSetup,20,0,0,0,0,104,0,0,0,-1,0,1
IVRCompositor,35,0,0,0,0,179,0,0,0,-1,0,1
IVROverlay,72,0,0,0,0,364,0,0,0,-1,0,1
IVRRenderModels,18,0,0,0,0,94,0,0,0,-1,0,1
IVRNotifications,2,0,0,0,0,14,0,0,0,-1,0,1
IVRSettings,12,0,0,0,0,64,0,0,0,-1,0,1
IVRScreenshots,7,0,0,0,0,39,0,0,0,-1,0,1
IVRResources,2,0,0,0,0,14,0,0,0,-1,0,1
CVRSystem,1,45,0,0,44,227,45,0,0,0,20,3
CVRExtendedDisplay,1,4,0,0,3,30,4,0,0,0,2,1
CVRTrackedCamera,1,13,0,0,12,76,13,0,0,0,7,1
CVRApplications,1,31,0,0,30,158,31,0,0,0,5,1
CVRChaperone,1,9,0,0,8,46,9,0,0,0,4,1
CVRChaperoneSetup,1,21,0,0,20,116,21,0,0,0,4,1
CVRCompositor,1,36,0,0,35,166,36,0,0,0,10,2
CVROverlay,1,73,0,0,72,388,73,0,0,0,17,1
CVRRenderModels,1,19,0,0,18,95,19,0,0,0,5,1
CVRNotifications,1,3,0,0,2,19,3,0,0,0,5,0
CVRSettings,1,13,0,0,12,61,13,0,0,0,2,1
CVRScreenshots,1,8,0,0,7,45,8,0,0,0,4,1
CVRResources,1,3,0,0,2,18,3,0,0,0,1,0
OpenVRInterop,0,8,0,0,0,19,8,0,0,-1,2,2
EVREye,0,0,0,0,0,5,0,0,0,-1,0,3
EGraphicsAPIConvention,0,0,0,0,0,5,0,0,0,-1,0,3
EColorSpace,0,0,0,0,0,6,0,0,0,-1,0,2
ETrackingResult,0,0,0,0,0,8,0,0,0,-1,0,1
ETrackedDeviceClass,0,0,0,0,0,9,0,0,0,-1,0,2
ETrackedControllerRole,0,0,0,0,0,6,0,0,0,-1,0,1
ETrackingUniverseOrigin,0,0,0,0,0,6,0,0,0,-1,0,4
ETrackedDeviceProperty,0,0,0,0,0,90,0,0,0,-1,0,1
ETrackedPropertyError,0,0,0,0,0,13,0,0,0,-1,0,1
EVRSubmitFlags,0,0,0,0,0,6,0,0,0,-1,0,1
EVRState,0,0,0,0,0,12,0,0,0,-1,0,0
EVREventType,0,0,0,0,0,105,0,0,0,-1,0,1
EDeviceActivityLevel,0,0,0,0,0,8,0,0,0,-1,0,1
