Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
KVR_AvionicsComputer,4,9,0,0,0,79,12,0,0,0.6700000166893005,4,0
KVR_Button,7,10,6,1,6,220,22,0,1,0,9,1
ActuationType,0,0,0,0,0,4,0,0,0,-1,0,1
State,0,0,0,0,0,11,0,0,0,-1,0,8
StateInput,0,0,0,0,0,24,0,0,0,-1,0,5
FSMState,0,0,0,0,0,27,0,0,0,-1,0,5
KVR_Cover,6,9,4,0,5,186,17,0,1,0.2199999988079071,6,2
IActionableCollider,0,2,0,0,0,6,2,6,0,-1,0,1
KVR_Label,0,2,11,0,1,124,13,0,0,-1,3,2
KVR_Switch,5,9,4,1,6,120,14,3,1,0.5600000023841858,5,1
KVR_SwitchTwoState,3,5,2,0,4,114,11,0,2,0.4000000059604645,5,0
KVR_SwitchThreeState,4,5,3,0,4,147,12,0,2,0.4000000059604645,6,0
KVR_ActionableCollider,3,3,0,1,0,36,5,0,0,0,1,0
KVR_SwitchMomentary,2,5,1,0,4,109,11,0,2,0,5,0
KVR_ExternalCamera,6,2,11,4,1,153,2,0,0,1,0,1
Core,10,12,4,0,2,444,32,0,0,0.25,25,3
AppGUI,13,8,2,0,5,270,24,0,0,0,4,1
TextFieldFloat,3,2,0,0,2,24,4,0,0,0,0,0
AssetLoader,3,6,3,0,2,111,14,0,0,0,1,3
DeviceManager,7,21,6,2,11,358,36,0,0,0.3799999952316284,11,10
Globals,3,0,1,3,0,20,0,0,0,-1,0,3
Manipulator,5,3,3,5,1,50,3,0,0,1,5,4
FingertipManipulator,1,2,1,0,0,30,5,0,0,0,0,1
MathUtils,0,6,0,0,6,91,6,0,0,-1,2,1
Scene,6,16,14,3,8,429,36,0,0,0.4399999976158142,14,4
Types,0,0,0,0,0,11,0,0,0,-1,0,0
CameraData,4,0,0,4,0,7,0,0,0,-1,0,2
Utils,0,22,1,0,22,279,46,0,0,-1,5,18
ConfigUtils,0,4,0,0,4,76,12,0,0,-1,0,12
Events,5,8,0,2,8,162,11,0,0,0.6200000047683716,3,9
Action,0,1,1,0,1,5,1,4,0,-1,0,8
ActionNoArgs,2,2,0,0,2,19,3,0,1,0,1,1
Action<T>,2,2,0,0,2,18,3,0,1,0,2,0
"Action<T0,T1>",2,2,0,0,2,18,3,0,1,0,2,0
"Action<T0,T1,T2>",2,2,0,0,2,18,3,0,1,0,2,0
Event,0,3,0,0,3,6,3,0,0,-1,0,14
Event<T>,0,3,0,0,3,6,3,0,0,-1,1,0
"Event<T0,T1>",0,3,0,0,3,6,3,0,0,-1,1,0
"Event<T0,T1,T2>",0,3,0,0,3,6,3,0,0,-1,1,0
KVR_ControlStick,23,13,3,2,2,282,35,0,1,0.2300000041723251,7,0
KVR_DigitalIndicator,21,7,0,15,0,165,14,0,0,0.4300000071525574,5,0
KVR_Periscope,12,3,0,1,2,148,5,0,0,0,4,0
KVR_PushButton,6,3,1,1,1,86,7,0,0,0,6,0
KVR_Throttle,24,13,1,3,2,246,31,0,1,0.2300000041723251,7,0
KVR_ToggleSwitch,4,3,1,1,1,95,13,0,0,0,6,0
ActuationType,0,0,0,0,0,5,0,0,0,-1,0,0
KVR_ToggleSwitchDouble,18,11,1,11,4,284,24,0,1,0.1800000071525574,6,0
SwitchState,0,0,0,0,0,4,0,0,0,-1,0,1
SwitchStateInput,0,0,0,0,0,6,0,0,0,-1,0,1
SwitchFSMState,0,0,0,0,0,6,0,0,0,-1,0,1
IVRSystem,47,0,0,0,0,239,0,0,0,-1,0,1
IVRExtendedDisplay,3,0,0,0,0,19,0,0,0,-1,0,1
IVRTrackedCamera,12,0,0,0,0,64,0,0,0,-1,0,1
IVRApplications,31,0,0,0,0,159,0,0,0,-1,0,1
IVRChaperone,8,0,0,0,0,44,0,0,0,-1,0,1
IVRChaperoneSetup,20,0,0,0,0,104,0,0,0,-1,0,1
IVRCompositor,43,0,0,0,0,219,0,0,0,-1,0,1
IVROverlay,82,0,0,0,0,414,0,0,0,-1,0,1
IVRRenderModels,18,0,0,0,0,94,0,0,0,-1,0,1
IVRNotifications,2,0,0,0,0,14,0,0,0,-1,0,1
IVRSettings,12,0,0,0,0,64,0,0,0,-1,0,1
IVRScreenshots,7,0,0,0,0,39,0,0,0,-1,0,1
IVRResources,2,0,0,0,0,14,0,0,0,-1,0,1
IVRDriverManager,3,0,0,0,0,19,0,0,0,-1,0,1
CVRSystem,1,48,0,0,47,321,51,0,0,0,26,6
PollNextEventUnion,2,0,0,2,0,8,0,0,0,-1,0,1
GetControllerStateUnion,2,0,0,2,0,8,0,0,0,-1,0,1
GetControllerStateWithPoseUnion,2,0,0,2,0,8,0,0,0,-1,0,1
CVRExtendedDisplay,1,4,0,0,3,30,4,0,0,0,2,1
CVRTrackedCamera,1,13,0,0,12,76,13,0,0,0,7,1
CVRApplications,1,32,0,0,31,163,32,0,0,0,5,1
CVRChaperone,1,9,0,0,8,46,9,0,0,0,4,1
CVRChaperoneSetup,1,21,0,0,20,116,21,0,0,0,4,1
CVRCompositor,1,44,0,0,43,204,44,0,0,0,12,2
CVROverlay,1,83,0,0,82,466,84,0,0,0,23,1
PollNextOverlayEventUnion,2,0,0,2,0,8,0,0,0,-1,0,1
CVRRenderModels,1,19,0,0,18,121,20,0,0,0,7,1
GetComponentStateUnion,2,0,0,2,0,8,0,0,0,-1,0,1
CVRNotifications,1,3,0,0,2,19,3,0,0,0,5,0
CVRSettings,1,13,0,0,12,61,13,0,0,0,2,1
CVRScreenshots,1,8,0,0,7,45,8,0,0,0,4,1
CVRResources,1,3,0,0,2,18,3,0,0,0,1,0
CVRDriverManager,1,4,0,0,3,23,4,0,0,0,1,0
OpenVRInterop,0,8,0,0,0,19,8,0,0,-1,2,2
