Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AndroidDevice,2,6,0,0,4,40,8,0,1,0,1,0
BaseAndroidDevice,1,8,0,0,7,98,13,1,1,"0,8799999952316284",1,1
BaseVRDevice,18,28,1,3,25,217,35,2,0,"0,6800000071525574",0,1
EditorDevice,6,10,1,0,10,90,12,0,1,"0,8999999761581421",0,0
GvrDevice,13,28,0,0,10,209,33,1,2,0,1,1
ControllerProviderFactory,0,1,0,0,0,19,1,0,0,-1,1,0
AndroidNativeControllerProvider,27,35,0,0,3,312,47,0,1,0,4,0
gvr_quat,4,0,0,0,0,7,0,0,0,-1,0,1
gvr_vec3,3,0,0,0,0,6,0,0,0,-1,0,1
gvr_vec2,2,0,0,0,0,5,0,0,0,-1,0,1
DummyControllerProvider,1,4,0,0,3,9,4,0,1,1,1,0
EmulatorControllerProvider,4,13,0,0,3,149,21,0,1,"0,3100000023841858",12,1
ControllerState,17,2,0,0,2,54,2,0,0,0,0,4
EmulatorClientSocket,7,8,1,0,1,184,23,0,0,0,5,1
EmulatorConfig,4,0,1,3,0,40,0,0,0,-1,1,2
Mode,0,0,0,0,0,5,0,0,0,-1,0,3
EmulatorGyroEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorAccelEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorTouchEvent,6,7,0,2,5,114,13,0,0,0,4,2
Action,0,0,0,0,0,11,0,0,0,-1,0,3
Pointer,3,2,0,3,2,16,2,0,0,0,0,2
EmulatorOrientationEvent,2,1,0,2,1,10,1,0,0,0,1,2
EmulatorButtonEvent,2,1,0,2,1,18,1,0,0,0,2,2
ButtonCode,0,0,0,0,0,8,0,0,0,-1,0,2
EmulatorManager,9,10,2,0,3,209,19,0,0,"0,30000001192092896",11,2
IControllerProvider,0,3,0,0,0,10,3,3,0,-1,1,0
PhoneEvent,26,23,19,7,19,3468,45,0,0,"0,8299999833106995",9,0
Types,0,0,0,0,0,3114,0,0,0,-1,0,0
Type,0,0,0,0,0,10,0,0,0,-1,0,0
MotionEvent,12,22,11,3,19,749,34,0,0,"0,7699999809265137",3,0
Pointer,13,21,11,3,18,355,31,0,0,"0,8600000143051147",2,0
Builder,16,164,96,0,148,1958,274,0,0,"0,14000000059604645",11,0
GyroscopeEvent,16,21,13,4,18,401,34,0,0,"0,8600000143051147",2,0
AccelerometerEvent,16,21,13,4,18,401,34,0,0,"0,8600000143051147",2,0
DepthMapEvent,16,22,13,4,19,425,37,0,0,"0,7699999809265137",2,0
OrientationEvent,19,21,15,5,18,447,37,0,0,"0,8600000143051147",2,0
KeyEvent,10,21,9,2,18,309,28,0,0,"0,8600000143051147",2,0
PhoneEvent,26,23,19,7,19,3468,45,0,0,"0,3499999940395355",8,5
Types,0,0,0,0,0,3114,0,0,0,-1,0,3
Type,0,0,0,0,0,10,0,0,0,-1,0,5
MotionEvent,12,22,11,3,19,749,34,0,0,"0,27000001072883606",2,7
Pointer,13,21,11,3,18,355,31,0,0,"0,33000001311302185",1,6
Builder,16,164,96,0,148,1958,274,0,0,0,10,18
GyroscopeEvent,16,21,13,4,18,401,34,0,0,"0,33000001311302185",1,6
AccelerometerEvent,16,21,13,4,18,401,34,0,0,"0,33000001311302185",1,6
DepthMapEvent,16,22,13,4,19,425,37,0,0,"0,27000001072883606",1,5
OrientationEvent,19,21,15,5,18,447,37,0,0,"0,33000001311302185",1,6
KeyEvent,10,21,9,2,18,309,28,0,0,"0,33000001311302185",1,6
AAMode,0,0,0,0,0,10,0,0,0,-1,0,1
Antialiasing,22,3,0,15,3,160,7,0,1,0,1,0
Bloom,30,7,0,25,2,352,22,0,1,0,5,0
LensFlareStyle,0,0,0,0,0,6,0,0,0,-1,0,1
TweakMode,0,0,0,0,0,5,0,0,0,-1,0,1
HDRBloomMode,0,0,0,0,0,11,0,0,0,-1,0,2
BloomScreenBlendMode,0,0,0,0,0,9,0,0,0,-1,0,2
BloomQuality,0,0,0,0,0,5,0,0,0,-1,0,1
LensflareStyle34,0,0,0,0,0,6,0,0,0,-1,0,1
TweakMode34,0,0,0,0,0,5,0,0,0,-1,0,1
BloomAndFlares,34,6,0,26,1,282,16,0,1,0,4,0
BloomOptimized,8,3,0,6,1,103,7,0,1,0,2,0
Resolution,0,0,0,0,0,5,0,0,0,-1,0,1
BlurType,0,0,0,0,0,11,0,0,0,-1,0,3
Blur,4,5,1,3,1,100,9,0,0,"0,6000000238418579",0,0
BlurOptimized,6,3,0,5,3,87,7,0,1,0,1,0
CameraMotionBlur,30,10,0,18,1,375,30,0,1,0,1,0
MotionBlurFilter,0,0,0,0,0,7,0,0,0,-1,0,1
ColorCorrectionCurves,24,6,0,17,2,175,18,0,1,"0,33000001311302185",2,0
ColorCorrectionMode,0,0,0,0,0,5,0,0,0,-1,0,1
