Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
NVRCollisionSoundController,8,2,0,7,1,30,3,0,0,0,2,3
NVRCollisionSoundProviders,0,0,0,0,0,6,0,0,0,-1,0,1
NVRCollisionSoundMaterials,0,0,0,0,0,13,0,0,0,-1,0,6
NVRCollisionSoundMaterialsList,2,1,2,1,1,39,2,0,0,0,1,1
NVRCollisionSoundObject,3,5,0,1,1,70,9,0,0,0,2,0
NVRCollisionSoundProvider,0,2,0,0,2,5,2,2,0,-1,1,1
NVRCollisionSoundProviderFMOD,0,2,0,0,2,10,2,0,1,-1,1,0
NVRCollisionSoundProviderUnity,6,3,0,0,2,82,12,0,1,0,3,0
EnumEqualityComparer,0,2,0,0,2,30,2,0,0,-1,1,0
BoxAvoidance,1,2,0,0,1,17,2,0,0,0,0,1
NVRAttachJoint,6,5,1,6,0,60,10,0,0,0,3,1
NVRAttachPoint,7,6,0,3,3,88,16,0,0,0,4,2
AttachPointMapper,1,3,0,0,3,23,3,0,0,0,1,2
NVRButton,14,5,0,6,0,92,9,0,0,0,0,1
NVRButtonInputs,24,1,11,0,1,191,1,0,0,0,2,6
NVRButtons,0,0,0,0,0,23,0,0,0,-1,0,13
NVRButtonsHelper,1,0,1,0,0,15,0,0,0,-1,1,1
NVRButtonsComparer,0,2,0,0,2,12,2,0,0,-1,1,0
NVRCanvasInput,21,12,0,11,2,292,44,0,0,0.1700000017881393,5,0
NVRHand,27,27,14,15,14,758,111,0,0,0,14,19
NVRInteractableEvent,0,0,0,0,0,2,0,0,0,-1,0,1
VisibilityLevel,0,0,0,0,0,6,0,0,0,-1,0,1
HandState,0,0,0,0,0,10,0,0,0,-1,0,1
InterationStyle,0,0,0,0,0,6,0,0,0,-1,0,3
NVRHead,0,1,0,0,1,7,1,0,0,-1,0,4
NVRHelpers,1,10,1,0,10,150,17,0,0,0.699999988079071,0,6
NVRInputDevice,1,18,2,0,18,46,18,3,0,1,2,2
NVRIntegration,1,3,0,0,3,10,3,3,0,1,1,1
NVRInteractable,10,17,2,8,11,163,30,3,0,0.239999994635582,3,8
NVRInteractableItem,19,20,0,6,9,363,59,5,1,0.2000000029802322,4,10
NVRInteractableItemAutoAttach,1,1,0,1,1,17,3,0,2,0,2,0
NVRInteractableItemClippable,0,3,0,0,2,23,3,0,2,-1,2,0
NVRInteractableRotator,2,4,1,1,2,45,6,1,1,0,2,1
NVRInteractables,4,5,0,0,5,68,10,0,0,0,2,3
NVRLetterSpinner,4,4,0,0,2,77,10,0,2,0,2,1
NVRLever,13,8,1,6,2,133,15,0,2,0,3,2
LeverPosition,0,0,0,0,0,6,0,0,0,-1,0,1
RotationAxis,0,0,0,0,0,6,0,0,0,-1,0,0
NVRPhysicalController,9,9,1,2,4,163,23,0,0,0,3,1
NVRPlayer,47,9,2,43,3,355,34,0,0,0.3300000131130219,7,15
NVRSDKIntegrations,0,0,0,0,0,8,0,0,0,-1,0,2
NVRSlider,6,6,0,3,3,70,12,0,1,0,2,2
NVRSwitch,9,4,0,6,0,77,8,0,0,0,0,1
NVRTeleportController,5,3,1,1,0,71,8,0,0,0,4,1
NVRTeleporter,24,15,1,17,3,394,37,0,0,0,7,2
TeleportPreview,4,0,0,4,0,7,0,0,0,-1,0,1
NVRUIIgnoreRaycast,0,1,0,0,1,7,1,0,0,-1,0,0
NVRVignette,4,4,0,2,1,37,5,0,0,0,0,1
NVROculusInputDevice,0,17,1,0,17,95,17,0,1,-1,1,0
NVROculusIntegration,0,3,0,0,3,14,3,0,1,-1,1,0
NVRSteamVRInputDevice,0,18,1,0,17,99,18,0,1,-1,1,0
NVRSteamVRIntegration,0,3,0,0,3,14,3,0,1,-1,1,0
NVRWindowsMRInput,0,18,1,0,17,117,18,0,1,-1,1,0
NVRWindowsMRIntegration,9,6,1,8,5,138,11,0,1,0.5,3,0
DisplayType,0,0,0,0,0,5,0,0,0,-1,0,1
NVRExampleButtonDropSphere,0,1,0,0,1,12,1,0,0,-1,0,0
NVRExampleButtonResetScene,0,1,0,0,1,7,1,0,0,-1,0,0
NVRExampleColorLever,4,1,0,4,0,15,1,0,0,0,1,0
NVRExampleColorSlider,4,1,0,4,0,14,1,0,0,0,1,0
NVRExampleDegreeResult,2,2,0,1,0,16,2,0,0,0,1,0
NVRExampleEvent,0,1,0,0,1,9,1,0,0,-1,1,0
NVRExampleGrower,0,1,0,0,1,22,2,0,2,-1,4,0
NVRExampleGun,3,1,0,3,1,21,1,0,2,0,2,0
NVRExampleLaserPointer,6,2,0,4,0,59,6,0,0,0,4,0
NVRExampleLetterResult,2,2,0,1,0,16,2,0,0,0,1,0
NVRExampleLeverResultRocket,3,4,0,2,1,53,6,0,0,0,2,0
NVRExampleRGBResult,5,1,0,5,0,22,2,0,0,0,1,0
NVRExampleSpawner,2,1,0,2,0,16,2,0,0,0,1,0
NVRExampleSwitchResult,2,2,0,1,0,16,2,0,0,0,1,0
NVRExampleTeleporter,5,3,0,2,0,84,10,0,0,0,7,0
NVRCollisionSoundControllerEditor,6,9,0,0,2,155,20,0,0,0.2199999988079071,2,0
NVRPlayerEditor,16,12,0,0,2,372,39,0,0,0.25,1,0
NVRTeleporterEditor,22,3,0,0,2,214,12,0,0,0,5,0
Hand,0,0,0,0,0,1,0,0,0,-1,0,1
