Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ExampleBaseBehaviour,0,0,1,0,0,8,0,4,0,-1,0,0
ExampleBubble,3,4,0,3,0,41,5,0,0,0,0,0
ExampleNavigator,3,4,0,3,0,55,5,0,1,0,1,0
ExampleOccurrences,0,1,0,0,0,52,1,0,1,-1,2,0
ChangeColorOccurrence,3,3,0,0,3,25,3,0,1,0,0,0
ExamplePhysics,3,3,0,2,0,75,6,0,1,0,2,0
ExampleSlider,2,3,1,2,1,51,4,0,0,0.6700000166893005,2,0
ExampleSpin,1,1,0,1,0,21,2,0,1,0,1,0
ExampleTimeColor,12,2,0,1,0,75,7,0,0,0,2,0
AreaClockMode,0,0,0,0,0,21,0,0,0,-1,0,4
IAreaClock,0,4,3,0,0,10,4,1,0,-1,1,1
"AreaClock<TCollider,TVector>",8,11,5,0,5,247,24,0,1,0.6399999856948853,5,0
AreaClock2D,0,5,0,0,2,126,15,0,0,-1,3,1
AreaClock3D,0,5,0,0,2,118,14,0,0,-1,3,1
ChronosException,0,3,0,0,3,6,3,0,0,-1,0,0
ClockBlend,0,0,0,0,0,12,0,0,0,-1,0,6
Clock,10,5,11,0,2,238,14,3,0,0.4000000059604645,3,6
IComponentTimeline,0,5,1,0,0,11,5,2,0,-1,0,1
ComponentTimeline<T>,0,8,2,0,8,35,9,0,1,-1,1,0
CustomRecorder,1,5,0,0,1,72,9,0,0,0.4000000059604645,2,0
Snapshot,12,4,1,12,4,66,4,0,0,0.5,0,4
GlobalClock,3,5,1,0,1,61,9,0,1,0,2,6
LocalClock,1,2,0,0,1,31,3,0,1,0,2,3
DelegateOccurrence<T>,0,3,3,0,3,22,3,0,1,-1,0,0
ForwardDelegateOccurrence,0,3,1,0,3,19,3,0,1,-1,0,0
Occurrence,0,2,2,0,2,22,2,3,0,-1,0,2
Recorder<TSnapshot>,2,8,0,0,2,70,9,0,0,0.6200000047683716,1,0
DelegatedRecorder,1,4,0,0,1,24,4,0,0,0,1,0
IRecorder,0,2,0,0,0,5,2,1,0,-1,0,1
"RecorderTimeline<TComponent,TSnapshot>",11,15,1,0,6,228,31,0,1,0.5299999713897705,2,0
Timekeeper,4,7,4,1,5,162,16,0,0,0.2899999916553497,2,11
TimelineMode,0,0,0,0,0,12,0,0,0,-1,0,3
Timeline,17,40,23,1,24,830,88,0,0,0.2000000029802322,19,27
AnimationTimeline,1,3,1,0,3,46,6,0,0,1,1,1
AnimatorTimeline,1,5,2,0,5,94,11,0,0,1,1,1
AudioSourceTimeline,1,3,1,0,3,29,3,0,0,1,1,1
IParticleSystemTimeline,0,4,6,0,0,52,4,2,1,-1,0,2
NavMeshAgentTimeline,2,4,2,0,4,54,5,0,0,1,1,2
NonRewindableParticleSystemTimeline,2,7,6,0,7,90,8,0,2,1,1,0
RewindableParticleSystemTimeline,9,13,9,0,7,427,45,0,2,0.2300000041723251,8,0
State,0,0,0,0,0,7,0,0,0,-1,0,2
EmissionAction,0,0,0,0,0,7,0,0,0,-1,0,2
StateEvent,2,1,0,2,1,11,1,0,0,0,1,1
EmissionEvent,2,1,0,2,1,11,1,0,0,0,1,1
IRigidbodyTimeline,0,0,4,0,0,7,0,1,0,-1,0,0
"RigidbodyTimeline<TComponent,TSnapshot>",3,10,10,0,3,197,21,0,1,0.8999999761581421,2,0
RigidbodyTimeline2D,0,12,10,0,7,202,18,0,0,-1,3,1
RigidbodyTimeline3D,1,15,10,1,9,253,26,0,0,0.8700000047683716,4,1
TransformTimeline,0,4,0,0,1,47,4,0,0,-1,2,1
WindZoneTimeline,4,3,4,0,3,76,3,0,0,1,1,1
TimeState,0,0,0,0,0,27,0,0,0,-1,0,1
Severity,0,0,0,0,0,6,0,0,0,-1,0,4
Singleton<T>,6,2,2,0,0,104,3,0,0,0,0,0
AnimatorParameter,2,11,6,0,10,192,19,0,0,0.3600000143051147,0,1
FilterAttribute,1,1,9,0,1,70,1,0,0,0,1,3
SelfTargetedAttribute,0,0,0,0,0,5,0,0,0,-1,0,1
TypeFamily,0,0,0,0,0,53,0,0,0,-1,0,2
UnityMember,3,10,7,0,7,205,18,2,0,0.6000000238418579,0,2
UnityMethod,2,15,3,0,15,139,20,0,1,0.7300000190734863,2,2
UnityVariable,0,10,3,0,10,134,16,0,1,-1,1,2
Extensions,0,2,0,0,2,35,4,0,0,-1,0,0
TypeSerializer,0,2,0,0,2,42,5,0,0,-1,0,2
CUI_AnimateCurvedFillOnStart,0,1,0,0,0,28,2,0,0,-1,1,0
