Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
CameraIntrinsics,0,3,7,0,3,42,4,0,0,-1,0,1
KinectBuffer,1,10,4,0,1,103,13,0,1,"0,5",1,6
PointF,0,3,2,0,3,30,4,0,0,-1,1,1
AudioBeamSubFrame,1,21,8,0,4,205,28,0,1,"0,4300000071525574",4,1
AudioBeamFrame,2,13,6,0,1,163,18,0,1,"0,5400000214576721",2,2
BodyFrame,1,13,5,0,2,142,20,0,1,"0,3799999952316284",3,2
Body,1,30,18,0,0,323,31,0,1,"0,800000011920929",1,1
ColorFrame,1,24,6,0,7,225,35,0,1,"0,25",6,2
DepthFrame,1,18,6,0,4,175,25,0,1,"0,33000001311302185",4,2
BodyIndexFrame,1,16,4,0,4,149,23,0,1,"0,25",4,2
InfraredFrame,1,16,4,0,4,149,23,0,1,"0,25",4,2
KinectSensor,5,29,13,0,4,452,36,0,1,"0,47999998927116394",7,2
LongExposureInfraredFrame,1,16,4,0,4,149,23,0,1,"0,25",4,2
CoordinateMapper,4,43,1,0,18,396,63,0,1,"0,11999999731779099",13,0
Activity,0,0,0,0,0,8,0,0,0,-1,0,0
Appearance,0,0,0,0,0,4,0,0,0,-1,0,0
AudioBeam,3,14,6,0,0,206,15,0,1,"0,5699999928474426",4,0
AudioBeamFrameArrivedEventArgs,1,6,2,0,0,54,7,0,1,"0,33000001311302185",1,1
AudioBeamFrameList,1,7,1,0,1,50,10,0,1,0,1,0
AudioBeamFrameReader,5,17,3,0,2,271,23,0,1,"0,23999999463558197",6,1
AudioBeamFrameReference,1,9,2,0,1,76,13,0,1,"0,2199999988079071",3,0
AudioBeamMode,0,0,0,0,0,5,0,0,0,-1,0,1
AudioBodyCorrelation,1,6,2,0,0,48,7,0,1,"0,33000001311302185",1,0
AudioSource,5,19,8,0,1,316,22,0,1,"0,4699999988079071",6,0
BodyFrameArrivedEventArgs,1,6,2,0,0,54,7,0,1,"0,33000001311302185",1,1
BodyFrameReader,5,16,3,0,2,261,21,0,1,"0,25",6,1
BodyFrameReference,1,8,2,0,1,66,11,0,1,"0,25",3,0
BodyFrameSource,5,18,4,0,3,270,23,0,1,"0,2199999988079071",6,0
BodyIndexFrameArrivedEventArgs,1,6,2,0,0,54,7,0,1,"0,33000001311302185",1,1
BodyIndexFrameReader,5,16,3,0,2,261,21,0,1,"0,25",6,1
BodyIndexFrameReference,1,8,2,0,1,66,11,0,1,"0,25",3,0
BodyIndexFrameSource,5,14,4,0,1,254,17,0,1,"0,28999999165534973",6,0
CameraSpacePoint,0,3,3,0,3,31,4,0,0,-1,0,2
ColorCameraSettings,1,9,5,0,0,87,10,0,1,"0,5600000023841858",1,0
ColorFrameArrivedEventArgs,1,6,2,0,0,54,7,0,1,"0,33000001311302185",1,1
ColorFrameReader,5,16,3,0,2,261,21,0,1,"0,25",6,1
ColorFrameReference,1,8,2,0,1,66,11,0,1,"0,25",3,0
