Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BSExtensionMethods,0,3,0,0,3,21,3,0,0,-1,0,0
ActivatingCollisionAlgorithm,0,1,0,0,0,7,1,10,1,-1,0,0
AxisSweep3,1,25,2,0,5,135,25,0,1,"0,159999996423721",6,0
AxisSweep3_32Bit,1,25,2,0,5,134,25,0,1,"0,159999996423721",6,0
Box2DBox2DCollisionAlgorithm,0,4,0,0,2,33,4,0,2,-1,3,0
CreateFunc,4,66,10,0,16,351,66,0,1,"0,740000009536743",2,2
Box2DShape,2,13,5,0,4,98,13,0,1,"0,689999997615814",3,2
BoxBoxCollisionAlgorithm,0,4,0,0,2,33,4,0,2,-1,3,0
BoxBoxDetector,2,4,2,0,1,39,4,0,1,"0,75",1,0
BoxShape,0,10,2,0,4,55,10,0,1,-1,2,13
BroadphaseAabbCallback,2,8,0,0,2,54,9,1,0,"0,25",1,1
BroadphaseRayCallback,1,7,3,0,0,53,7,0,1,"0,860000014305115",1,1
BroadphaseInterface,4,31,1,0,16,146,33,3,0,"0,129999995231628",6,13
BroadphaseNativeType,0,0,0,0,0,40,0,0,0,-1,0,11
CollisionFilterGroups,0,0,0,0,0,12,0,0,0,-1,0,9
BroadphaseProxy,2,34,8,0,8,201,36,2,0,"0,740000009536743",2,21
BroadphasePair,1,8,3,0,0,46,8,0,0,1,0,10
BvhTriangleMeshShape,2,31,4,0,12,166,31,1,1,"0,259999990463257",6,6
CapsuleShape,0,6,3,0,1,36,6,2,1,-1,0,4
CapsuleShapeX,0,2,0,0,1,10,2,0,2,-1,0,1
CapsuleShapeZ,0,2,0,0,1,10,2,0,2,-1,0,1
CollisionAlgorithmConstructionInfo,3,9,2,0,3,73,10,0,0,"0,330000013113022",2,17
CollisionAlgorithm,2,10,0,0,4,58,12,6,0,0,5,5
CollisionConfiguration,1,8,0,0,2,50,9,1,0,"0,620000004768372",1,7
CollisionAlgorithmCreateFunc,2,10,1,0,3,62,12,2,0,"0,300000011920929",3,1
DispatcherFlags,0,0,0,0,0,8,0,0,0,-1,0,2
CollisionDispatcher,5,14,3,0,3,103,15,0,1,"0,569999992847443",6,5
ActivationState,0,0,0,0,0,9,0,0,0,-1,0,9
AnisotropicFrictionFlags,0,0,0,0,0,7,0,0,0,-1,0,3
CollisionFlags,0,0,0,0,0,12,0,0,0,-1,0,12
CollisionObjectTypes,0,0,0,0,0,12,0,0,0,-1,0,2
CollisionObject,4,91,28,0,23,509,96,4,0,"0,490000009536743",8,41
CollisionObjectFloatData,25,1,0,25,1,31,1,0,0,0,2,4
CollisionObjectWrapper,1,12,6,0,0,72,12,0,0,1,0,24
CollisionShape,3,45,17,0,13,297,49,3,0,"0,469999998807907",5,55
CollisionShapeFloatData,3,1,0,3,1,9,1,0,0,0,0,8
AllHitsRayResultCallback,0,2,6,0,2,38,3,0,1,-1,4,0
ClosestConvexResultCallback,0,2,5,0,2,34,3,1,1,-1,4,3
ClosestRayResultCallback,0,2,4,0,2,34,3,1,1,-1,4,4
ContactResultCallback,3,14,2,0,4,95,15,1,0,"0,430000007152557",3,1
ConvexResultCallback,3,17,4,0,3,111,18,1,0,"0,529999971389771",2,2
LocalConvexResult,4,16,5,0,2,119,18,0,0,"0,560000002384186",3,3
LocalRayResult,4,14,4,0,2,104,16,0,0,"0,5",3,4
LocalShapeInfo,2,10,2,0,2,64,12,0,0,"0,5",0,2
RayResultCallback,3,21,6,0,3,131,22,2,0,"0,620000004768372",2,3
CollisionWorld,6,60,8,0,29,374,68,1,0,"0,200000002980232",18,14
CompoundCollisionAlgorithm,0,5,0,0,2,54,5,1,2,-1,3,0
SwappedCreateFunc,0,12,0,0,4,57,12,0,1,-1,0,1
CompoundCompoundCollisionAlgorithm,0,2,0,0,1,42,2,0,3,-1,2,0
CompoundShapeChild,2,10,5,0,0,76,10,0,0,1,2,3
CompoundShape,1,27,4,0,15,129,27,0,1,"0,150000005960464",5,9
CompoundShapeFloatData,4,1,0,4,1,10,1,0,0,0,1,1
CompoundShapeChildFloatData,4,1,0,4,1,10,1,0,0,0,1,1
PhyScalarType,0,0,0,0,0,9,0,0,0,-1,0,8
ConcaveShape,0,3,0,0,1,15,3,6,1,-1,2,1
ConeShape,0,7,3,0,1,39,7,2,1,-1,0,4
ConeShapeX,0,2,0,0,1,10,2,0,2,-1,0,0
ConeShapeZ,0,2,0,0,1,10,2,0,2,-1,0,0
ContinuousConvexCollision,0,4,0,0,2,17,4,0,1,-1,4,0
Convex2DConvex2DAlgorithm,0,5,1,0,2,93,5,0,2,-1,5,0
Convex2DShape,1,2,1,0,1,20,2,0,1,0,1,2
ConvexCast,1,6,0,0,2,191,7,2,0,0,2,0
CastResult,1,26,7,0,5,150,27,0,0,"0,579999983310699",1,1
ConvexConcaveCollisionAlgorithm,0,4,0,0,2,49,4,0,2,-1,2,0
ConvexConvexAlgorithm,0,5,1,0,2,93,5,0,2,-1,5,0
ConvexHullShape,2,20,3,0,12,144,23,0,1,"0,349999994039536",2,7
ConvexHullShapeFloatData,5,1,0,5,1,11,1,0,0,0,1,1
ConvexInternalShape,0,15,3,0,6,80,15,7,1,-1,1,0
ConvexInternalAabbCachingShape,0,3,0,0,1,15,3,1,2,-1,0,0
ConvexInternalShapeFloatData,5,1,0,5,1,11,1,0,0,0,2,3
ConvexPenetrationDepthSolver,1,6,0,0,2,40,7,2,0,0,6,5
ConvexPlaneCollisionAlgorithm,0,5,0,0,2,58,5,0,1,-1,6,0
ConvexPointCloudShape,1,17,2,0,8,95,17,0,1,"0,239999994635582",2,0
Face,1,6,0,0,2,57,7,0,0,0,0,0
ConvexPolyhedron,3,25,7,0,5,170,26,0,0,"0,560000002384186",3,1
ConvexShape,0,25,2,0,14,124,25,4,1,-1,2,17
ConvexTriangleMeshShape,1,8,1,0,3,40,8,0,1,"0,379999995231628",3,2
CylinderShape,0,9,4,0,2,60,9,2,2,-1,1,5
CylinderShapeX,0,4,0,0,2,17,4,0,3,-1,1,1
CylinderShapeZ,0,4,0,0,2,17,4,0,3,-1,1,1
CylinderShapeFloatData,3,1,0,3,1,9,1,0,0,0,1,0
DbvtAabbMm,1,24,7,0,5,167,24,1,0,"0,579999983310699",1,0
DbvtNode,1,12,6,0,0,81,12,0,0,1,0,12
DbvtVolume,0,1,0,0,0,7,1,0,1,-1,0,1
Dbvt,2,62,5,0,23,824,64,0,0,"0,259999990463257",6,1
IClone,1,8,0,0,3,46,9,0,0,0,1,1
ICollide,1,16,0,0,7,76,17,1,0,0,1,0
IWriter,1,10,0,0,4,53,11,0,0,0,1,1
StkCln,1,10,2,0,2,67,11,0,0,"0,5",1,0
StkNN,1,12,2,0,3,74,13,0,0,"0,419999986886978",1,0
StkNP,1,10,2,0,2,63,11,0,0,"0,5",1,0
StkNps,1,14,3,0,3,80,15,0,0,"0,5",1,1
DbvtProxy,0,6,2,0,0,39,6,0,1,-1,0,1
DbvtBroadphase,0,52,18,0,8,264,52,0,1,-1,6,1
DefaultCollisionConstructionInfo,1,17,4,0,2,94,18,0,0,"0,759999990463257",0,3
DefaultCollisionConfiguration,1,19,1,0,9,130,30,1,1,"0,209999993443489",6,0
DiscreteCollisionDetectorInterface,1,8,0,0,3,175,9,2,0,0,4,0
ClosestPointInput,1,11,3,0,2,74,12,0,0,"0,639999985694885",0,3
Result,1,10,0,0,4,53,11,3,0,0,1,2
StorageResult,0,7,3,0,0,55,7,0,1,-1,0,0
DispatchFunc,0,0,0,0,0,5,0,0,0,-1,0,1
DispatcherInfo,1,25,12,0,0,135,25,0,0,1,1,10
Dispatcher,3,29,1,0,12,144,31,1,0,"0,140000000596046",6,21
EmptyAlgorithm,0,2,0,0,1,26,2,0,1,-1,1,0
EmptyShape,0,2,0,0,1,10,2,0,2,-1,0,0
GhostObject,1,26,2,0,13,116,26,1,1,"0,189999997615814",9,1
PairCachingGhostObject,1,3,1,0,1,26,3,0,2,"0,670000016689301",1,3
GhostPairCallback,0,6,0,0,4,30,6,0,1,-1,3,1
eBT_PLANE_INTERSECTION_TYPE,0,0,0,0,0,6,0,0,0,-1,0,1
Aabb,2,49,2,0,20,213,51,0,0,"0,159999996423721",4,5
MyCallback,2,2,0,0,2,23,4,0,1,0,1,1
MyInternalTriangleIndexCallback,3,2,0,0,2,40,3,0,1,0,6,0
CompoundFromGImpact,0,2,0,0,1,18,2,0,0,-1,5,0
GimPair,1,14,2,0,4,73,15,0,0,"0,360000014305115",0,0
PairSet,1,6,0,0,2,31,6,0,0,"0,330000013113022",0,2
GimBvhData,1,9,2,0,2,56,10,0,0,"0,439999997615814",0,0
GimBvhTreeNode,1,12,4,0,2,74,13,0,0,"0,579999983310699",0,2
GimBvhDataArray,1,2,0,0,0,17,2,0,0,1,0,2
GimBvhTreeNodeArray,1,2,0,0,0,17,2,0,0,1,0,0
BvhTree,1,29,1,0,13,124,30,0,0,"0,070000000298023",3,0
PrimitiveManagerBase,1,9,2,0,2,61,10,2,0,"0,439999997615814",1,2
GImpactBvh,2,42,5,0,15,205,43,0,0,"0,259999990463257",5,0
GImpactCollisionAlgorithm,0,23,4,0,7,113,23,0,2,-1,8,2
