Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ControllerProviderFactory,0,1,0,0,0,19,1,0,0,-1,1,0
DummyControllerProvider,1,4,0,0,3,9,4,0,1,1,1,0
EmulatorControllerProvider,4,13,0,0,3,149,21,0,1,"0,3100000023841858",12,1
ControllerState,17,2,0,0,2,54,2,0,0,0,0,3
EmulatorClientSocket,7,8,1,0,1,182,23,0,0,0,5,1
EmulatorConfig,4,0,1,3,0,40,0,0,0,-1,1,2
Mode,0,0,0,0,0,5,0,0,0,-1,0,3
EmulatorGyroEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorAccelEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorTouchEvent,6,7,0,2,5,114,13,0,0,0,4,2
Action,0,0,0,0,0,11,0,0,0,-1,0,3
Pointer,3,2,0,3,2,16,2,0,0,0,0,2
EmulatorOrientationEvent,2,1,0,2,1,10,1,0,0,0,1,2
EmulatorButtonEvent,2,1,0,2,1,18,1,0,0,0,2,2
ButtonCode,0,0,0,0,0,8,0,0,0,-1,0,2
EmulatorManager,9,9,2,0,2,206,18,0,0,"0,2199999988079071",11,2
IControllerProvider,0,3,0,0,0,10,3,2,0,-1,1,0
BaseVRDevice,19,35,1,4,32,226,42,2,0,"0,7400000095367432",0,1
EditorDevice,6,17,1,0,17,98,19,0,1,"0,9399999976158142",0,0
GvrDevice,14,32,0,0,12,225,37,0,1,0,1,0
PhoneEvent,26,23,19,7,19,3468,45,0,0,"0,8299999833106995",9,0
Types,0,0,0,0,0,3114,0,0,0,-1,0,0
Type,0,0,0,0,0,10,0,0,0,-1,0,0
MotionEvent,12,22,11,3,19,749,34,0,0,"0,7699999809265137",3,0
Pointer,13,21,11,3,18,355,31,0,0,"0,8600000143051147",2,0
Builder,16,164,96,0,148,1958,274,0,0,"0,14000000059604645",11,0
GyroscopeEvent,16,21,13,4,18,401,34,0,0,"0,8600000143051147",2,0
AccelerometerEvent,16,21,13,4,18,401,34,0,0,"0,8600000143051147",2,0
DepthMapEvent,16,22,13,4,19,425,37,0,0,"0,7699999809265137",2,0
OrientationEvent,19,21,15,5,18,447,37,0,0,"0,8600000143051147",2,0
KeyEvent,10,21,9,2,18,309,28,0,0,"0,8600000143051147",2,0
PhoneEvent,26,23,19,7,19,3468,45,0,0,"0,3499999940395355",8,5
Types,0,0,0,0,0,3114,0,0,0,-1,0,3
Type,0,0,0,0,0,10,0,0,0,-1,0,5
MotionEvent,12,22,11,3,19,749,34,0,0,"0,27000001072883606",2,7
Pointer,13,21,11,3,18,355,31,0,0,"0,33000001311302185",1,6
Builder,16,164,96,0,148,1958,274,0,0,0,10,18
GyroscopeEvent,16,21,13,4,18,401,34,0,0,"0,33000001311302185",1,6
AccelerometerEvent,16,21,13,4,18,401,34,0,0,"0,33000001311302185",1,6
DepthMapEvent,16,22,13,4,19,425,37,0,0,"0,27000001072883606",1,5
OrientationEvent,19,21,15,5,18,447,37,0,0,"0,33000001311302185",1,6
KeyEvent,10,21,9,2,18,309,28,0,0,"0,33000001311302185",1,6
AnimateWithTrigger,3,4,0,2,1,35,7,0,0,0,0,0
ArtPlayerBase<T>,7,9,1,7,2,90,13,0,0,1,1,0
ShakeData,9,0,0,9,0,31,0,0,0,-1,0,2
CameraShaker,6,5,0,4,1,73,10,0,0,0,1,1
CameraShakeTrigger,8,1,0,8,1,48,2,0,0,0,2,0
CollisionSoundPlayer,3,3,0,3,0,28,6,0,1,1,0,0
Counter,6,5,0,5,3,53,7,0,0,0,0,1
DestroyOnCollision,1,2,0,1,0,16,4,0,0,0,0,0
Explodable,10,8,1,5,3,85,13,0,1,0,2,0
ExplodablePart,2,5,0,1,4,50,7,0,1,0,1,1
ExplosionForce,1,1,0,1,1,11,1,2,0,0,0,1
Hitbox,8,4,0,6,0,65,11,0,0,"0,5",1,0
InteractableObject,2,12,0,2,11,92,24,0,1,0,1,5
InteractableProperty,0,11,1,0,11,47,11,3,0,-1,1,4
IRemoteInputEventHandler,0,9,0,0,0,19,9,1,0,-1,0,1
IResetable,0,1,0,0,0,7,1,1,0,-1,0,1
LinearMotor,4,4,0,3,2,34,6,0,0,0,0,1
ObjectFlash,2,2,0,1,0,18,3,0,0,0,0,0
ParticlePlayer,2,3,0,2,1,26,7,0,0,1,0,0
PickupProperty,4,6,0,2,4,78,10,0,1,0,3,0
PickUpMode,0,0,0,0,0,4,0,0,0,-1,0,1
RandomExplosionForce,3,1,0,3,1,14,1,0,1,0,0,0
RandomTorqueExplosion,0,1,0,0,1,10,1,0,1,-1,0,0
ResetPosition,2,2,0,0,1,19,2,2,1,0,0,1
SceneReseter,1,2,0,0,1,14,2,0,0,0,1,0
SlotableObject,5,3,0,5,0,59,9,0,0,0,2,0
SlotDescription,4,0,0,4,0,14,0,0,0,-1,0,1
SoundCycle,2,2,1,1,1,32,5,0,1,1,1,0
SoundEventListener,2,5,0,2,4,61,9,0,0,0,0,2
SoundPlayerBase,5,2,0,5,1,41,5,3,0,0,0,1
SoundRandomizer,4,2,0,3,1,37,6,0,0,0,1,0
TargetableProperty,5,4,0,5,4,47,5,0,1,0,4,0
TouchRotatableProperty,9,7,0,3,5,93,12,0,1,0,2,0
TransformMode,0,0,0,0,0,17,0,0,0,-1,0,1
TriggerSoundPlayer,3,3,0,3,0,28,6,0,1,1,0,0
AnimEvent,2,0,0,2,0,9,0,0,0,-1,0,1
AnimationEventListener,1,1,0,1,1,12,3,0,0,0,1,0
AnimationStateChangeTrigger,2,3,0,2,2,32,6,0,0,0,2,0
StateEvent,0,0,0,0,0,4,0,0,0,-1,0,1
HandednessListener,5,3,2,2,1,41,6,0,0,0,0,4
PositionSwapper,2,12,0,1,2,69,13,0,0,"0,17000000178813934",0,0
ToggleAction,7,4,0,5,2,50,8,0,0,0,0,0
TriggerContract,0,0,0,0,0,2,0,0,0,-1,0,3
TriggerListener,3,2,0,3,0,29,6,0,0,0,2,0
TriggerListenerBase<T>,1,4,0,1,0,29,8,0,0,"0,75",1,0
TriggerListenerGameObject,2,2,0,2,0,12,2,0,0,0,2,0
TriggerListenerTransform,2,2,0,2,0,12,2,0,0,0,2,0
TriggerObject,5,4,0,5,4,24,4,2,0,1,1,1
TriggerObjectGameObject,1,0,0,1,0,3,0,0,1,-1,0,1
TriggerObjectTransform,1,0,0,1,0,3,0,0,1,-1,0,1
Assert,0,4,0,0,4,59,9,0,0,-1,0,2
CustomProjector,5,6,0,1,0,45,8,0,0,0,2,1
EnvironmentProperties,19,7,1,12,1,103,10,0,0,0,2,0
ImageFXBase,11,5,0,0,2,60,7,1,0,0,2,2
MeshBlit,0,1,0,0,1,21,3,0,0,-1,0,1
OffscreenBuffer,20,6,2,7,3,137,10,0,0,0,0,2
OutlinedObject,2,1,3,0,0,21,1,0,0,0,0,2
OutlinedObjectFX,10,7,0,0,3,74,9,0,1,"0,28999999165534973",7,1
RenderTextureCamera,3,2,0,3,1,16,2,0,0,0,0,0
ScreenSpaceQuad,20,7,0,2,0,129,9,0,0,"0,28999999165534973",2,1
ShaderLib,0,0,0,0,0,25,0,0,0,-1,0,3
Variables,11,0,0,11,0,13,0,0,0,-1,0,3
Keywords,1,0,0,1,0,3,0,0,0,-1,0,0
WorldSpaceProjectorBounds,3,4,0,1,0,26,4,0,0,"0,5",1,1
AnimatorCallback,1,1,0,1,1,13,2,0,0,0,0,1
ControllerInputModule,10,4,0,8,1,157,12,0,0,0,0,0
ControllerWarning,5,1,0,4,0,43,4,0,0,0,1,0
FillTextWithTextAsset,2,1,0,2,0,15,2,0,0,0,0,0
LevelSelectButton,4,4,0,4,1,56,6,0,0,0,2,1
LevelSelectMenu,15,16,2,5,8,206,32,0,0,"0,3100000023841858",5,1
SceneDataEvent,0,0,0,0,0,2,0,0,0,-1,0,1
LevelSelectMenuListener,3,0,1,3,0,17,0,0,0,-1,0,9
SelectableScene,8,2,1,7,1,27,2,0,0,0,0,2
AppButtonInput,2,1,0,2,0,12,3,0,0,0,1,0
ClickInput,4,1,0,4,0,30,5,0,0,0,1,0
ControllerOrientation,2,3,0,2,0,24,6,0,0,0,0,0
DirectionalSlashInput,9,2,0,7,0,51,6,0,0,0,0,0
ElbowOrientation,5,3,0,5,0,44,8,0,0,0,0,0
FlickInput,8,1,1,6,0,52,8,0,0,0,1,0
GyroInput,1,1,0,1,0,10,2,0,0,0,1,0
Vector3Event,0,0,0,0,0,3,0,0,0,-1,0,4
