Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
LinkToMainCamera,0,1,0,0,0,8,1,0,0,-1,0,0
GizmoType,0,0,0,0,0,7,0,0,0,-1,0,1
GizmoTypeDrawer,0,1,0,0,1,22,2,0,0,-1,1,0
LoadbalancingPeer,1,18,1,0,14,533,75,0,0,"0,33000001311302185",9,0
EnterRoomParams,8,0,0,8,0,11,0,0,0,-1,0,1
OpJoinRandomRoomParams,6,0,0,6,0,9,0,0,0,-1,1,1
ErrorCode,28,0,0,28,0,116,0,0,0,-1,0,0
ActorProperties,3,0,0,3,0,10,0,0,0,-1,0,0
GamePropertyKey,9,0,0,9,0,22,0,0,0,-1,0,1
EventCode,13,0,0,13,0,34,0,0,0,-1,0,0
ParameterCode,62,0,0,62,0,144,0,0,0,-1,0,4
OperationCode,17,0,0,17,0,38,0,0,0,-1,0,1
JoinMode,0,0,0,0,0,11,0,0,0,-1,0,1
MatchmakingMode,0,0,0,0,0,10,0,0,0,-1,0,2
ReceiverGroup,0,0,0,0,0,10,0,0,0,-1,0,2
EventCaching,0,0,0,0,0,30,0,0,0,-1,0,2
PropertyTypeFlag,0,0,0,0,0,12,0,0,0,-1,0,0
RaiseEventOptions,8,0,0,8,0,23,0,0,0,-1,2,0
LobbyType,0,0,0,0,0,9,0,0,0,-1,0,0
TypedLobby,3,3,1,3,3,23,3,0,0,0,0,0
TypedLobbyInfo,2,1,0,2,1,9,1,0,0,0,0,0
CustomAuthenticationType,0,0,0,0,0,11,0,0,0,-1,0,0
AuthenticationValues,1,6,5,0,6,56,6,0,0,1,0,0
SocketUdp,2,8,0,0,7,174,13,0,0,"0,3799999952316284",0,0
IPunObservable,0,1,0,0,0,29,1,0,0,-1,0,0
IPunCallbacks,0,27,0,0,0,284,27,0,0,-1,0,0
IPunPrefabPool,0,2,0,0,0,20,2,0,0,-1,0,0
MonoBehaviour,1,0,2,0,0,47,0,3,0,-1,0,0
PunBehaviour,0,27,0,0,27,338,27,0,1,-1,0,0
PhotonMessageInfo,3,3,1,2,3,35,3,0,0,0,0,0
RoomOptions,10,0,5,5,0,89,0,0,0,-1,0,0
PunEvent,12,0,0,12,0,15,0,0,0,-1,0,0
PhotonStream,4,16,3,0,15,263,30,0,0,0,0,0
HelpURL,0,1,0,0,1,6,1,0,0,-1,0,0
EditorSceneManager,0,3,1,0,3,19,3,0,0,-1,0,0
SceneManager,0,2,0,0,2,11,2,0,0,-1,0,0
SceneManagerHelper,0,0,3,0,0,40,0,0,0,-1,0,0
WebRpcResponse,0,2,4,0,2,35,2,0,0,-1,1,0
MonoBehaviour,1,0,2,0,0,47,0,0,0,-1,0,0
TimeKeeper,2,2,3,0,2,32,2,0,0,1,0,0
ChatChannel,4,6,2,4,6,63,8,0,0,"0,33000001311302185",0,1
ChatClient,11,33,12,3,19,823,76,0,0,0,11,0
ChatDisconnectCause,0,0,0,0,0,25,0,0,0,-1,0,1
ChatEventCode,7,0,0,7,0,10,0,0,0,-1,0,1
ChatOperationCode,9,0,0,9,0,21,0,0,0,-1,0,2
ChatParameterCode,16,0,0,16,0,35,0,0,0,-1,0,1
ChatPeer,3,4,2,2,3,115,10,0,0,1,4,1
CustomAuthenticationType,0,0,0,0,0,11,0,0,0,-1,0,2
AuthenticationValues,1,6,5,0,6,56,6,0,0,1,1,2
ParameterCode,9,0,0,9,0,19,0,0,0,-1,0,2
ErrorCode,15,0,0,15,0,62,0,0,0,-1,0,1
ChatState,0,0,0,0,0,27,0,0,0,-1,0,2
ChatUserStatus,7,0,0,7,0,17,0,0,0,-1,0,0
IChatClientListener,0,9,0,0,0,65,9,0,0,-1,1,1
ReorderableListResources,4,7,8,0,2,193,9,0,0,"0,28999999165534973",0,0
ResourceName,0,0,0,0,0,10,0,0,0,-1,0,0
