Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BaseAndroidDevice,1,8,0,0,7,98,13,1,1,"0,8799999952316284",1,1
BaseVRDevice,18,22,1,3,19,197,28,2,0,"0,7300000190734863",0,1
EditorDevice,6,7,1,0,7,81,9,0,1,"0,8600000143051147",0,0
GvrDevice,13,25,0,0,8,199,30,1,2,0,1,0
UnityVRDevice,0,11,0,0,9,31,11,0,3,-1,0,0
ControllerProviderFactory,0,1,0,0,0,25,2,0,0,-1,2,0
AndroidNativeControllerProvider,27,35,0,0,3,312,47,0,1,0,4,0
gvr_quat,4,0,0,0,0,7,0,0,0,-1,0,1
gvr_vec3,3,0,0,0,0,6,0,0,0,-1,0,1
gvr_vec2,2,0,0,0,0,5,0,0,0,-1,0,1
DummyControllerProvider,1,4,0,0,3,9,4,0,1,1,1,1
EmulatorControllerProvider,4,13,0,0,3,149,21,0,1,"0,3100000023841858",12,1
ControllerState,17,2,0,0,2,54,2,0,0,0,0,4
EmulatorClientSocket,7,8,1,0,1,190,22,0,0,0,5,1
EmulatorConfig,4,0,1,3,0,40,0,0,0,-1,1,2
Mode,0,0,0,0,0,5,0,0,0,-1,0,3
EmulatorGyroEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorAccelEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorTouchEvent,6,7,0,2,5,114,13,0,0,0,4,2
Action,0,0,0,0,0,11,0,0,0,-1,0,3
Pointer,3,2,0,3,2,16,2,0,0,0,0,2
EmulatorOrientationEvent,2,1,0,2,1,10,1,0,0,0,1,2
EmulatorButtonEvent,2,1,0,2,1,18,1,0,0,0,2,2
ButtonCode,0,0,0,0,0,8,0,0,0,-1,0,2
EmulatorManager,11,10,2,0,3,213,19,0,0,"0,20000000298023224",11,2
IControllerProvider,0,3,0,0,0,10,3,3,0,-1,1,0
PhoneEvent,26,23,19,7,19,3468,45,0,0,"0,8299999833106995",9,0
Types,0,0,0,0,0,3114,0,0,0,-1,0,0
Type,0,0,0,0,0,10,0,0,0,-1,0,0
MotionEvent,12,22,11,3,19,749,34,0,0,"0,7699999809265137",3,0
Pointer,13,21,11,3,18,355,31,0,0,"0,8600000143051147",2,0
Builder,16,164,96,0,148,1958,274,0,0,"0,14000000059604645",11,0
