Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ControllerProviderFactory,0,1,0,0,0,20,1,0,0,-1,1,0
DummyControllerProvider,1,4,1,0,3,12,4,0,1,1,1,0
EditorControllerProvider,4,4,1,0,3,56,5,0,1,0,3,1
EmulatorControllerProvider,4,13,1,0,3,154,17,0,1,"0,310000002384186",12,1
MouseControllerProvider,11,11,7,0,3,172,15,0,1,"0,360000014305115",2,1
ControllerState,23,2,0,0,2,70,2,0,0,0,0,5
EmulatorClientSocketConnectionState,0,0,0,0,0,5,0,0,0,-1,0,1
EmulatorClientSocket,8,9,1,0,1,215,27,0,0,0,6,1
EmulatorConfig,4,0,1,3,0,40,0,0,0,-1,1,2
Mode,0,0,0,0,0,5,0,0,0,-1,0,3
EmulatorGyroEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorAccelEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorTouchEvent,6,7,0,2,5,114,13,0,0,0,4,2
Action,0,0,0,0,0,11,0,0,0,-1,0,3
Pointer,3,2,0,3,2,16,2,0,0,0,0,2
EmulatorOrientationEvent,2,1,0,2,1,10,1,0,0,0,1,2
EmulatorButtonEvent,2,1,0,2,1,18,1,0,0,0,2,2
ButtonCode,0,0,0,0,0,8,0,0,0,-1,0,2
EmulatorManager,11,10,3,0,3,219,19,0,0,"0,200000002980232",11,2
IControllerProvider,0,3,1,0,0,13,3,4,0,-1,1,0
HeadsetProviderFactory,0,1,0,0,0,22,1,0,0,-1,1,0
gvr_feature,0,0,0,0,0,3,0,0,0,-1,0,0
gvr_property_type,0,0,0,0,0,7,0,0,0,-1,0,0
gvr_value_type,0,0,0,0,0,16,0,0,0,-1,0,0
gvr_recenter_flags,0,0,0,0,0,3,0,0,0,-1,0,0
DummyHeadsetProvider,1,6,1,0,6,28,6,0,1,1,1,0
EditorHeadsetProvider,1,6,1,0,6,34,6,0,1,1,1,1
HeadsetState,7,1,0,0,1,23,1,0,0,0,0,3
IHeadsetProvider,0,6,1,0,0,36,6,2,0,-1,1,0
InstantPreview,7,0,2,5,0,526,0,0,0,-1,0,0
Resolutions,0,0,0,0,0,5,0,0,0,-1,0,0
ResolutionSize,2,0,0,2,0,4,0,0,0,-1,0,0
MultisampleCounts,0,0,0,0,0,6,0,0,0,-1,0,0
BitRates,0,0,0,0,0,8,0,0,0,-1,0,0
UnityRect,4,0,0,4,0,6,0,0,0,-1,0,1
UnityEyeViews,4,0,0,4,0,6,0,0,0,-1,1,0
IKeyboardProvider,0,9,1,0,0,24,9,3,0,-1,0,0
KeyboardProviderFactory,0,1,0,0,0,16,1,0,0,-1,1,0
AndroidNativeKeyboardProvider,21,28,1,0,10,324,30,0,1,"0,109999999403954",2,0
gvr_clock_time_point,1,0,0,1,0,4,0,0,0,-1,0,1
gvr_recti,4,0,0,4,0,7,0,0,0,-1,0,1
DummyKeyboardProvider,1,10,1,0,9,29,10,0,1,1,0,0
EmulatorKeyboardProvider,7,11,1,0,10,120,20,0,1,"0,360000014305115",0,1
GvrCursorHelper,2,1,2,0,0,28,1,0,0,0,0,1
PhoneEvent,26,23,19,7,19,3468,45,0,0,"0,829999983310699",9,0
Types,0,0,0,0,0,3114,0,0,0,-1,0,0
Type,0,0,0,0,0,10,0,0,0,-1,0,0
MotionEvent,12,22,11,3,19,749,34,0,0,"0,769999980926514",3,0
Pointer,13,21,11,3,18,355,31,0,0,"0,860000014305115",2,0
Builder,16,164,96,0,148,1958,274,0,0,"0,140000000596046",11,0
