Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
PerformanceTestAttribute,0,1,0,0,1,12,1,0,0,-1,1,0
PerformanceTestCommand,0,3,0,0,3,81,10,0,0,-1,1,2
PerformanceUnityTestAttribute,1,3,0,0,2,32,4,0,0,1,1,0
VersionAttribute,1,2,0,1,2,13,2,0,0,1,0,1
Measure,0,6,0,0,6,40,7,0,0,-1,7,5
ScopeMeasurement,2,2,0,0,2,19,2,0,0,0,6,1
ProfilerMeasurement,1,2,0,0,2,30,6,0,0,0,3,1
PerformanceTest,9,12,1,7,5,188,28,0,0,0.25,5,5
PerformanceTestRun,10,0,0,10,0,14,0,0,0,-1,6,1
PlayerSystemInfo,9,0,0,9,0,13,0,0,0,-1,0,2
EditorVersion,4,0,0,4,0,8,0,0,0,-1,0,2
BuildSettings,4,0,0,4,0,8,0,0,0,-1,0,2
ScreenSettings,4,0,0,4,0,8,0,0,0,-1,0,2
QualitySettings,5,0,0,5,0,9,0,0,0,-1,0,2
PlayerSettings,13,0,0,13,0,19,0,0,0,-1,0,2
SampleGroup,11,3,1,11,3,30,4,0,0,0.6700000166893005,1,5
SampleGroupDefinition,7,2,0,7,2,37,3,0,0,0,2,10
AggregationType,0,0,0,0,0,8,0,0,0,-1,0,4
SampleUnit,0,0,0,0,0,12,0,0,0,-1,0,6
FramesMeasurement,10,13,0,0,10,133,21,0,0,0.15000000596046448,5,1
ScopedFrameTimeMeasurement,1,2,0,0,2,17,3,0,0,0,3,1
FrameTimeMeasurement,1,1,0,1,0,8,1,0,0,0,2,1
MethodMeasurement,11,16,0,0,9,153,28,0,0,0,6,1
ProfilerMarkerMeasurement,2,5,0,0,3,48,9,0,0,0.4000000059604645,5,1
PerformanceTestException,0,4,0,0,3,17,4,0,0,-1,0,0
Utils,2,16,0,2,16,214,40,0,0,0.8799999952316284,8,4
