Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
setup_cockpit,0,3,0,0,2,57,3,0,0,-1,8,1
Cockpit,3,9,2,0,9,112,15,0,0,"0,33000001311302185",8,2
GameObjectSet,1,7,1,1,7,86,12,4,0,"0,28999999165534973",1,0
ISpaceConversion,0,6,0,0,0,11,6,1,0,-1,1,3
MouseCursorController,13,3,5,2,3,123,7,0,0,0,7,1
Scene,8,26,4,1,25,301,49,0,1,0,12,10
SceneController,5,12,2,0,6,240,27,0,0,"0,17000000178813934",10,5
SceneGraphConfig,0,1,2,0,0,18,1,0,0,-1,0,4
CoordSpace,0,0,0,0,0,5,0,0,0,-1,0,13
ITransformable,0,2,0,0,0,5,2,2,0,-1,2,4
SceneObject,0,4,1,0,0,10,4,1,0,-1,2,3
TransformableSceneObject,0,0,0,0,0,3,0,2,1,-1,0,3
Box,6,8,1,0,8,76,11,0,2,"0,6200000047683716",6,1
Cylinder,7,8,1,0,8,92,11,0,2,"0,3799999952316284",7,1
SceneUIElement,0,5,1,0,0,12,5,2,0,-1,1,5
CameraController,3,3,1,0,2,53,3,0,0,"0,6700000166893005",1,1
GroundPlaneSetup,1,2,0,1,0,14,2,0,0,1,2,0
SceneLightingSetup,1,2,0,1,0,34,4,0,0,1,2,0
ITransformWrapper,0,2,0,0,0,5,2,2,1,-1,0,1
PassThroughWrapper,1,5,0,0,5,18,5,0,2,"0,6000000238418579",3,0
SceneFrameWrapper,4,5,0,0,5,49,6,0,2,0,4,0
TransformGizmo,19,9,2,0,7,209,20,0,1,"0,2199999988079071",11,2
FrameType,0,0,0,0,0,4,0,0,0,-1,0,2
HUDButton,3,7,2,0,6,78,9,0,1,"0,7099999785423279",2,1
HUDStandardItem,0,8,1,0,8,53,10,1,1,-1,5,0
DebugUtil,0,4,0,0,3,53,6,0,0,-1,1,0
Frame3,3,12,5,1,12,105,14,0,0,"0,17000000178813934",0,16
MaterialUtil,0,6,0,0,5,40,6,0,0,-1,1,4
MathUtil,0,12,0,0,11,137,17,0,0,-1,3,8
MeshGenerators,0,3,0,0,3,171,12,0,0,-1,0,2
RayHit,2,1,1,2,1,13,1,1,0,0,0,0
GameObjectRayHit,1,0,0,1,0,4,0,3,1,-1,0,11
SORayHit,1,2,0,1,2,13,2,0,2,1,2,6
UIRayHit,1,2,0,1,2,13,2,0,2,1,2,12
HitType,0,0,0,0,0,4,0,0,0,-1,0,1
AnyRayHit,3,5,0,3,5,38,5,0,2,"0,4000000059604645",6,4
AxisRotationWidget,7,3,0,0,3,68,3,0,1,0,5,0
AxisTranslationWidget,7,3,0,0,3,58,3,0,1,0,6,0
PlaneTranslationWidget,5,3,0,0,3,52,3,0,1,0,5,0
Widget,0,2,0,0,0,5,2,3,0,-1,2,1
