Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
NVRExampleColorLever,4,1,0,4,0,15,1,0,0,0,1,0
NVRExampleColorSlider,4,1,0,4,0,14,1,0,0,0,1,0
NVRExampleDegreeResult,2,2,0,1,0,16,2,0,0,0,1,0
NVRExampleGun,3,1,0,3,1,19,1,0,1,0,1,0
NVRExampleLetterResult,2,2,0,1,0,16,2,0,0,0,1,0
NVRExampleRGBResult,4,1,0,4,0,14,1,0,0,0,1,0
NVRExampleSwitchResult,2,2,0,1,0,16,2,0,0,0,1,0
NVRExampleLeverResultRocket,3,4,0,2,1,53,6,0,0,0,2,0
NVRAttachJoint,5,5,1,5,0,69,10,0,0,0,3,1
NVRAttachPoint,4,6,0,4,3,66,9,0,0,0,3,2
AttachPointMapper,1,3,0,0,3,23,3,0,0,0,1,2
NVRButton,10,3,0,6,0,69,8,0,0,0,0,0
NVRButtonInputs,8,0,0,8,0,26,0,0,0,-1,0,1
NVRDrawer,2,4,1,1,2,61,8,0,1,0,2,0
NVRHand,32,22,2,13,9,543,75,0,0,0,9,10
VisibilityLevel,0,0,0,0,0,6,0,0,0,-1,0,1
HandState,0,0,0,0,0,7,0,0,0,-1,0,1
NVRHead,0,0,0,0,0,3,0,0,0,-1,0,1
NVRHelpers,1,2,1,0,2,53,5,0,0,1,0,2
NVRInteractable,9,12,1,7,6,151,27,5,0,0.1700000017881393,2,8
NVRInteractableItem,5,4,0,1,2,90,11,1,1,0,2,5
NVRInteractableRotator,2,4,1,1,2,62,8,1,1,0,2,1
NVRInteractables,3,4,0,0,4,40,5,0,0,0,2,3
NVRLetterSpinner,4,4,0,0,2,77,10,0,2,0,2,1
NVRLever,13,9,1,6,2,145,17,0,1,0,3,2
LeverPosition,0,0,0,0,0,6,0,0,0,-1,0,1
RotationAxis,0,0,0,0,0,6,0,0,0,-1,0,0
NVRPhysicalController,9,8,1,1,4,196,16,0,0,0,2,1
NVRPlayer,7,4,0,6,3,63,10,0,0,0,4,2
NVRSlider,6,5,0,3,2,92,12,0,1,0,2,2
NVRSwitch,9,4,0,6,0,77,8,0,0,0,0,1
NVRTeleporter,1,1,0,0,0,9,1,0,0,0,1,0
IVRSystem,46,0,0,0,0,234,0,0,0,-1,0,1
IVRExtendedDisplay,3,0,0,0,0,19,0,0,0,-1,0,1
IVRApplications,23,0,0,0,0,119,0,0,0,-1,0,1
IVRChaperone,8,0,0,0,0,44,0,0,0,-1,0,1
IVRChaperoneSetup,20,0,0,0,0,104,0,0,0,-1,0,1
