Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
GizmoType,0,0,0,0,0,7,0,0,0,-1,0,1
GizmoTypeDrawer,0,1,0,0,1,23,2,0,0,-1,1,0
IPunObservable,0,1,0,0,0,29,1,0,0,-1,0,0
IPunCallbacks,0,27,0,0,0,310,27,0,0,-1,0,0
IPunPrefabPool,0,2,0,0,0,21,2,0,0,-1,0,0
MonoBehaviour,1,0,2,0,0,49,0,3,0,-1,0,0
PunBehaviour,0,27,0,0,27,364,27,2,1,-1,0,0
PhotonMessageInfo,3,2,1,2,2,28,2,0,0,0,0,0
PunEvent,12,0,0,12,0,15,0,0,0,-1,0,0
PhotonStream,4,17,3,0,16,292,31,0,0,0,0,0
HelpURL,0,1,0,0,1,6,1,0,0,-1,0,0
EditorSceneManager,0,3,1,0,3,22,3,0,0,-1,0,0
SceneManager,0,2,0,0,2,12,2,0,0,-1,0,0
SceneManagerHelper,0,0,3,0,0,42,0,0,0,-1,0,0
WebRpcResponse,0,2,4,0,2,40,2,0,0,-1,0,0
IPunObservable,0,1,0,0,0,29,1,0,0,-1,0,0
IPunCallbacks,0,27,0,0,0,310,27,0,0,-1,0,0
IPunPrefabPool,0,2,0,0,0,21,2,0,0,-1,0,0
MonoBehaviour,1,0,2,0,0,49,0,0,0,-1,0,0
PunBehaviour,0,27,0,0,27,364,27,0,1,-1,0,0
PhotonMessageInfo,3,2,1,2,2,28,2,0,0,0,0,0
PunEvent,12,0,0,12,0,15,0,0,0,-1,0,0
PhotonStream,4,17,3,0,16,292,31,0,0,0,0,0
HelpURL,0,1,0,0,1,6,1,0,0,-1,0,0
EditorSceneManager,0,3,1,0,3,22,3,0,0,-1,0,0
SceneManager,0,2,0,0,2,12,2,0,0,-1,0,0
SceneManagerHelper,0,0,3,0,0,42,0,0,0,-1,0,0
WebRpcResponse,0,2,4,0,2,40,2,0,0,-1,0,0
IPunObservable,0,1,0,0,0,29,1,0,0,-1,0,0
IPunCallbacks,0,27,0,0,0,310,27,0,0,-1,0,0
IPunPrefabPool,0,2,0,0,0,21,2,0,0,-1,0,0
MonoBehaviour,1,0,2,0,0,49,0,0,0,-1,0,0
PunBehaviour,0,27,0,0,27,364,27,0,1,-1,0,0
PhotonMessageInfo,3,2,1,2,2,28,2,0,0,0,0,0
PunEvent,12,0,0,12,0,15,0,0,0,-1,0,0
PhotonStream,4,17,3,0,16,292,31,0,0,0,0,0
HelpURL,0,1,0,0,1,6,1,0,0,-1,0,0
EditorSceneManager,0,3,1,0,3,22,3,0,0,-1,0,0
SceneManager,0,2,0,0,2,12,2,0,0,-1,0,1
SceneManagerHelper,0,0,3,0,0,42,0,0,0,-1,0,0
WebRpcResponse,0,2,4,0,2,40,2,0,0,-1,0,0
SocketUdp,2,8,0,0,7,203,13,0,0,0.3799999952316284,0,0
PlayerRoomIndexing,8,12,1,3,8,232,32,0,2,0.1700000017881393,0,2
PlayerRoomIndexingExtensions,0,1,0,0,1,15,2,0,0,-1,1,0
ButtonInsideScrollList,1,3,0,0,0,32,5,0,0,0,0,0
TextButtonTransition,3,3,0,2,3,23,3,0,0,0,0,0
TextToggleIsOnTransition,7,5,0,5,5,46,5,0,0,0,0,0
TimeKeeper,2,2,3,0,2,37,2,0,0,1,0,0
CameraRigSyncingSetup,3,2,0,3,0,35,4,0,0,1,0,0
NetworkManager,1,4,0,0,3,24,4,0,2,1,0,0
SDKChooser,4,4,0,4,0,135,10,0,0,0,2,0
SDKSetup,3,0,0,3,0,7,0,0,0,-1,0,1
ReorderableListResources,4,7,8,0,2,220,9,0,0,0.2899999916553497,0,0
ResourceName,0,0,0,0,0,10,0,0,0,-1,0,0
PlayerRoomIndexingInspector,2,4,0,0,1,51,7,0,0,0.5,1,0
PunTeamsInspector,1,1,0,0,1,38,7,0,0,0,0,0
