Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AppButtonInput,2,1,0,2,0,15,3,0,0,0,1,0
Vector3Event,0,0,0,0,0,2,0,0,0,-1,0,0
Vector2Event,0,0,0,0,0,2,0,0,0,-1,0,0
FloatEvent,0,0,0,0,0,2,0,0,0,-1,0,0
BoolEvent,0,0,0,0,0,2,0,0,0,-1,0,0
ButtonEvent,0,0,0,0,0,2,0,0,0,-1,0,1
TouchPadEvent,0,0,0,0,0,2,0,0,0,-1,0,0
TransformEvent,0,0,0,0,0,2,0,0,0,-1,0,0
GameObjectEvent,0,0,0,0,0,2,0,0,0,-1,0,0
AutoPlayVideo,5,2,0,2,0,39,6,0,0,0,0,0
PositionSwapper,2,12,0,1,2,67,13,0,0,"0,17000000178813934",0,0
ToggleAction,7,4,0,5,2,52,8,0,0,0,0,0
ControllerProviderFactory,0,1,0,0,0,18,1,0,0,-1,1,0
AndroidNativeControllerProvider,33,38,0,0,3,371,44,0,1,"0,10999999940395355",4,0
gvr_quat,4,0,0,0,0,7,0,0,0,-1,0,1
gvr_vec3,3,0,0,0,0,6,0,0,0,-1,0,1
gvr_vec2,2,0,0,0,0,5,0,0,0,-1,0,1
DummyControllerProvider,1,4,0,0,3,9,4,0,1,1,1,0
EmulatorControllerProvider,4,13,0,0,3,149,19,0,1,"0,3100000023841858",12,1
ControllerState,23,2,0,0,2,71,2,0,0,0,0,4
EmulatorClientSocket,8,9,1,0,1,214,26,0,0,0,5,1
EmulatorConfig,4,0,1,3,0,39,0,0,0,-1,1,2
Mode,0,0,0,0,0,5,0,0,0,-1,0,3
EmulatorGyroEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorAccelEvent,2,1,0,2,1,9,1,0,0,0,1,2
EmulatorTouchEvent,6,7,0,2,5,114,13,0,0,0,4,2
Action,0,0,0,0,0,11,0,0,0,-1,0,3
Pointer,3,2,0,3,2,16,2,0,0,0,0,2
EmulatorOrientationEvent,2,1,0,2,1,10,1,0,0,0,1,2
EmulatorButtonEvent,2,1,0,2,1,18,1,0,0,0,2,2
ButtonCode,0,0,0,0,0,8,0,0,0,-1,0,2
EmulatorManager,11,10,2,0,3,213,19,0,0,"0,20000000298023224",11,2
IControllerProvider,0,3,0,0,0,12,3,3,0,-1,1,0
IKeyboardProvider,0,9,1,0,0,24,9,3,0,-1,0,0
KeyboardProviderFactory,0,1,0,0,0,14,1,0,0,-1,1,0
AndroidNativeKeyboardProvider,21,28,1,0,10,312,30,0,1,"0,10999999940395355",2,0
gvr_clock_time_point,1,0,0,1,0,4,0,0,0,-1,0,1
gvr_recti,4,0,0,4,0,7,0,0,0,-1,0,1
DummyKeyboardProvider,1,10,1,0,9,29,10,0,1,1,0,0
EmulatorKeyboardProvider,7,11,1,0,10,120,20,0,1,"0,36000001430511475",0,1
PhoneEvent,26,23,19,7,19,3468,45,0,0,"0,8299999833106995",9,0
Types,0,0,0,0,0,3114,0,0,0,-1,0,0
Type,0,0,0,0,0,10,0,0,0,-1,0,0
MotionEvent,12,22,11,3,19,749,34,0,0,"0,7699999809265137",3,0
Pointer,13,21,11,3,18,355,31,0,0,"0,8600000143051147",2,0
Builder,16,164,96,0,148,1958,274,0,0,"0,14000000059604645",11,0
GyroscopeEvent,16,21,13,4,18,401,34,0,0,"0,8600000143051147",2,0
AccelerometerEvent,16,21,13,4,18,401,34,0,0,"0,8600000143051147",2,0
DepthMapEvent,16,22,13,4,19,425,37,0,0,"0,7699999809265137",2,0
OrientationEvent,19,21,15,5,18,447,37,0,0,"0,8600000143051147",2,0
KeyEvent,10,21,9,2,18,309,28,0,0,"0,8600000143051147",2,0
PhoneEvent,26,23,19,7,19,3468,45,0,0,"0,3499999940395355",8,5
Types,0,0,0,0,0,3114,0,0,0,-1,0,3
Type,0,0,0,0,0,10,0,0,0,-1,0,5
MotionEvent,12,22,11,3,19,749,34,0,0,"0,27000001072883606",2,7
Pointer,13,21,11,3,18,355,31,0,0,"0,33000001311302185",1,6
Builder,16,164,96,0,148,1958,274,0,0,0,10,18
GyroscopeEvent,16,21,13,4,18,401,34,0,0,"0,33000001311302185",1,6
AccelerometerEvent,16,21,13,4,18,401,34,0,0,"0,33000001311302185",1,6
DepthMapEvent,16,22,13,4,19,425,37,0,0,"0,27000001072883606",1,5
OrientationEvent,19,21,15,5,18,447,37,0,0,"0,33000001311302185",1,6
KeyEvent,10,21,9,2,18,309,28,0,0,"0,33000001311302185",1,6
BasementElevatorAnimatorController,1,2,1,0,1,19,4,0,0,1,1,0
BasementRoomManager,4,4,3,1,1,69,10,0,0,"0,75",1,2
CompletionPillar,7,2,0,0,0,23,2,0,0,0,0,0
Generator,11,3,4,4,0,120,8,0,0,"0,6700000166893005",1,2
Plug,5,5,1,2,0,91,16,0,0,"0,800000011920929",1,0
FinaleDoor,7,7,8,0,2,240,19,0,0,"0,4300000071525574",0,0
FinaleElevatorAnimatorController,1,2,1,0,1,19,4,0,0,1,1,0
FinaleGvrRoomController,2,1,0,0,0,47,3,0,0,0,1,0
Door,5,0,1,5,0,13,0,0,0,-1,0,1
FinaleRoomManager,12,5,5,0,0,158,15,0,0,"0,6000000238418579",1,1
PlayInstrumentGroupRequirement,7,1,2,1,1,43,4,0,0,0,0,1
FinaleTogglable,5,4,3,2,1,63,7,0,0,"0,75",0,0
DrumInstrument,0,1,0,0,1,9,1,0,1,-1,1,0
Instrument,8,8,2,1,3,143,21,2,0,0,1,3
InstrumentGroup,8,4,5,4,2,131,14,0,0,0,1,1
StringInstrument,0,1,0,0,1,9,1,0,1,-1,1,0
BaseGear,5,2,0,5,0,47,4,1,0,0,0,1
CompletedCrank,7,2,0,1,0,26,3,0,0,0,0,1
Crank,9,2,0,0,0,45,7,0,0,0,2,0
RotationMode,0,0,0,0,0,5,0,0,0,-1,0,1
FollowerGear,6,1,0,0,0,94,7,0,1,0,2,0
TeethLocking,0,0,0,0,0,4,0,0,0,-1,0,1
GearRoomDoor,11,1,0,0,0,50,10,0,0,0,1,0
GearRoomElevatorAnimatorController,2,2,1,0,1,22,4,0,0,1,1,0
GearRoomManager,6,4,6,2,1,106,9,0,0,1,1,3
GearRoomObjective,4,4,1,0,1,47,6,0,0,1,3,1
CompletionMode,0,0,0,0,0,4,0,0,0,-1,0,1
IncompleteMode,0,0,0,0,0,4,0,0,0,-1,0,1
ProgressCrank,11,1,0,8,0,68,11,0,0,0,0,0
LobbyElevatorAnimatorController,1,2,1,0,1,18,4,0,0,1,1,0
