Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
EonSpinner,7,2,0,2,0,30,2,0,0,0,0,0
SyncFacing,3,3,0,2,0,38,6,0,0,0,0,0
SyncOrbit,3,3,0,2,0,36,6,0,0,0,0,0
DynamicWindColorEffector,13,3,0,9,3,58,4,0,0,0,0,2
DynamicWindColorResponder,13,7,0,3,3,84,11,0,0,0,0,1
GlobalDynamicWindColorSimple,36,8,0,16,0,172,14,0,0,0,2,1
SimpleCustomFog,1,1,0,1,0,43,1,0,0,0,1,0
Fog,5,0,0,5,0,30,0,0,0,-1,0,1
MessageSign,12,5,0,6,0,85,9,0,0,0,0,1
CombineMeshFilters,1,2,0,1,1,28,5,0,0,0,0,1
AudioFader,4,2,1,2,0,42,4,0,0,0,0,2
JumpToPage,7,7,2,4,3,95,12,0,0,"0,28999999165534973",1,0
PagedScrollBar,4,3,1,1,2,67,6,0,0,1,1,1
PagedScrollRect,36,28,9,12,6,774,85,0,0,"0,07000000029802322",4,2
SnapDirection,0,0,0,0,0,5,0,0,0,-1,0,1
ChildrenPageProvider,2,5,0,1,4,46,6,0,1,"0,6000000238418579",0,0
IPageProvider,0,4,0,0,0,16,4,4,0,-1,0,1
PooledPageProvider,4,5,1,2,4,59,5,0,1,1,1,0
PrefabPageProvider,2,4,0,2,4,33,4,0,1,"0,75",0,0
BaseScrollEffect,0,1,0,0,1,15,1,4,0,-1,1,1
UpdateData,9,0,0,9,0,11,0,0,0,-1,0,6
BaseTile,8,11,2,0,4,121,19,2,0,"0,550000011920929",1,3
FadeScrollEffect,1,1,0,1,1,36,4,0,1,0,1,0
FloatTile,11,13,0,5,4,177,24,0,1,0,2,0
MaskedTile,13,8,0,4,3,188,17,0,1,0,2,0
ScaleScrollEffect,1,1,0,1,1,18,1,0,1,0,1,0
TiledPage,6,6,1,0,2,247,18,0,0,0,2,5
TileOrderBy,0,0,0,0,0,7,0,0,0,-1,0,1
TileScrollEffect,0,1,0,0,1,17,2,0,1,-1,2,0
TranslateScrollEffect,4,1,0,4,1,22,1,0,1,0,1,0
GameObjectPool,2,7,0,0,3,42,8,0,0,"0,28999999165534973",1,2
GameObjectPoolController,1,4,0,0,3,30,7,0,0,0,0,1
IObjectPool,0,2,3,0,0,16,2,1,0,-1,0,1
ObjectPool<T>,2,14,3,0,7,110,20,0,1,"0,5699999928474426",0,0
ObjectPoolManager,2,7,1,0,5,71,13,0,0,"0,28999999165534973",1,0
Tab,3,10,2,0,1,138,19,0,0,0,2,1
TabGroup,3,2,3,0,0,56,2,0,0,1,1,1
IUITransition,0,2,0,0,0,4,2,1,0,-1,0,1
UIFadeTransition,5,6,0,0,2,97,13,0,1,0,0,0
AssetTree,5,4,1,2,2,105,10,0,0,0,2,6
Node,3,0,0,3,0,5,0,0,0,-1,0,5
SerializedNode,6,0,0,6,0,14,0,0,0,-1,0,2
ReorientOnLoad,1,4,0,0,0,28,5,0,0,0,0,0
IconState,0,0,0,0,0,10,0,0,0,-1,0,5
IconRelationship,0,0,0,0,0,5,0,0,0,-1,0,1
IconValue,5,5,0,5,4,57,7,0,0,0,1,2
EasingFunction,0,0,0,0,0,4,0,0,0,-1,0,1
CustomizeArmModelUI,14,22,0,13,2,201,25,0,0,"0,09000000357627869",4,0
FollowObjectRotation,1,1,0,1,0,11,2,0,0,0,0,0
ScalarSliderUI,3,9,1,3,0,85,16,0,0,"0,5600000023841858",0,1
VectorSlidersUI,7,12,1,7,0,118,19,0,0,"0,33000001311302185",0,1
EasingFunctions,0,2,0,0,2,15,2,0,0,-1,0,3
