Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
CameraControls,10,2,0,3,0,67,4,0,0,0,0,0
IcoBumpin,33,3,0,15,0,259,12,0,0,0,1,0
FaceRef,3,1,0,3,1,13,1,0,0,0,0,1
HueCube,1,2,0,0,0,97,7,0,0,0,0,0
RuntimeEdit,7,7,0,2,3,220,23,0,0,0,1,0
pb_Selection,2,6,0,2,6,41,8,0,0,0,0,1
ProBuilderToolMenu,2,2,5,2,2,47,2,0,0,1,0,1
VRAudioModule,2,2,0,0,1,22,4,0,0,0,0,2
GridModule,8,6,0,0,2,113,10,0,0,0,0,1
GuideModule,5,6,0,0,2,64,7,0,0,0,0,1
HeightGuideModule,6,7,0,0,2,114,9,0,0,0,0,1
HighlightElementsModule,3,5,1,0,3,136,16,0,0,0,0,1
SelectionBoundsModule,2,5,0,0,1,88,11,0,0,0,0,1
RollingAverage_Vector3,6,3,0,0,3,61,4,0,0,0,0,1
VertexSnap,3,1,0,3,1,11,1,0,0,0,0,1
Snapping,6,8,0,1,6,132,17,0,0,0.5,0,3
VRMath,0,2,0,0,2,34,4,0,0,-1,0,3
ProBuilderToolBase,5,7,3,0,3,104,16,2,0,0,3,0
AShapeCreator,4,4,2,1,4,49,4,1,0,1,0,1
CreateCube,11,5,0,0,3,131,13,0,1,0,3,0
State,0,0,0,0,0,5,0,0,0,-1,0,1
CreateShapeTool,19,6,2,0,3,221,22,0,1,0,9,1
ShapeCreationState,0,0,0,0,0,5,0,0,0,-1,0,1
UpdateShaderTime,1,2,0,0,0,19,3,0,0,0,0,0
TranslateElementTool,27,6,1,2,4,242,21,0,1,0,7,1
CreateState,0,0,0,0,0,5,0,0,0,-1,0,1
pb_AboutWindowSetup,0,1,0,0,0,8,1,0,0,-1,1,0
pb_AboutWindow,29,8,1,4,3,293,20,0,0,0.3799999952316284,3,2
pb_UpdateAvailable,6,3,1,0,1,84,5,0,0,0,2,1
pb_UpdateCheck,4,6,0,0,1,105,14,0,0,0,3,0
VersionType,0,0,0,0,0,6,0,0,0,-1,0,1
pb_VersionInfo,7,7,0,7,6,133,11,0,0,0,1,4
pb_AboutEntry,10,0,0,10,0,15,0,0,0,-1,0,2
pb_VersionUtil,0,4,0,0,3,101,11,0,0,-1,2,2
pb_MissingScriptEditor,11,8,3,0,2,379,40,0,0,0.3799999952316284,0,0
pb_ScenePostProcessor,0,1,0,0,1,59,12,0,0,-1,0,0
pb_ExportObj,0,0,0,0,0,2,0,0,0,-1,0,0
pb_GenerateUV2,0,4,0,0,3,61,11,0,0,-1,0,0
pb_MakeMeshAsset,0,0,0,0,0,2,0,0,0,-1,0,0
pb_ProBuilderize,0,0,0,0,0,3,0,0,0,-1,0,0
pb_StripProBuilderScripts,0,5,0,0,5,109,18,0,0,-1,0,0
pb_BridgeEdges,0,0,0,0,0,1,0,0,0,-1,0,0
pb_ConformNormals,0,0,0,0,0,1,0,0,0,-1,0,0
pb_ConnectEdges,0,0,0,0,0,1,0,0,0,-1,0,0
pb_DetachDeleteFace,0,0,0,0,0,1,0,0,0,-1,0,0
pb_ExtrudeElement,0,0,0,0,0,1,0,0,0,-1,0,0
pb_FlipEdge,0,0,0,0,0,1,0,0,0,-1,0,0
pb_FlipNormals,0,0,0,0,0,1,0,0,0,-1,0,0
pb_FreezeTransform,0,0,0,0,0,1,0,0,0,-1,0,0
pb_MergeFaces,0,0,0,0,0,1,0,0,0,-1,0,0
pb_SetPivot,0,0,0,0,0,1,0,0,0,-1,0,0
pb_Triangulate,0,0,0,0,0,1,0,0,0,-1,0,0
pb_VertexMergeWeld,0,0,0,0,0,1,0,0,0,-1,0,0
pb_CleanLeakedMeshes,0,1,0,0,1,16,1,0,0,-1,0,0
pb_ForceSceneRefresh,0,2,0,0,1,38,5,0,0,-1,0,0
pb_RebuildMeshes,0,4,0,0,1,78,7,0,0,-1,0,0
pb_RebuildSharedIndices,0,3,0,0,1,52,6,0,0,-1,0,0
pb_RemoveDegenerateTris,0,1,0,0,1,21,2,0,0,-1,0,0
pb_RepairColors,0,1,0,0,1,22,3,0,0,-1,0,0
pb_RepairMeshReferences,0,2,0,0,1,31,5,0,0,-1,0,0
pb_ResetEntityMaterials,0,2,0,0,1,34,5,0,0,-1,0,0
pb_UpgradeBasicToAdvanced,0,3,0,0,2,54,8,0,0,-1,0,0
pb_EdgeSelection,0,0,0,0,0,1,0,0,0,-1,0,0
pb_ExpandSelection,0,0,0,0,0,1,0,0,0,-1,0,0
pb_InvertSelection,0,0,0,0,0,1,0,0,0,-1,0,0
pb_MaterialSelection,0,0,0,0,0,1,0,0,0,-1,0,0
pb_MaterialSelectionShortcut,0,0,0,0,0,2,0,0,0,-1,0,0
pb_ProBuilderMenuItems,0,0,0,0,0,1,0,0,0,-1,0,0
