Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
PlaceTargetWithMouse,2,1,0,2,0,25,4,0,0,0,0,0
SlowMoButton,6,3,0,5,1,39,4,0,0,"0,670000016689301",0,0
Ack,3,3,0,2,3,24,3,0,0,0,0,1
Decoder,0,1,0,0,1,81,9,0,0,-1,3,1
Encoder,0,1,0,0,1,53,6,0,0,-1,3,1
EnginePacketType,0,0,0,0,0,11,0,0,0,-1,0,4
Packet,6,4,0,6,4,28,4,0,0,"0,5",2,3
Parser,0,1,0,0,1,23,5,0,0,-1,1,1
SocketIOComponent,23,29,3,6,13,382,54,0,0,0,12,0
SocketIOEvent,0,3,2,0,3,19,3,0,0,-1,0,2
SocketIOException,0,3,0,0,3,6,3,0,0,-1,0,0
SocketPacketType,0,0,0,0,0,12,0,0,0,-1,0,3
ByteOrder,0,0,0,0,0,11,0,0,0,-1,0,3
CloseEventArgs,3,1,3,0,0,71,1,0,0,0,3,2
CloseStatusCode,0,0,0,0,0,76,0,0,0,-1,0,6
CompressionMethod,0,0,0,0,0,11,0,0,0,-1,0,2
ErrorEventArgs,1,1,1,0,0,33,1,0,0,0,0,1
Ext,1,103,0,0,36,1752,191,0,0,"0,670000016689301",12,0
Fin,0,0,0,0,0,5,0,0,0,-1,0,2
HandshakeBase,4,3,3,0,1,85,6,2,0,1,0,1
HandshakeRequest,4,5,5,0,2,143,13,0,1,"0,600000023841858",3,3
HandshakeResponse,2,6,6,0,2,144,13,0,1,"0,670000016689301",4,3
LogData,4,2,4,0,1,114,4,0,0,0,1,1
Logger,4,12,3,0,9,278,18,0,0,"0,330000013113022",2,5
LogLevel,0,0,0,0,0,27,0,0,0,-1,0,2
Mask,0,0,0,0,0,5,0,0,0,-1,0,2
MessageEventArgs,3,3,3,0,0,84,4,0,0,0,3,3
Opcode,0,0,0,0,0,33,0,0,0,-1,0,3
PayloadData,4,11,5,1,9,145,17,0,0,"0,449999988079071",0,4
Rsv,0,0,0,0,0,5,0,0,0,-1,0,1
WebSocket,32,89,15,0,24,2112,166,0,0,0,25,3
WebSocketException,0,6,1,0,0,52,6,0,0,-1,1,1
WebSocketFrame,11,32,24,0,21,658,47,0,0,"0,379999995231628",7,2
WebSocketState,0,0,0,0,0,24,0,0,0,-1,0,2
WebSocketStream,4,17,2,0,12,246,27,0,0,"0,28999999165535",5,3
AuthenticationBase,2,6,6,0,1,116,8,2,0,"0,5",1,0
AuthenticationChallenge,0,7,2,0,0,111,14,0,1,-1,1,3
AuthenticationResponse,1,16,7,0,1,282,25,0,1,"0,25",3,4
AuthenticationSchemes,0,0,0,0,0,20,0,0,0,-1,0,8
Chunk,2,2,1,0,2,47,4,0,0,0,0,1
ChunkedRequestStream,5,6,1,0,5,167,20,0,1,0,7,0
ChunkStream,9,14,3,0,6,319,55,0,0,0,3,1
Cookie,16,15,17,0,7,750,42,0,0,"0,469999998807907",0,5
CookieCollection,2,16,6,0,6,545,44,0,0,"0,189999997615814",1,7
CookieException,0,6,0,0,2,101,6,0,0,-1,0,0
EndPointListener,9,16,2,0,6,426,53,0,0,"0,119999997317791",7,2
EndPointManager,1,9,0,0,5,136,15,0,0,"0,219999998807907",3,3
HttpBasicIdentity,1,1,1,0,0,34,1,0,0,0,0,2
HttpConnection,23,21,7,0,8,514,45,0,0,0,12,7
HttpDigestIdentity,1,2,9,0,0,145,2,0,0,0,1,2
HttpHeaderInfo,1,3,6,0,3,86,3,0,0,"0,670000016689301",1,1
HttpHeaderType,0,0,0,0,0,11,0,0,0,-1,0,2
HttpListener,14,23,12,0,8,690,38,0,0,0,8,7
HttpListenerContext,7,3,7,0,1,186,10,0,0,"0,670000016689301",11,8
HttpListenerException,0,4,1,0,3,77,4,0,0,-1,0,0
HttpListenerPrefixCollection,2,10,3,0,7,251,16,0,0,0,3,1
HttpListenerRequest,22,10,27,0,4,671,36,0,0,"0,400000005960465",7,8
HttpListenerResponse,17,17,15,0,9,852,52,0,0,0,9,7
HttpStatusCode,0,0,0,0,0,311,0,0,0,-1,0,8
HttpStreamAsyncResult,10,3,4,0,3,88,3,0,0,0,0,3
HttpUtility,3,42,1,0,27,1151,124,0,0,"0,170000001788139",1,4
HttpVersion,2,1,0,2,1,27,1,0,0,0,0,2
InputChunkState,0,0,0,0,0,7,0,0,0,-1,0,1
InputState,0,0,0,0,0,5,0,0,0,-1,0,1
LineState,0,0,0,0,0,6,0,0,0,-1,0,1
ListenerAsyncResult,10,6,4,0,1,153,10,0,0,0,7,1
ListenerPrefix,7,6,5,1,5,160,17,0,0,"0,330000013113022",1,4
NetworkCredential,4,2,4,0,2,143,3,0,0,1,0,4
QueryStringCollection,0,1,0,0,1,19,4,0,0,-1,0,1
ReadBufferState,0,1,5,0,1,40,1,0,0,-1,1,1
RequestStream,6,13,5,0,10,230,36,1,0,"0,620000004768372",1,2
ResponseStream,6,14,5,0,10,264,26,0,0,"0,5",1,3
WebHeaderCollection,3,55,3,0,24,1478,76,0,0,"0,109999999403954",2,6
SslStream,0,4,1,0,4,47,4,0,0,-1,0,2
HttpListenerWebSocketContext,2,4,18,0,1,285,4,0,1,0,7,2
TcpListenerWebSocketContext,9,6,18,0,1,343,10,0,1,0,13,2
WebSocketContext,0,1,17,0,0,166,1,2,0,-1,0,1
AbstractTargetFollower,4,7,1,0,3,98,16,3,0,0,1,2
UpdateType,0,0,0,0,0,6,0,0,0,-1,0,1
AutoCam,12,1,0,0,0,98,6,0,1,0,0,0
FreeLookCam,13,5,0,0,0,108,10,0,1,"0,600000023841858",2,0
HandHeldCam,4,1,0,0,0,27,1,0,1,0,1,0
LookatTarget,5,2,0,0,0,60,2,1,1,0,1,1
PivotBasedCameraRig,3,1,0,0,0,21,1,2,1,0,0,1
ProtectCameraFromWallClip,14,2,1,6,0,117,8,0,0,0,1,0
RayHitComparer,0,1,0,0,1,7,1,0,0,-1,0,1
TargetFieldOfView,7,4,0,0,2,72,7,0,1,0,1,0
AxisTouchButton,6,5,0,4,2,68,10,0,0,0,2,0
ButtonHandler,1,7,0,1,6,44,7,0,0,"0,430000007152557",1,0
CrossPlatformInputManager,3,24,1,0,22,311,26,0,0,0,4,11
ActiveInputMethod,0,0,0,0,0,5,0,0,0,-1,0,1
VirtualAxis,1,4,4,0,4,45,4,0,0,1,0,8
VirtualButton,3,5,5,0,5,74,6,0,0,"0,800000011920929",0,3
InputAxisScrollbar,1,2,0,1,1,11,2,0,0,1,1,0
Joystick,9,8,0,4,3,111,16,0,0,"0,25",3,0
AxisOption,0,0,0,0,0,12,0,0,0,-1,0,2
MobileControlRig,0,6,0,0,0,75,9,0,0,-1,0,0
TiltInput,5,3,0,4,0,88,7,0,0,0,5,0
AxisOptions,0,0,0,0,0,5,0,0,0,-1,0,2
AxisMapping,2,0,0,2,0,15,0,0,0,-1,1,2
MappingType,0,0,0,0,0,7,0,0,0,-1,0,4
TiltInputAxisStylePropertyDrawer,0,1,0,0,1,40,3,0,0,-1,0,0
TouchPad,17,8,0,6,2,148,16,0,0,"0,25",4,0
ControlStyle,0,0,0,0,0,6,0,0,0,-1,0,1
VirtualInput,3,21,1,0,21,126,25,2,0,"0,709999978542328",2,1
MobileInput,0,13,0,0,11,127,23,0,1,-1,3,0
StandaloneInput,0,11,0,0,11,73,11,0,1,-1,0,0
AxisOptions,0,0,0,0,0,5,0,0,0,-1,0,0
AxisMapping,2,0,0,2,0,15,0,0,0,-1,1,0
MappingType,0,0,0,0,0,7,0,0,0,-1,0,0
AAMode,0,0,0,0,0,10,0,0,0,-1,0,2
Antialiasing,22,3,0,15,3,160,7,0,1,0,1,1
Bloom,30,7,0,25,2,352,22,0,1,0,5,1
