Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
SlidingMax,3,2,1,0,2,40,4,0,0,0,1,1
IndexValuePair,2,1,0,2,1,9,1,0,0,0,0,1
RingBuffer<T>,4,15,3,0,9,205,27,0,0,0,0,0
SmoothedFloat,3,2,0,3,2,26,3,0,0,0,0,2
SmoothedQuaternion,3,2,0,3,2,26,3,0,0,0,0,0
SmoothedVector3,3,2,0,3,2,26,3,0,0,0,0,0
AbstractHoldDetector,16,5,17,1,0,186,12,1,1,0.6000000238418579,2,0
Detector,9,2,1,3,2,54,4,6,0,0,0,1
DetectorLogicGate,4,8,0,3,3,124,18,0,1,0.25,2,0
LogicType,0,0,0,0,0,1,0,0,0,-1,0,1
ExtendedFingerDetector,10,7,0,9,0,134,19,0,1,0,3,0
PointingState,0,0,0,0,0,1,0,0,0,-1,0,1
FingerDirectionDetector,9,8,0,8,0,169,17,0,1,0,4,0
PalmDirectionDetector,8,7,0,7,0,140,15,0,1,0,4,0
PointingType,0,0,0,0,0,1,0,0,0,-1,0,2
PinchDetector,10,3,3,2,0,107,12,0,2,0,3,0
ProximityDetector,10,6,1,8,0,154,15,0,1,0,1,0
ProximityEvent,0,0,0,0,0,2,0,0,0,-1,0,1
HandFactory,0,1,0,0,1,8,1,1,0,-1,1,1
HandPool,5,14,0,0,8,279,50,0,1,0,5,3
ModelGroup,10,2,0,10,2,49,7,0,0,0,4,1
HandProxy,2,5,0,1,5,64,12,0,1,0,5,1
HandRepresentation,0,5,6,0,5,33,5,1,0,-1,3,2
CapsuleHand,30,17,2,0,6,362,38,0,1,0.119999997317791,1,0
DebugHand,4,7,3,0,6,84,11,0,1,0.2899999916553497,0,0
FingerModel,7,15,0,5,15,203,35,3,0,0.1299999952316284,0,5
HandDrop,3,4,0,0,0,35,5,0,1,0.5,2,0
HandEnableDisable,0,3,0,0,0,15,3,0,1,-1,1,0
HandFader,7,3,0,2,0,37,3,0,0,0,1,0
HandModel,10,16,2,7,16,223,37,3,1,0.119999997317791,2,3
HandTransitionBehavior,1,4,0,0,0,24,6,2,0,0.75,1,3
Chirality,0,0,0,0,0,1,0,0,0,-1,0,7
ModelType,0,0,0,0,0,1,0,0,0,-1,0,7
IHandModel,1,8,3,0,7,61,13,4,0,0,4,10
RigidFinger,1,2,0,1,1,39,8,0,1,0,0,0
RigidHand,1,3,1,1,3,59,10,0,1,1,2,0
SkeletalFinger,0,3,0,0,2,30,7,1,1,-1,0,0
SkeletalHand,1,4,1,0,1,54,11,1,2,0,2,1
LeapDeviceType,0,0,0,0,0,5,0,0,0,-1,0,4
LeapDeviceInfo,8,1,0,8,1,44,2,0,0,0,1,3
LeapHandController,7,7,2,0,0,121,18,0,0,0.2899999916553497,4,1
LeapImageRetriever,14,13,1,7,2,383,26,0,0,0,5,1
LeapTextureData,2,5,1,0,3,79,11,0,0,0,0,2
LeapDistortionData,1,4,1,0,2,61,6,0,0,0,0,2
EyeTextureData,11,6,0,3,6,70,7,0,0,0,2,2
LeapProvider,0,2,3,0,0,38,4,1,0,-1,0,1
LeapServiceProvider,18,17,5,0,4,308,38,0,1,0,6,3
DisconnectionNotice,9,5,0,6,0,60,9,0,0,0,0,0
EnableDepthBuffer,2,1,0,1,0,18,2,0,0,0,0,0
ExecuteBeforeAttribute,1,1,0,1,1,8,1,0,0,0,0,1
