Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AntiAliasing,4,5,3,0,0,85,5,0,0,"0,800000011920929",3,4
Method,0,0,0,0,0,5,0,0,0,-1,0,0
FXAA,4,5,3,2,5,247,8,0,1,1,5,2
QualitySettings,18,0,0,18,0,182,0,0,0,-1,1,5
ConsoleSettings,4,0,0,4,0,19,0,0,0,-1,0,1
Preset,7,0,5,2,0,128,0,0,0,-1,1,2
LayoutAttribute,0,0,0,0,0,5,0,0,0,-1,0,2
IAntiAliasing,0,5,0,0,0,8,5,2,0,-1,1,4
SMAA,12,6,4,4,5,474,19,0,1,"0,33000001311302185",11,2
SettingsGroup,0,0,0,0,0,9,0,0,0,-1,0,7
TopLevelSettings,0,0,0,0,0,5,0,0,0,-1,0,4
ExperimentalGroup,0,0,0,0,0,3,0,0,0,-1,0,1
DebugPass,0,0,0,0,0,7,0,0,0,-1,0,1
QualityPreset,0,0,0,0,0,17,0,0,0,-1,0,4
EdgeDetectionMethod,0,0,0,0,0,6,0,0,0,-1,0,1
GlobalSettings,8,0,2,8,0,57,0,0,0,-1,0,4
TemporalSettings,2,1,1,2,1,31,1,0,0,0,0,1
PredicationSettings,4,0,1,4,0,32,0,0,0,-1,1,1
AmbientOcclusion,5,7,15,1,0,467,20,0,0,0,5,1
PropertyObserver,5,2,0,0,2,32,2,0,0,0,2,1
SampleCount,0,0,0,0,0,4,0,0,0,-1,0,2
OcclusionSource,0,0,0,0,0,4,0,0,0,-1,0,3
Settings,13,0,4,13,0,111,0,0,0,-1,0,3
Bloom,6,3,2,1,0,205,13,0,0,1,2,1
ImageEffectHelper,0,2,1,0,2,55,8,0,0,-1,0,9
MinAttribute,1,1,0,1,1,9,1,0,0,0,0,5
RenderTextureUtility,1,3,0,0,3,38,6,0,0,0,0,3
DepthOfField,24,13,9,5,0,923,39,0,0,0,16,1
Passes,0,0,0,0,0,32,0,0,0,-1,0,1
MedianPasses,0,0,0,0,0,5,0,0,0,-1,0,1
BokehTexturesPasses,0,0,0,0,0,5,0,0,0,-1,0,1
TweakMode,0,0,0,0,0,6,0,0,0,-1,0,2
ApertureShape,0,0,0,0,0,6,0,0,0,-1,0,1
FilterQuality,0,0,0,0,0,6,0,0,0,-1,0,1
AllTweakModes,0,0,0,0,0,3,0,0,0,-1,0,1
Basic,0,0,0,0,0,3,0,0,0,-1,0,3
Advanced,0,0,0,0,0,3,0,0,0,-1,0,3
Explicit,0,0,0,0,0,3,0,0,0,-1,0,2
FocusSettings,6,0,1,6,0,37,0,0,0,-1,2,1
BokehTextureSettings,5,0,1,5,0,33,0,0,0,-1,1,1
BlurSettings,5,0,1,5,0,33,0,0,0,-1,2,1
LensAberrations,6,3,2,3,0,305,15,0,0,0,7,1
AdvancedSetting,0,0,0,0,0,3,0,0,0,-1,0,1
DistortionSettings,7,0,1,7,0,40,0,0,0,-1,0,1
VignetteSettings,8,0,1,8,0,45,0,0,0,-1,1,1
ChromaticAberrationSettings,3,0,1,3,0,26,0,0,0,-1,0,1
Pass,0,0,0,0,0,26,0,0,0,-1,0,2
ScreenSpaceReflection,15,4,2,1,1,710,28,0,0,"0,5",9,1
SSRDebugMode,0,0,0,0,0,18,0,0,0,-1,0,0
SSRResolution,0,0,0,0,0,6,0,0,0,-1,0,1
