Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
UnityVectorExtension,2,4,0,2,2,30,6,0,0,0,0,0
UnityMatrixExtension,3,2,0,3,2,15,2,0,0,1,0,0
Utils,0,1,0,0,1,20,5,0,0,-1,0,0
Trigger,0,0,0,0,0,17,0,0,0,-1,0,0
Direction,0,0,0,0,0,6,0,0,0,-1,0,0
EnableCondition,0,0,0,0,0,6,0,0,0,-1,0,0
DisableCondition,0,0,0,0,0,6,0,0,0,-1,0,0
Vector2i,2,1,0,2,1,12,1,0,0,0,0,3
Sizei,2,1,0,2,1,12,1,0,0,0,0,13
Recti,2,0,0,2,0,6,0,0,0,-1,0,5
Quatf,4,1,0,4,1,16,1,0,0,0,0,2
Vector2f,2,1,0,2,1,12,1,0,0,0,0,1
Vector3f,3,1,0,3,1,14,1,0,0,0,0,3
Matrix4f,1,1,0,1,0,14,1,0,0,0,1,1
Matrix4f_Raw,16,0,0,16,0,23,0,0,0,-1,0,2
Posef,2,1,0,2,1,12,1,0,0,0,2,1
PoseStatef,7,0,0,6,0,29,0,0,0,-1,0,0
InitFlags,0,0,0,0,0,25,0,0,0,-1,0,0
LogLevel,0,0,0,0,0,6,0,0,0,-1,0,0
InitParams,5,0,0,4,0,31,0,0,0,-1,0,1
FovPort,4,0,0,4,0,20,0,0,0,-1,0,4
HmdType,0,0,0,0,0,10,0,0,0,-1,0,2
HmdCaps,0,0,0,0,0,65,0,0,0,-1,0,0
TrackingCaps,0,0,0,0,0,21,0,0,0,-1,0,0
DistortionCaps,0,0,0,0,0,51,0,0,0,-1,0,0
Eye,0,0,0,0,0,6,0,0,0,-1,0,2
HmdDesc,23,2,0,23,0,144,2,0,0,0,7,1
HmdDesc_Raw32,26,0,0,26,0,37,0,0,0,-1,3,2
HmdDesc_Raw64,29,0,0,26,0,40,0,0,0,-1,3,2
StatusBits,0,0,0,0,0,23,0,0,0,-1,0,0
SensorData,5,0,0,5,0,23,0,0,0,-1,1,0
TrackingState,7,0,0,6,0,40,0,0,0,-1,0,1
FrameTiming,6,1,0,6,0,50,1,0,0,0,1,1
FrameTiming_Raw,8,0,0,7,0,13,0,0,0,-1,0,2
EyeRenderDesc,5,0,0,5,0,24,0,0,0,-1,0,1
RenderAPIType,0,0,0,0,0,10,0,0,0,-1,0,11
RenderAPIConfigHeader,3,0,0,3,0,7,0,0,0,-1,0,7
RenderAPIConfig_Raw,9,0,0,9,0,13,0,0,0,-1,1,6
RenderAPIConfig,1,2,0,1,1,8,2,5,0,1,2,1
OpenGLWindowsConfig,2,2,0,2,1,23,2,0,1,0,4,0
OpenGLLinuxConfig,2,2,0,0,1,23,2,0,1,0,4,0
AndroidGLESConfig,0,2,0,0,1,16,2,0,1,-1,4,0
D3D9Config,2,2,0,0,1,23,2,0,1,0,4,0
D3D11Config,5,2,0,0,1,32,2,0,1,0,4,0
TextureHeader,3,0,0,3,0,7,0,0,0,-1,0,6
Texture,1,2,0,1,1,8,2,4,0,1,2,1
GLTextureData,1,2,0,1,1,20,2,0,1,0,5,0
D3D9TextureData,1,2,0,1,1,20,2,0,1,0,5,0
D3D10TextureData,2,2,0,2,1,22,2,0,1,0,5,0
D3D11TextureData,2,2,0,2,1,22,2,0,1,0,5,0
Texture_Raw,10,0,0,9,0,14,0,0,0,-1,1,5
DistortionVertex,6,0,0,6,0,28,0,0,0,-1,0,1
DistortionMesh,4,1,0,4,0,48,3,0,0,0,2,1
DistortionMesh_Raw,4,0,0,4,0,8,0,0,0,-1,0,2
HSWDisplayState,3,0,0,3,0,19,0,0,0,-1,0,1
Hmd,26,111,0,23,56,1112,124,0,0,0,26,0
ProjectionModifier,0,0,0,0,0,35,0,0,0,-1,0,0
Displace,0,3,0,0,3,30,4,1,0,-1,0,0
GerstnerDisplace,0,0,0,0,0,3,0,0,1,-1,0,0
MeshContainer,3,2,0,3,2,21,2,0,0,0,0,0
PlanarReflection,9,15,0,5,6,277,31,0,0,"0,20000000298023224",1,1
SpecularLighting,2,2,0,1,2,27,4,0,0,0,1,0
Water,14,9,0,6,1,389,39,0,0,"0,2199999988079071",1,0
WaterMode,0,0,0,0,0,6,0,0,0,-1,0,1
WaterQuality,0,0,0,0,0,6,0,0,0,-1,0,1
WaterBase,3,3,0,3,3,65,9,0,0,0,1,3
WaterTile,2,4,0,2,3,61,10,0,0,0,2,0
