Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
CameraCapture,16,9,0,4,1,233,23,0,0,"0,33000001311302185",4,0
RecorderState,0,0,0,0,0,1,0,0,0,-1,0,1
FFmpegConfig,0,0,2,0,0,12,0,0,0,-1,0,2
FFmpegPipe,5,6,2,1,4,121,10,0,0,0,2,1
Codec,0,0,0,0,0,1,0,0,0,-1,0,1
Resolution,0,0,0,0,0,1,0,0,0,-1,0,0
Blitter,2,2,0,0,1,38,2,0,0,0,0,1
ErrorHandling,1,2,0,0,2,21,2,0,0,0,0,0
Disposable,0,1,1,0,1,12,1,0,0,-1,0,1
RecursiveReader,0,2,0,0,1,36,3,0,0,-1,1,0
ArraySegmentExtensions,0,2,0,0,2,13,3,0,0,-1,0,0
YUVFormat,0,0,0,0,0,5,0,0,0,-1,0,1
YUVHeader,3,3,7,3,3,128,5,0,0,"0,6700000166893005",1,2
YUVFrameReader,5,3,3,0,3,67,7,0,0,0,1,1
YUVFrame,4,1,0,4,1,15,1,0,0,0,0,1
YUVReader,7,4,0,3,3,106,9,0,0,"0,5",3,0
MessagePackObjectAttribute,0,1,1,0,1,10,1,0,0,-1,0,2
KeyAttribute,0,2,2,0,2,16,2,0,0,-1,0,2
IgnoreMemberAttribute,0,0,0,0,0,4,0,0,0,-1,0,0
UnionAttribute,0,1,2,0,1,12,1,0,0,-1,0,2
SerializationConstructorAttribute,0,0,0,0,0,5,0,0,0,-1,0,0
MessagePackFormatterAttribute,0,2,2,0,2,17,2,0,0,-1,0,5
Float32Bits,5,2,0,5,2,44,3,0,0,1,0,9
Float64Bits,9,2,0,9,2,64,3,0,0,1,0,6
IFormatterResolver,0,1,0,0,0,4,1,28,0,-1,0,145
FormatterResolverExtensions,0,2,0,0,2,40,3,0,0,-1,2,0
FormatterNotRegisteredException,0,1,0,0,1,6,1,0,0,-1,0,0
IMessagePackSerializationCallbackReceiver,0,2,0,0,0,5,2,0,0,-1,0,2
TinyJsonToken,0,0,0,0,0,13,0,0,0,-1,0,2
ValueType,0,0,0,0,0,11,0,0,0,-1,0,2
TinyJsonException,0,1,0,0,1,7,1,0,0,-1,0,0
TinyJsonReader,3,10,7,0,3,310,24,0,0,0,2,1
LZ4MessagePackSerializer,2,30,0,2,24,611,56,0,0,"0,10000000149011612",12,0
LZ4MemoryPool,1,1,0,0,1,14,2,0,0,0,1,0
MessagePackBinary,23,147,0,0,143,3346,201,0,0,"0,10000000149011612",182,120
StreamDecodeMemoryPool,1,1,0,0,1,14,2,0,0,0,0,3
ExtensionResult,0,1,2,0,1,11,1,0,0,-1,0,29
ExtensionHeader,0,1,2,0,1,11,1,0,0,-1,0,31
DateTimeConstants,3,0,0,0,0,6,0,0,0,-1,0,0
IMapHeaderDecoder,0,1,0,0,0,4,1,0,0,-1,0,0
FixMapHeader,1,2,0,0,1,15,2,0,1,1,1,0
Map16Header,1,2,0,0,1,18,2,0,1,1,1,0
Map32Header,1,2,0,0,1,18,2,0,1,1,1,0
InvalidMapHeader,1,2,0,0,1,14,2,0,1,1,2,0
IArrayHeaderDecoder,0,1,0,0,0,4,1,0,0,-1,0,0
FixArrayHeader,1,2,0,0,1,15,2,0,1,1,1,0
Array16Header,1,2,0,0,1,18,2,0,1,1,1,0
Array32Header,1,2,0,0,1,18,2,0,1,1,1,0
InvalidArrayHeader,1,2,0,0,1,14,2,0,1,1,2,0
IBooleanDecoder,0,1,0,0,0,4,1,0,0,-1,0,0
VERDADEIRO,1,2,0,0,1,11,2,0,1,1,1,0
FALSO,1,2,0,0,1,11,2,0,1,1,1,0
InvalidBoolean,1,2,0,0,1,11,2,0,1,1,1,0
IByteDecoder,0,1,0,0,0,4,1,0,0,-1,0,0
FixByte,1,2,0,0,1,15,2,0,1,1,1,0
UInt8Byte,1,2,0,0,1,15,2,0,1,1,1,0
InvalidByte,1,2,0,0,1,14,2,0,1,1,2,0
IBytesDecoder,0,1,0,0,0,4,1,0,0,-1,0,0
NilBytes,1,2,0,0,1,15,2,0,1,1,1,0
Bin8Bytes,1,2,0,0,1,19,2,0,1,1,1,0
Bin16Bytes,1,2,0,0,1,19,2,0,1,1,1,0
Bin32Bytes,1,2,0,0,1,19,2,0,1,1,1,0
InvalidBytes,1,2,0,0,1,14,2,0,1,1,2,0
IBytesSegmentDecoder,0,1,0,0,0,4,1,0,0,-1,0,0
NilBytesSegment,1,2,0,0,1,15,2,0,1,1,1,0
Bin8BytesSegment,1,2,0,0,1,17,2,0,1,1,1,0
Bin16BytesSegment,1,2,0,0,1,17,2,0,1,1,1,0
Bin32BytesSegment,1,2,0,0,1,16,2,0,1,1,1,0
InvalidBytesSegment,1,2,0,0,1,14,2,0,1,1,2,0
ISByteDecoder,0,1,0,0,0,4,1,0,0,-1,0,0
FixSByte,1,2,0,0,1,15,2,0,1,1,1,0
Int8SByte,1,2,0,0,1,15,2,0,1,1,1,0
InvalidSByte,1,2,0,0,1,14,2,0,1,1,2,0
ISingleDecoder,0,1,0,0,0,4,1,0,0,-1,0,0
FixNegativeFloat,1,2,0,0,1,14,2,0,1,1,3,0
FixFloat,1,2,0,0,1,14,2,0,1,1,3,0
Int8Single,1,2,0,0,1,14,2,0,1,1,3,0
Int16Single,1,2,0,0,1,14,2,0,1,1,3,0
Int32Single,1,2,0,0,1,14,2,0,1,1,3,0
Int64Single,1,2,0,0,1,14,2,0,1,1,3,0
UInt8Single,1,2,0,0,1,14,2,0,1,1,3,0
UInt16Single,1,2,0,0,1,14,2,0,1,1,3,0
UInt32Single,1,2,0,0,1,14,2,0,1,1,3,0
UInt64Single,1,2,0,0,1,14,2,0,1,1,3,0
Float32Single,1,2,0,0,1,15,2,0,1,1,2,0
