Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AAMode,0,0,0,0,0,10,0,0,0,-1,0,2
Antialiasing,22,3,0,15,3,160,7,0,1,0,1,1
Bloom,30,7,0,25,2,352,22,0,1,0,5,1
LensFlareStyle,0,0,0,0,0,6,0,0,0,-1,0,1
TweakMode,0,0,0,0,0,5,0,0,0,-1,0,1
HDRBloomMode,0,0,0,0,0,11,0,0,0,-1,0,2
BloomScreenBlendMode,0,0,0,0,0,9,0,0,0,-1,0,2
BloomQuality,0,0,0,0,0,5,0,0,0,-1,0,1
LensflareStyle34,0,0,0,0,0,6,0,0,0,-1,0,1
TweakMode34,0,0,0,0,0,5,0,0,0,-1,0,1
BloomAndFlares,34,6,0,26,1,282,16,0,1,0,4,1
BloomOptimized,8,3,0,6,1,103,7,0,1,0,2,0
Resolution,0,0,0,0,0,5,0,0,0,-1,0,1
BlurType,0,0,0,0,0,11,0,0,0,-1,0,3
Blur,4,5,1,3,1,102,9,0,0,"0,6000000238418579",0,0
BlurOptimized,6,3,0,5,3,87,7,0,1,0,1,0
CameraMotionBlur,30,10,0,18,1,375,30,0,1,0,1,1
MotionBlurFilter,0,0,0,0,0,7,0,0,0,-1,0,1
ColorCorrectionCurves,24,6,0,17,2,175,18,0,1,"0,33000001311302185",2,1
ColorCorrectionMode,0,0,0,0,0,5,0,0,0,-1,0,1
ColorCorrectionLookup,4,7,0,3,4,124,24,0,1,0,0,1
ColorCorrectionRamp,1,1,0,1,0,11,1,0,1,0,0,0
ContrastEnhance,7,2,0,5,1,74,4,0,1,0,0,0
ContrastStretch,13,5,4,7,0,194,17,0,0,"0,4000000059604645",0,0
CreaseShading,9,2,0,6,1,76,5,0,1,0,0,0
DepthOfField,25,8,0,18,1,381,23,0,1,0,2,1
BlurSampleCount,0,0,0,0,0,5,0,0,0,-1,0,1
DepthOfFieldDeprecated,43,15,0,26,1,421,45,0,1,"0,12999999523162842",5,1
