Component,Threshold,Cutoff,Status
BenchMarker,7,6.933401978051755,Fault_proner
Crawler,9,6.933401978051755,Fault_proner
Program,6,6.933401978051755,Clean
test,6,6.933401978051755,Clean
test1,6,6.933401978051755,Clean
testtest,6,6.933401978051755,Clean
Contentfix,6,6.933401978051755,Clean
Page_id,6,6.933401978051755,Clean
Images,6,6.933401978051755,Clean
ImagesFix,6,6.933401978051755,Clean
addedindexes,6,6.933401978051755,Clean
Configuration,5,6.933401978051755,Clean
Resources,3,6.933401978051755,Clean
Settings,2,6.933401978051755,Clean
BundleConfig,3,6.933401978051755,Clean
FilterConfig,2,6.933401978051755,Clean
EmailService,1,6.933401978051755,Clean
SmsService,1,6.933401978051755,Clean
ApplicationUserManager,5,6.933401978051755,Clean
ApplicationSignInManager,5,6.933401978051755,Clean
RouteConfig,2,6.933401978051755,Clean
Startup,5,6.933401978051755,Clean
WebApiConfig,2,6.933401978051755,Clean
MvcApplication,1,6.933401978051755,Clean
AccountController,7,6.933401978051755,Fault_proner
ChallengeResult,6,6.933401978051755,Clean
HomeController,4,6.933401978051755,Clean
ManageController,7,6.933401978051755,Fault_proner
ManageMessageId,1,6.933401978051755,Clean
ValuesController,5,6.933401978051755,Clean
Link,3,6.933401978051755,Clean
SearchController,3,6.933401978051755,Clean
SlaveController,6,6.933401978051755,Clean
InitialCreate,6,6.933401978051755,Clean
addtableSlaveControl,6,6.933401978051755,Clean
changedSlaveControlBuildNumber,6,6.933401978051755,Clean
ApplicationUser,2,6.933401978051755,Clean
ApplicationDbContext,5,6.933401978051755,Clean
ExternalLoginConfirmationViewModel,2,6.933401978051755,Clean
ExternalLoginListViewModel,1,6.933401978051755,Clean
SendCodeViewModel,2,6.933401978051755,Clean
VerifyCodeViewModel,2,6.933401978051755,Clean
ForgotViewModel,1,6.933401978051755,Clean
LoginViewModel,2,6.933401978051755,Clean
RegisterViewModel,2,6.933401978051755,Clean
ResetPasswordViewModel,2,6.933401978051755,Clean
ForgotPasswordViewModel,2,6.933401978051755,Clean
IndexViewModel,2,6.933401978051755,Clean
ManageLoginsViewModel,1,6.933401978051755,Clean
FactorViewModel,1,6.933401978051755,Clean
SetPasswordViewModel,2,6.933401978051755,Clean
ChangePasswordViewModel,2,6.933401978051755,Clean
AddPhoneNumberViewModel,2,6.933401978051755,Clean
VerifyPhoneNumberViewModel,2,6.933401978051755,Clean
ConfigureTwoFactorViewModel,1,6.933401978051755,Clean
