Component,Threshold,Cutoff,Status
Config,6,7.372359677227957,Clean
StartupOptions,1,7.372359677227957,Clean
CsQueryConfig,4,7.372359677227957,Clean
CQ,8,7.372359677227957,Fault_proner
CSSRuleType,0,7.372359677227957,Clean
IFormReassociateableElement,2,7.372359677227957,Clean
IFormSubmittableElement,2,7.372359677227957,Clean
IFormAssociatedElement,1,7.372359677227957,Clean
IHTMLButtonElement,2,7.372359677227957,Clean
IHTMLTextAreaElement,2,7.372359677227957,Clean
ICSSRule,3,7.372359677227957,Clean
ICSSStyleRule,3,7.372359677227957,Clean
ICSSStyleSheet,3,7.372359677227957,Clean
IHTMLFormElement,3,7.372359677227957,Clean
IHTMLLabelElement,4,7.372359677227957,Clean
RelLink,0,7.372359677227957,Clean
IHTMLMeterElement,3,7.372359677227957,Clean
IHTMLLIElement,2,7.372359677227957,Clean
IHTMLProgressElement,3,7.372359677227957,Clean
IHTMLOptionElement,4,7.372359677227957,Clean
IHTMLInputElement,3,7.372359677227957,Clean
IHTMLAnchorElement,4,7.372359677227957,Clean
RelAnchor,0,7.372359677227957,Clean
INodeList,4,7.372359677227957,Clean
IHTMLSelectElement,4,7.372359677227957,Clean
DomIndexProviders,3,7.372359677227957,Clean
SimpleDomIndexProvider,2,7.372359677227957,Clean
RangedDomIndexProvider,2,7.372359677227957,Clean
NoDomIndexProvider,2,7.372359677227957,Clean
IDomObject,7,7.372359677227957,Clean
IHTMLOptionsCollection,1,7.372359677227957,Clean
HtmlParsingOptions,1,7.372359677227957,Clean
HtmlParsingMode,1,7.372359677227957,Clean
HtmlEncoders,4,7.372359677227957,Clean
OutputFormatters,6,7.372359677227957,Clean
When,6,7.372359677227957,Clean
CSSStyleType,1,7.372359677227957,Clean
DocType,1,7.372359677227957,Clean
DomRenderingOptions,1,7.372359677227957,Clean
NodeType,1,7.372359677227957,Clean
ICSSStyle,2,7.372359677227957,Clean
ICSSStyleDeclaration,5,7.372359677227957,Clean
IAttributeCollection,1,7.372359677227957,Clean
IDomCData,2,7.372359677227957,Clean
IDomComment,2,7.372359677227957,Clean
IDomContainer,3,7.372359677227957,Clean
IDomDocument,8,7.372359677227957,Fault_proner
IDomDocumentType,3,7.372359677227957,Clean
IDomElement,4,7.372359677227957,Clean
IDomFragment,3,7.372359677227957,Clean
IDomIndexedNode,3,7.372359677227957,Clean
IDomInnerText,1,7.372359677227957,Clean
IDomInvalidElement,1,7.372359677227957,Clean
IDomText,3,7.372359677227957,Clean
IDomNode,6,7.372359677227957,Clean
IDomSpecialElement,2,7.372359677227957,Clean
JsObject,7,7.372359677227957,Clean
Objects,7,7.372359677227957,Clean
CSSRule,4,7.372359677227957,Clean
CSSStyleChangedArgs,1,7.372359677227957,Clean
CSSStyleRule,3,7.372359677227957,Clean
CSSStyleSheet,5,7.372359677227957,Clean
FormSubmittableElement,2,7.372359677227957,Clean
HTMLButtonElement,1,7.372359677227957,Clean
FormAssociatedElement,2,7.372359677227957,Clean
FormReassociateableElement,2,7.372359677227957,Clean
HTMLStyleElement,1,7.372359677227957,Clean
HTMLScriptElement,1,7.372359677227957,Clean
HTMLLabelElement,2,7.372359677227957,Clean
NodeEventArgs,1,7.372359677227957,Clean
StyleSheet,0,7.372359677227957,Clean
IReadOnlyCollection,1,7.372359677227957,Clean
HtmlFormElement,6,7.372359677227957,Clean
HTMLMeterElement,3,7.372359677227957,Clean
HTMLLIElement,1,7.372359677227957,Clean
HTMLProgressElement,2,7.372359677227957,Clean
HTMLTextAreaElement,2,7.372359677227957,Clean
HTMLOptionElement,5,7.372359677227957,Clean
HTMLInputElement,4,7.372359677227957,Clean
HtmlAnchorElement,3,7.372359677227957,Clean
HTMLSelectElement,5,7.372359677227957,Clean
NodeList<T>,7,7.372359677227957,Clean
HTMLOptionsCollection,8,7.372359677227957,Fault_proner
OptionElement,3,7.372359677227957,Clean
AttributeCollection,7,7.372359677227957,Clean
IReadOnlyList,2,7.372359677227957,Clean
CombinedStream,4,7.372359677227957,Clean
BaseStream,5,7.372359677227957,Clean
CombinedTextReader,6,7.372359677227957,Clean
PathKeyComparer,6,7.372359677227957,Clean
Link,3,7.372359677227957,Clean
"MonoDictionary<TKey,TValue>",7,7.372359677227957,Clean
ShimEnumerator,5,7.372359677227957,Clean
Enumerator,6,7.372359677227957,Clean
KeyCollection,7,7.372359677227957,Clean
ValueCollection,7,7.372359677227957,Clean
SelectionSetComparer,2,7.372359677227957,Clean
IRangeSortedDictionary,1,7.372359677227957,Clean
CssStyle,3,7.372359677227957,Clean
DomFragment,7,7.372359677227957,Clean
DomCData,6,7.372359677227957,Clean
DomComment,7,7.372359677227957,Clean
DomContainer<T>,8,7.372359677227957,Fault_proner
DomDocumentType,8,7.372359677227957,Fault_proner
CSSStyleDeclaration,9,7.372359677227957,Fault_proner
DomObject,10,7.372359677227957,Fault_proner
DocumentInfo,0,7.372359677227957,Clean
DomObject<T>,2,7.372359677227957,Clean
DomDocument,10,7.372359677227957,Fault_proner
DomText,7,7.372359677227957,Clean
SelectionSet<T>,7,7.372359677227957,Clean
ChildNodeList,9,7.372359677227957,Fault_proner
"RangeSortedDictionary<TKey,TValue>",8,7.372359677227957,Fault_proner
DomElement,10,7.372359677227957,Fault_proner
SelectionSetOrder,1,7.372359677227957,Clean
IDomIndexSimple,2,7.372359677227957,Clean
DomIndexNone,7,7.372359677227957,Clean
IDomIndexRanged,1,7.372359677227957,Clean
IDomIndexQueue,2,7.372359677227957,Clean
DomIndexSimple,8,7.372359677227957,Fault_proner
IndexValue,2,7.372359677227957,Clean
DomIndexFeatures,0,7.372359677227957,Clean
IDomIndexProvider,2,7.372359677227957,Clean
DomIndexRanged,8,7.372359677227957,Fault_proner
IDomIndex,4,7.372359677227957,Clean
CharacterEqualityComparer,2,7.372359677227957,Clean
CaseSensitiveCharacterEqualityComparer,1,7.372359677227957,Clean
QuotingRule,1,7.372359677227957,Clean
PseudoSelectorFilter,3,7.372359677227957,Clean
IPseudoSelector,3,7.372359677227957,Clean
PseudoSelectorChild,3,7.372359677227957,Clean
PseudoSelector,8,7.372359677227957,Fault_proner
IPseudoSelectorChild,3,7.372359677227957,Clean
IPseudoSelectorFilter,2,7.372359677227957,Clean
IndexOperationType,1,7.372359677227957,Clean
IndexOperation,3,7.372359677227957,Clean
AttributeSelectors,2,7.372359677227957,Clean
PseudoSelectors,7,7.372359677227957,Clean
SelectorType,1,7.372359677227957,Clean
AttributeSelectorType,1,7.372359677227957,Clean
CombinatorType,1,7.372359677227957,Clean
TraversalType,1,7.372359677227957,Clean
PseudoClassType,1,7.372359677227957,Clean
SelectorParser,5,7.372359677227957,Clean
SelectorClause,8,7.372359677227957,Fault_proner
MatchElement,2,7.372359677227957,Clean
NthChildMatcher,8,7.372359677227957,Fault_proner
CacheInfo,3,7.372359677227957,Clean
SelectorEngine,7,7.372359677227957,Clean
IndexMode,0,7.372359677227957,Clean
Selector,8,7.372359677227957,Fault_proner
RegexExtension,6,7.372359677227957,Clean
Modes,0,7.372359677227957,Clean
Contains,6,7.372359677227957,Clean
Lang,2,7.372359677227957,Clean
Hidden,2,7.372359677227957,Clean
Visible,3,7.372359677227957,Clean
LastOfType,2,7.372359677227957,Clean
FirstOfType,2,7.372359677227957,Clean
OnlyChild,2,7.372359677227957,Clean
FirstChild,2,7.372359677227957,Clean
LastChild,2,7.372359677227957,Clean
Not,3,7.372359677227957,Clean
Has,6,7.372359677227957,Clean
Last,2,7.372359677227957,Clean
First,2,7.372359677227957,Clean
Even,1,7.372359677227957,Clean
Odd,1,7.372359677227957,Clean
Indexed,4,7.372359677227957,Clean
Gt,1,7.372359677227957,Clean
Lt,1,7.372359677227957,Clean
Eq,3,7.372359677227957,Clean
OnlyOfType,2,7.372359677227957,Clean
Header,2,7.372359677227957,Clean
Parent,2,7.372359677227957,Clean
Empty,2,7.372359677227957,Clean
NthLastOfType,2,7.372359677227957,Clean
NthChildSelector,5,7.372359677227957,Clean
NthLastChild,2,7.372359677227957,Clean
NthOfType,2,7.372359677227957,Clean
NthChild,2,7.372359677227957,Clean
AssociationType,1,7.372359677227957,Clean
OperationType,1,7.372359677227957,Clean
Equations,6,7.372359677227957,Clean
IClause,1,7.372359677227957,Clean
IEquation,7,7.372359677227957,Clean
IEquationParser,3,7.372359677227957,Clean
IFunction,4,7.372359677227957,Clean
ILiteral,4,7.372359677227957,Clean
"OrderedDictionary<TKey,TValue>",1,7.372359677227957,Clean
"OrderedDictionary<T,TKey,TValue>",6,7.372359677227957,Clean
INativeOperation,2,7.372359677227957,Clean
IOperand,3,7.372359677227957,Clean
IOperation,4,7.372359677227957,Clean
IOperator,4,7.372359677227957,Clean
IOrderedDictionary,1,7.372359677227957,Clean
IVariable,4,7.372359677227957,Clean
IVariableContainer,1,7.372359677227957,Clean
Equation,10,7.372359677227957,Fault_proner
EquationParserEngine,8,7.372359677227957,Fault_proner
Equation<T>,6,7.372359677227957,Clean
Function,9,7.372359677227957,Fault_proner
Function<T>,2,7.372359677227957,Clean
IntegerValue,5,7.372359677227957,Clean
Literal,8,7.372359677227957,Fault_proner
Literal<T>,5,7.372359677227957,Clean
Operand,9,7.372359677227957,Fault_proner
Operand<T>,4,7.372359677227957,Clean
Operator,8,7.372359677227957,Fault_proner
IIntegerValue,1,7.372359677227957,Clean
INumericValue,1,7.372359677227957,Clean
ITextValue,0,7.372359677227957,Clean
IBooleanValue,0,7.372359677227957,Clean
Utils,6,7.372359677227957,Clean
Variable,10,7.372359677227957,Fault_proner
Variable<T>,4,7.372359677227957,Clean
VariableReadEventArgs,3,7.372359677227957,Clean
Abs,3,7.372359677227957,Clean
Power,3,7.372359677227957,Clean
Difference,5,7.372359677227957,Clean
Difference<T>,2,7.372359677227957,Clean
NativeOperation,9,7.372359677227957,Fault_proner
NativeOperation<T>,6,7.372359677227957,Clean
Product,4,7.372359677227957,Clean
Product<T>,4,7.372359677227957,Clean
Quotient,3,7.372359677227957,Clean
Quotient<T>,4,7.372359677227957,Clean
Sum,4,7.372359677227957,Clean
Sum<T>,4,7.372359677227957,Clean
CqXmlDocument,1,7.372359677227957,Clean
CqXmlNode,6,7.372359677227957,Clean
ExtensionMethods,5,7.372359677227957,Clean
CqXmlNodeList,4,7.372359677227957,Clean
BOMReader,6,7.372359677227957,Clean
CsQueryTreeBuilder,5,7.372359677227957,Clean
ElementFactory,8,7.372359677227957,Fault_proner
ReEncodeAction,0,7.372359677227957,Clean
HtmlEncoding,2,7.372359677227957,Clean
HtmlStyles,3,7.372359677227957,Clean
TokenProperties,0,7.372359677227957,Clean
HtmlData,8,7.372359677227957,Fault_proner
IHttpWebRequest,6,7.372359677227957,Clean
IHttpWebRequestFactory,2,7.372359677227957,Clean
IHttpWebResponse,4,7.372359677227957,Clean
BasicAuthHttpWebRequestFactory,4,7.372359677227957,Clean
HttpWebRequestFactory,2,7.372359677227957,Clean
HttpWebRequestMethod,2,7.372359677227957,Clean
WebResponseStub,4,7.372359677227957,Clean
HttpWebRequestAdapter,9,7.372359677227957,Fault_proner
HttpWebResponseAdapter,7,7.372359677227957,Clean
SortedSet<T>,7,7.372359677227957,Clean
Node,7,7.372359677227957,Clean
NodeHelper,7,7.372359677227957,Clean
SortedSubSet,6,7.372359677227957,Clean
RBTree,7,7.372359677227957,Clean
INodeHelper,2,7.372359677227957,Clean
NodeEnumerator,8,7.372359677227957,Fault_proner
HtmlEncoderFull,6,7.372359677227957,Clean
HtmlEncoderMinimumNbsp,2,7.372359677227957,Clean
HtmlEncoderNone,1,7.372359677227957,Clean
FormatDefault,8,7.372359677227957,Fault_proner
NodeStackElement,3,7.372359677227957,Clean
HtmlEncoderMinimum,2,7.372359677227957,Clean
HtmlEncoderBase,4,7.372359677227957,Clean
HtmlEncoderBasic,3,7.372359677227957,Clean
IHtmlEncoder,2,7.372359677227957,Clean
IOutputFormatter,3,7.372359677227957,Clean
FormatPlainText,6,7.372359677227957,Clean
Timeout<T>,7,7.372359677227957,Clean
IPromise,5,7.372359677227957,Clean
Timeout,4,7.372359677227957,Clean
WhenAll,7,7.372359677227957,Clean
Deferred<T>,2,7.372359677227957,Clean
Deferred,10,7.372359677227957,Fault_proner
CharacterData,8,7.372359677227957,Fault_proner
CharacterType,2,7.372359677227957,Clean
ICharacterInfo,4,7.372359677227957,Clean
IExpectPattern,3,7.372359677227957,Clean
IStringInfo,4,7.372359677227957,Clean
IStringScanner,7,7.372359677227957,Clean
IValueInfo,2,7.372359677227957,Clean
MatchFunctions,7,7.372359677227957,Clean
Scanner,2,7.372359677227957,Clean
CharacterInfo,6,7.372359677227957,Clean
ExpectPattern,9,7.372359677227957,Fault_proner
StringInfo,8,7.372359677227957,Fault_proner
StringScannerEngine,9,7.372359677227957,Fault_proner
Bounded,7,7.372359677227957,Clean
HtmlIDSelector,2,7.372359677227957,Clean
HTMLTagSelectorName,2,7.372359677227957,Clean
HTMLAttributeName,2,7.372359677227957,Clean
CssClassName,2,7.372359677227957,Clean
EscapedString,8,7.372359677227957,Fault_proner
Number,5,7.372359677227957,Clean
OptionallyQuoted,8,7.372359677227957,Fault_proner
Quoted,6,7.372359677227957,Clean
FastActivator,2,7.372359677227957,Clean
SelectorCache,2,7.372359677227957,Clean
Types,0,7.372359677227957,Clean
Browser,2,7.372359677227957,Clean
IJsonSerializer,1,7.372359677227957,Clean
JsonSerializer,7,7.372359677227957,Clean
Support,6,7.372359677227957,Clean
JSON,7,7.372359677227957,Clean
RequestState,0,7.372359677227957,Clean
ICsqWebRequestMetadata,2,7.372359677227957,Clean
WebForms,1,7.372359677227957,Clean
AsyncWebRequestManager,6,7.372359677227957,Clean
ICsqWebResponse,4,7.372359677227957,Clean
AsyncPostbackData,6,7.372359677227957,Clean
IAsyncRequestQueue,2,7.372359677227957,Clean
ICsqWebRequest,4,7.372359677227957,Clean
IWebRequestInfo,0,7.372359677227957,Clean
CsqWebRequest,9,7.372359677227957,Fault_proner
AsyncWebRequest,9,7.372359677227957,Fault_proner
ServerConfig,6,7.372359677227957,Clean
WebRequestState,3,7.372359677227957,Clean
CsQueryHttpContext,7,7.372359677227957,Clean
