Component,Threshold,Cutoff,Status
BaseTestProvider,1,5.60159122085048,Clean
LinqToSqlTestProvider,5,5.60159122085048,Clean
NorthwindDataContext,7,5.60159122085048,Fault_proner
Category,8,5.60159122085048,Fault_proner
Territory,8,5.60159122085048,Fault_proner
CustomerCustomerDemo,7,5.60159122085048,Fault_proner
CustomerDemographic,8,5.60159122085048,Fault_proner
Customer,8,5.60159122085048,Fault_proner
Employee,8,5.60159122085048,Fault_proner
EmployeeTerritory,7,5.60159122085048,Fault_proner
Order_Detail,7,5.60159122085048,Fault_proner
Order,8,5.60159122085048,Fault_proner
Product,8,5.60159122085048,Fault_proner
Region,8,5.60159122085048,Fault_proner
Shipper,8,5.60159122085048,Fault_proner
Supplier,8,5.60159122085048,Fault_proner
TestProviderFactory,3,5.60159122085048,Clean
Settings,0,5.60159122085048,Clean
SqlConnectionTestBase,0,5.60159122085048,Clean
EagerLoadBehavior,2,5.60159122085048,Clean
IContextBehavior,2,5.60159122085048,Clean
LogWriterBehavior,2,5.60159122085048,Clean
Class1,0,5.60159122085048,Clean
Class1_duplicated,0,5.60159122085048,Clean
Class1_duplicated_duplicated,0,5.60159122085048,Clean
Class1_duplicated_duplicated_duplicated,0,5.60159122085048,Clean
Monads,1,5.60159122085048,Clean
