Component,Threshold,Cutoff,Status
AssemblyMissingException,2,9.22971145767696,Clean
BaseCollection<T>,5,9.22971145767696,Clean
BaseCollectionEnumerator<TE>,3,9.22971145767696,Clean
BaseList<T>,4,9.22971145767696,Clean
QualifiedTypeName,4,9.22971145767696,Clean
ReadOnlyException,1,9.22971145767696,Clean
ReflectionHelper,1,9.22971145767696,Clean
SerializationFormatter,3,9.22971145767696,Clean
SerializationMap,7,9.22971145767696,Clean
SerializationMapEntry,5,9.22971145767696,Clean
SerializeAttribute,2,9.22971145767696,Clean
TypeNameManager,4,9.22971145767696,Clean
XmlConstants,4,9.22971145767696,Clean
XmlDeserializer,6,9.22971145767696,Clean
XmlHelper,5,9.22971145767696,Clean
XmlSerializer,4,9.22971145767696,Clean
ObjectXmlReferences,3,9.22971145767696,Clean
CloneableEM,0,9.22971145767696,Clean
SerializeExtent,5,9.22971145767696,Clean
Resources,1,9.22971145767696,Clean
Settings,1,9.22971145767696,Clean
DimensionType,1,9.22971145767696,Clean
FeatureType,1,9.22971145767696,Clean
Angle,5,9.22971145767696,Clean
BufferStyle,1,9.22971145767696,Clean
PrecisionModelType,1,9.22971145767696,Clean
LocationType,1,9.22971145767696,Clean
Ordinate,1,9.22971145767696,Clean
Coordinate,9,9.22971145767696,Clean
CoordinateArrays,6,9.22971145767696,Clean
BidirectionalComparator,1,9.22971145767696,Clean
ForwardComparator,1,9.22971145767696,Clean
CoordinateArraySequence,7,9.22971145767696,Clean
Enumerator,7,9.22971145767696,Clean
CoordinateF,6,9.22971145767696,Clean
CoordinateList,5,9.22971145767696,Clean
CoordinateListSequence,8,9.22971145767696,Clean
CoordinateMismatchException,0,9.22971145767696,Clean
Dimension,2,9.22971145767696,Clean
GeometryType,0,9.22971145767696,Clean
ShapeGeometryType,1,9.22971145767696,Clean
VectorFieldType,0,9.22971145767696,Clean
VectorGeometryType,0,9.22971145767696,Clean
Envelope,8,9.22971145767696,Clean
EnvelopeExt,5,9.22971145767696,Clean
EnumerableExt,0,9.22971145767696,Clean
InsufficientDimensionsException,1,9.22971145767696,Clean
FloatVector3,6,9.22971145767696,Clean
Geometry,10,9.22971145767696,Fault_proner
GeometryChangedFilter,1,9.22971145767696,Clean
GeometryCollection,9,9.22971145767696,Clean
GeometryCollectionNotSupportedException,0,9.22971145767696,Clean
GeometryFactory,9,9.22971145767696,Clean
AnonymousCoordinateOperationImpl,1,9.22971145767696,Clean
IBasicGeometry,4,9.22971145767696,Clean
IBasicLineString,3,9.22971145767696,Clean
IBasicPoint,2,9.22971145767696,Clean
IBasicPolygon,4,9.22971145767696,Clean
ICoordinate,3,9.22971145767696,Clean
ICoordinateF,1,9.22971145767696,Clean
ICoordinateFilter,2,9.22971145767696,Clean
ICoordinateSequence,5,9.22971145767696,Clean
ICoordinateSequenceFactory,3,9.22971145767696,Clean
IEnvelope,5,9.22971145767696,Clean
IGeometry,8,9.22971145767696,Clean
IGeometryCollection,4,9.22971145767696,Clean
IGeometryComponentFilter,2,9.22971145767696,Clean
IGeometryFactory,7,9.22971145767696,Clean
IGeometryFilter,2,9.22971145767696,Clean
IIntersectionMatrix,6,9.22971145767696,Clean
ILinearRing,3,9.22971145767696,Clean
ILineSegment,8,9.22971145767696,Clean
ILineSegmentBase,3,9.22971145767696,Clean
ILineString,5,9.22971145767696,Clean
IMatrix,2,9.22971145767696,Clean
IMatrix4,4,9.22971145767696,Clean
IMatrixD,4,9.22971145767696,Clean
IMultiLineString,3,9.22971145767696,Clean
IMultiPoint,3,9.22971145767696,Clean
IMultiPolygon,3,9.22971145767696,Clean
IntersectionMatrix,7,9.22971145767696,Clean
IOverlay,2,9.22971145767696,Clean
IPoint,3,9.22971145767696,Clean
IPolygon,4,9.22971145767696,Clean
IRectangle,2,9.22971145767696,Clean
IRelate,4,9.22971145767696,Clean
ISize,2,9.22971145767696,Clean
IVector,4,9.22971145767696,Clean
IVectorD,4,9.22971145767696,Clean
LinearRing,8,9.22971145767696,Clean
LineSegment,9,9.22971145767696,Clean
LineString,9,9.22971145767696,Clean
Location,0,9.22971145767696,Clean
Matrix4,6,9.22971145767696,Clean
MatrixD,8,9.22971145767696,Clean
MultiLineString,8,9.22971145767696,Clean
MultiPoint,8,9.22971145767696,Clean
MultiPolygon,8,9.22971145767696,Clean
Point,8,9.22971145767696,Clean
Polygon,8,9.22971145767696,Clean
PolygonException,0,9.22971145767696,Clean
PrecisionModel,8,9.22971145767696,Clean
SizeD,3,9.22971145767696,Clean
TopologyException,3,9.22971145767696,Clean
Triangle,1,9.22971145767696,Clean
UnsupportedGeometryException,0,9.22971145767696,Clean
Vector,8,9.22971145767696,Clean
TopologyText,3,9.22971145767696,Clean
ClassNotSupportedException,0,9.22971145767696,Clean
ShouldNeverReachHereException,0,9.22971145767696,Clean
BeBinaryReader,4,9.22971145767696,Clean
BeBinaryWriter,4,9.22971145767696,Clean
ByteOrder,1,9.22971145767696,Clean
CoordinateArraySequenceFactory,4,9.22971145767696,Clean
CoordinateListSequenceFactory,4,9.22971145767696,Clean
WkbReader,6,9.22971145767696,Clean
GmlWriter,6,9.22971145767696,Clean
GeometryEditor,6,9.22971145767696,Clean
CoordinateOperation,4,9.22971145767696,Clean
IGeometryEditorOperation,2,9.22971145767696,Clean
GeometryTransformer,7,9.22971145767696,Clean
LinearComponentExtracter,5,9.22971145767696,Clean
PointExtracter,4,9.22971145767696,Clean
PolygonExtracter,4,9.22971145767696,Clean
ShortCircuitedGeometryVisitor,4,9.22971145767696,Clean
WkbGeometryType,1,9.22971145767696,Clean
WkbWriter,5,9.22971145767696,Clean
WktWriter,5,9.22971145767696,Clean
Assert,4,9.22971145767696,Clean
AssertionFailedException,1,9.22971145767696,Clean
CollectionUtil,3,9.22971145767696,Clean
Global,0,9.22971145767696,Clean
HexConverter,3,9.22971145767696,Clean
UniqueCoordinateArrayFilter,2,9.22971145767696,Clean
Depth,6,9.22971145767696,Clean
DirectedEdge,9,9.22971145767696,Clean
DirectedEdgeStar,8,9.22971145767696,Clean
Edge,9,9.22971145767696,Clean
EdgeEnd,9,9.22971145767696,Clean
EdgeEndStar,8,9.22971145767696,Clean
EdgeIntersection,6,9.22971145767696,Clean
EdgeIntersectionList,7,9.22971145767696,Clean
EdgeList,7,9.22971145767696,Clean
EdgeNodingValidator,3,9.22971145767696,Clean
EdgeRing,9,9.22971145767696,Clean
GeometryGraph,9,9.22971145767696,Clean
GraphComponent,8,9.22971145767696,Clean
