Component,Threshold,Cutoff,Status
FormattedDatabaseTraceListenerData,8,7.606672169878454,Fault_proner
FormattedDatabaseTraceListenerAssembler,3,7.606672169878454,Clean
FormattedDatabaseTraceListener,8,7.606672169878454,Fault_proner
AddExceptionTypeNodeCommand,6,7.606672169878454,Clean
ExceptionHandlingCommandRegistrar,6,7.606672169878454,Clean
ExceptionHandlingNodeMapRegistrar,4,7.606672169878454,Clean
ExceptionHandlingSettingsBuilder,6,7.606672169878454,Clean
ExceptionHandlingSettingsNodeBuilder,6,7.606672169878454,Clean
CustomHandlerNode,8,7.606672169878454,Fault_proner
ExceptionHandlerNode,3,7.606672169878454,Clean
ExceptionHandlingConfigurationDesignManager,6,7.606672169878454,Clean
ExceptionHandlingSettingsNode,3,7.606672169878454,Clean
ExceptionPolicyNode,4,7.606672169878454,Clean
ExceptionTypeNode,9,7.606672169878454,Fault_proner
ReplaceHandlerNode,8,7.606672169878454,Fault_proner
WrapHandlerNode,8,7.606672169878454,Fault_proner
Resources,4,7.606672169878454,Clean
AddLoggingExceptionHandlerCommand,5,7.606672169878454,Clean
ExceptionHandlingLoggingCommandRegistrar,5,7.606672169878454,Clean
ExceptionHandlingLoggingConfigurationDesignManager,5,7.606672169878454,Clean
ExceptionHandlingLoggingNodeMapRegistrar,4,7.606672169878454,Clean
LoggingExceptionHandlerNode,9,7.606672169878454,Fault_proner
AddConnectionStringSettingsNodeCommand,4,7.606672169878454,Clean
AddConnectionStringsSectionNodeCommand,4,7.606672169878454,Clean
AddDatabaseSectionNodeCommand,7,7.606672169878454,Clean
ConnectionStringNameValuePair,4,7.606672169878454,Clean
ConnectionStringParser,4,7.606672169878454,Clean
ConnectionStringsCommandRegistrar,6,7.606672169878454,Clean
ConnectionStringSettingsNode,7,7.606672169878454,Clean
ConnectionStringsSectionNode,3,7.606672169878454,Clean
ConnectionStringsConfigurationDesignManager,6,7.606672169878454,Clean
AddOracleConnectionElementNodeCommand,4,7.606672169878454,Clean
ConnectionStringsSectionBuilder,5,7.606672169878454,Clean
ConnectionStringsSectionNodeBuilder,6,7.606672169878454,Clean
DatabaseSectionBuilder,5,7.606672169878454,Clean
DatabaseSectionNodeBuilder,5,7.606672169878454,Clean
IDatabaseProviderName,1,7.606672169878454,Clean
OracleConnectionSettingsBuilder,5,7.606672169878454,Clean
OracleConnectionNodeBuilder,6,7.606672169878454,Clean
DataCommandRegistrar,5,7.606672169878454,Clean
OracleConnectionCommandRegistrar,5,7.606672169878454,Clean
ParameterNode,4,7.606672169878454,Clean
ProviderMappingNode,7,7.606672169878454,Clean
OracleConnectionConfigurationDesignManager,6,7.606672169878454,Clean
DatabaseSectionNode,9,7.606672169878454,Fault_proner
DataConfigurationDesignManager,6,7.606672169878454,Clean
OracleConnectionElementNode,3,7.606672169878454,Clean
OraclePackageElementNode,7,7.606672169878454,Clean
ProviderMappingsNode,3,7.606672169878454,Clean
ProviderEditor,4,7.606672169878454,Clean
ProviderEditorUI,5,7.606672169878454,Clean
AddSecuritySettingsNodeCommand,4,7.606672169878454,Clean
CustomAuthorizationProviderNode,8,7.606672169878454,Fault_proner
AuthorizationProviderCollectionNode,3,7.606672169878454,Clean
AuthorizationProviderNode,3,7.606672169878454,Clean
AuthorizationRuleNode,7,7.606672169878454,Clean
AuthorizationRuleProviderNode,5,7.606672169878454,Clean
CustomSecurityCacheProviderNode,8,7.606672169878454,Fault_proner
ExpressionEditor,5,7.606672169878454,Clean
ExpressionEditorFormUI,7,7.606672169878454,Clean
