Component,Threshold,Cutoff,Status
AffineTransform,8,7.0599437553239905,Fault_proner
BoundingBox3,9,7.0599437553239905,Fault_proner
ClientMeshBuffers,8,7.0599437553239905,Fault_proner
Settings,1,7.0599437553239905,Clean
_NoDeviceSupportException,0,7.0599437553239905,Clean
ClientBuffer,5,7.0599437553239905,Clean
Guard,6,7.0599437553239905,Clean
ReferenceComparer<T>,3,7.0599437553239905,Clean
_StaticBufferBuilder,7,7.0599437553239905,Clean
MeshCollectionBuilder<T>,6,7.0599437553239905,Clean
MeshBuilder,7,7.0599437553239905,Clean
MeshPrimitiveBuilder,7,7.0599437553239905,Clean
_DataBuffer,7,7.0599437553239905,Clean
Range,8,7.0599437553239905,Fault_proner
_Extensions,5,7.0599437553239905,Clean
"ChildrenCollection<T,TParent>",6,7.0599437553239905,Clean
_CollectionDebugView<T>,1,7.0599437553239905,Clean
IChildOf,2,7.0599437553239905,Clean
LinqDictionary,6,7.0599437553239905,Clean
"SingleChild<T,TParent>",3,7.0599437553239905,Clean
VertexAttributeAttribute,2,7.0599437553239905,Clean
StaticVertex_PosNrm,2,7.0599437553239905,Clean
StaticVertex_PosNrmTanTx0,2,7.0599437553239905,Clean
VertexBufferBuilder<TVertex>,3,7.0599437553239905,Clean
"MeshBuilder<TBaseVertex,TMorphVertex>",5,7.0599437553239905,Clean
_Triangle,2,7.0599437553239905,Clean
IAnimatable,2,7.0599437553239905,Clean
_AnimationSampler,7,7.0599437553239905,Clean
_AnimScaleSampler,5,7.0599437553239905,Clean
_AnimTranslationSampler,4,7.0599437553239905,Clean
_AnimRotationSampler,4,7.0599437553239905,Clean
_AnimMorphSampler,6,7.0599437553239905,Clean
_AnimationChannel,7,7.0599437553239905,Clean
Animation,9,7.0599437553239905,Fault_proner
AttributeInfo,9,7.0599437553239905,Fault_proner
_CollectionComparer,2,7.0599437553239905,Clean
_ByteOffsetComparer,1,7.0599437553239905,Clean
BufferUsage,1,7.0599437553239905,Clean
BufferView,9,7.0599437553239905,Fault_proner
Factory,6,7.0599437553239905,Clean
FactoryObject,3,7.0599437553239905,Clean
Material,9,7.0599437553239905,Fault_proner
MaterialChannel,4,7.0599437553239905,Clean
ModelRoot,9,7.0599437553239905,Fault_proner
NodeContainer,7,7.0599437553239905,Clean
Scene,9,7.0599437553239905,Fault_proner
Node,9,7.0599437553239905,Fault_proner
NodeContent,2,7.0599437553239905,Clean
_Schema2Builder,8,7.0599437553239905,Fault_proner
_Schema2Parser,8,7.0599437553239905,Fault_proner
TextureSampling,0,7.0599437553239905,Clean
TextureWrap,1,7.0599437553239905,Clean
TextureInterpolation,1,7.0599437553239905,Clean
Texture,5,7.0599437553239905,Clean
ImageBuffer,3,7.0599437553239905,Clean
IndexBuffer,5,7.0599437553239905,Clean
NullIndexBuffer,3,7.0599437553239905,Clean
DeviceIndexBuffer,4,7.0599437553239905,Clean
IndexBuffer32,3,7.0599437553239905,Clean
Mesh,8,7.0599437553239905,Fault_proner
MeshPrimitive,9,7.0599437553239905,Fault_proner
SkinJoint,2,7.0599437553239905,Clean
SkinnedMeshModifier,6,7.0599437553239905,Clean
VertexBuffer,9,7.0599437553239905,Fault_proner
DeviceVertexBuffer,9,7.0599437553239905,Fault_proner
EditableVertexBuffer,9,7.0599437553239905,Fault_proner
_ScalarIndexer,2,7.0599437553239905,Clean
_Vector2Indexer,2,7.0599437553239905,Clean
_Vector3Indexer,2,7.0599437553239905,Clean
_Vector4Indexer,2,7.0599437553239905,Clean
PackedType,1,7.0599437553239905,Clean
DimensionType,1,7.0599437553239905,Clean
_IntegerNormalizationExtensions,4,7.0599437553239905,Clean
PackedEncoding,9,7.0599437553239905,Fault_proner
_ByteScalar,8,7.0599437553239905,Fault_proner
_ByteVector2,8,7.0599437553239905,Fault_proner
_ByteVector4,6,7.0599437553239905,Clean
_U8Encoding,4,7.0599437553239905,Clean
_S8Encoding,4,7.0599437553239905,Clean
_U16Encoding,4,7.0599437553239905,Clean
_S16Encoding,4,7.0599437553239905,Clean
_U32Encoding,4,7.0599437553239905,Clean
_S32Encoding,4,7.0599437553239905,Clean
_F32Encoding,4,7.0599437553239905,Clean
_NormU8Encoding,4,7.0599437553239905,Clean
_NormS8Encoding,4,7.0599437553239905,Clean
_NormU16Encoding,4,7.0599437553239905,Clean
_NormS16Encoding,4,7.0599437553239905,Clean
DimensionEncoding,0,7.0599437553239905,Clean
IPackedIndexer,1,7.0599437553239905,Clean
IntegerIndexer,4,7.0599437553239905,Clean
ScalarIndexer,6,7.0599437553239905,Clean
Vector2Reader,5,7.0599437553239905,Clean
Vector3Indexer,7,7.0599437553239905,Clean
Vector4Indexer,5,7.0599437553239905,Clean
QuaternionIndexer,6,7.0599437553239905,Clean
Matrix4x4Indexer,6,7.0599437553239905,Clean
MaterialPBRSpecularGlossiness_KHR,6,7.0599437553239905,Clean
MaterialUnlit_KHR,1,7.0599437553239905,Clean
glb,7,7.0599437553239905,Clean
Accessor,9,7.0599437553239905,Fault_proner
AccessorSparse,7,7.0599437553239905,Clean
AccessorSparseIndices,7,7.0599437553239905,Clean
AccessorSparseValues,7,7.0599437553239905,Clean
AnimationChannelTarget,8,7.0599437553239905,Fault_proner
AnimationChannel,9,7.0599437553239905,Fault_proner
AnimationSampler,9,7.0599437553239905,Fault_proner
Buffer,8,7.0599437553239905,Fault_proner
_DebugView,1,7.0599437553239905,Clean
ModelException,5,7.0599437553239905,Clean
ExtensionsFactory,3,7.0599437553239905,Clean
IndexType,1,7.0599437553239905,Clean
ComponentType,1,7.0599437553239905,Clean
ElementType,1,7.0599437553239905,Clean
PathType,1,7.0599437553239905,Clean
AnimationInterpolationMode,1,7.0599437553239905,Clean
BufferMode,1,7.0599437553239905,Clean
CameraType,0,7.0599437553239905,Clean
AlphaMode,0,7.0599437553239905,Clean
PrimitiveType,1,7.0599437553239905,Clean
TextureInterpolationMode,1,7.0599437553239905,Clean
TextureMipMapMode,1,7.0599437553239905,Clean
TextureWrapMode,1,7.0599437553239905,Clean
LogicalChildOfRoot,8,7.0599437553239905,Fault_proner
Asset,6,7.0599437553239905,Clean
CameraOrthographic,3,7.0599437553239905,Clean
CameraPerspective,3,7.0599437553239905,Clean
Camera,4,7.0599437553239905,Clean
Image,9,7.0599437553239905,Fault_proner
TextureInfo,6,7.0599437553239905,Clean
MaterialPBRMetallicRoughness,7,7.0599437553239905,Clean
MaterialNormalTextureInfo,4,7.0599437553239905,Clean
MaterialOcclusionTextureInfo,4,7.0599437553239905,Clean
Sampler,8,7.0599437553239905,Fault_proner
Skin,9,7.0599437553239905,Fault_proner
MaterialChannelView,6,7.0599437553239905,Clean
glTFProperty,9,7.0599437553239905,Fault_proner
IVisualNodeContainer,3,7.0599437553239905,Clean
ReadSettings,1,7.0599437553239905,Clean
WriteSettings,3,7.0599437553239905,Clean
JsonSerializable,6,7.0599437553239905,Clean
_JSonSerializationExtensions,4,7.0599437553239905,Clean
