Component,Threshold,Cutoff,Status
EchoArguments,5,8.831010383027616,Clean
EchoProgram,4,8.831010383027616,Clean
Resources,3,8.831010383027616,Clean
AboutDialog,5,8.831010383027616,Clean
ApplicationShutdown,1,8.831010383027616,Clean
Window,6,8.831010383027616,Clean
IPackage,1,8.831010383027616,Clean
DockWindow,4,8.831010383027616,Clean
Main,5,8.831010383027616,Clean
IcarusArguments,4,8.831010383027616,Clean
Paths,3,8.831010383027616,Clean
IcarusProgram,4,8.831010383027616,Clean
Settings,5,8.831010383027616,Clean
AnnotationsPackage,7,8.831010383027616,Clean
AnnotationsResources,3,8.831010383027616,Clean
AnnotationsWindow,5,8.831010383027616,Clean
AnnotationsController,8,8.831010383027616,Clean
IAnnotationsController,4,8.831010383027616,Clean
AddFilesCommand,5,8.831010383027616,Clean
ApplyFilterCommand,5,8.831010383027616,Clean
CommandFactory,7,8.831010383027616,Clean
ConvertSavedReportCommand,6,8.831010383027616,Clean
ICommandFactory,4,8.831010383027616,Clean
LoadPackageCommand,7,8.831010383027616,Clean
DeleteAllReportsCommand,4,8.831010383027616,Clean
DelegateCommand,3,8.831010383027616,Clean
DeleteFilterCommand,5,8.831010383027616,Clean
DeleteReportCommand,5,8.831010383027616,Clean
GenerateReportCommand,5,8.831010383027616,Clean
NewProjectCommand,4,8.831010383027616,Clean
OpenProjectCommand,8,8.831010383027616,Clean
OpenReportCommand,5,8.831010383027616,Clean
RefreshTestTreeCommand,4,8.831010383027616,Clean
ReloadCommand,7,8.831010383027616,Clean
RemoveAllFilesCommand,4,8.831010383027616,Clean
RemoveFileCommand,5,8.831010383027616,Clean
ResetTestsCommand,4,8.831010383027616,Clean
RestoreFilterCommand,6,8.831010383027616,Clean
RunTestsCommand,8,8.831010383027616,Clean
SaveFilterCommand,5,8.831010383027616,Clean
SaveProjectCommand,8,8.831010383027616,Clean
ShowReportCommand,5,8.831010383027616,Clean
ViewSourceCodeCommand,5,8.831010383027616,Clean
ProgressEvent,1,8.831010383027616,Clean
SavingProject,2,8.831010383027616,Clean
