Component,Threshold,Cutoff,Status
AuthConfig,6,7.702413929560745,Clean
AutoMapperConfig,2,7.702413929560745,Clean
DatabaseConfig,3,7.702413929560745,Clean
Startup,4,7.702413929560745,Clean
BundleConfig,3,7.702413929560745,Clean
FilterConfig,2,7.702413929560745,Clean
RouteConfig,3,7.702413929560745,Clean
WebApiConfig,2,7.702413929560745,Clean
MvcApplication,5,7.702413929560745,Clean
AdminAreaRegistration,1,7.702413929560745,Clean
APIController,7,7.702413929560745,Clean
AssetsController,8,7.702413929560745,Fault_proner
CommentsController,7,7.702413929560745,Clean
ContactsController,8,7.702413929560745,Fault_proner
CustomersController,7,7.702413929560745,Clean
UsersController,8,7.702413929560745,Fault_proner
APICustomerModel,2,7.702413929560745,Clean
AddOrUpdateUserForm,4,7.702413929560745,Clean
webpages_UsersInRolesModel,2,7.702413929560745,Clean
AssetDocumentModel,1,7.702413929560745,Clean
AssetInErrorModel,2,7.702413929560745,Clean
AssetModificationModel,2,7.702413929560745,Clean
AssetSearchForm,2,7.702413929560745,Clean
AssetsWithDocumentsModel,2,7.702413929560745,Clean
SaveAssetForm,2,7.702413929560745,Clean
U1AFormErrorModel,2,7.702413929560745,Clean
ContactModel,1,7.702413929560745,Clean
SaveContactCategoryModel,2,7.702413929560745,Clean
UsersGridDataBuilder,6,7.702413929560745,Clean
AddOrUpdateUserFormValidator,5,7.702413929560745,Clean
AnalyticsController,7,7.702413929560745,Clean
ActionGroup,2,7.702413929560745,Clean
ActionAnalyticsModel,1,7.702413929560745,Clean
BaseNHibernateApiController,4,7.702413929560745,Clean
CustomerEmailController,8,7.702413929560745,Fault_proner
SessionController,6,7.702413929560745,Clean
SpecialPromotionsController,7,7.702413929560745,Clean
AccountController,7,7.702413929560745,Clean
ExternalProviderLoginResult,5,7.702413929560745,Clean
BaseController,4,7.702413929560745,Clean
BaseNHibernateController,8,7.702413929560745,Fault_proner
HomeController,7,7.702413929560745,Clean
ReportingEngineController,8,7.702413929560745,Fault_proner
RPBController,8,7.702413929560745,Fault_proner
RequireHttpsAttribute,1,7.702413929560745,Clean
ValidateAntiForgeryTokenAttribute,2,7.702413929560745,Clean
ValidatePasswordLengthAttribute,4,7.702413929560745,Clean
ApplicationOAuthProvider,5,7.702413929560745,Clean
CustomLinkedinClient,5,7.702413929560745,Clean
DeserializedProviderResult,2,7.702413929560745,Clean
IOauthWebSecurity,4,7.702413929560745,Clean
IWebSecurity,5,7.702413929560745,Clean
OauthUserCreator,5,7.702413929560745,Clean
OauthWebSecurityWrapper,6,7.702413929560745,Clean
WebSecurityWrapper,7,7.702413929560745,Clean
DatabaseMigrator,5,7.702413929560745,Clean
MigrationOptions,2,7.702413929560745,Clean
IConfigurationProvider,3,7.702413929560745,Clean
WebConfigurationProvider,3,7.702413929560745,Clean
Email,2,7.702413929560745,Clean
IMessageFactory,2,7.702413929560745,Clean
ISender,2,7.702413929560745,Clean
MessageFactory,6,7.702413929560745,Clean
Sender,4,7.702413929560745,Clean
HttpContentExtensions,3,7.702413929560745,Clean
HttpPostedData,3,7.702413929560745,Clean
HttpPostedFile,2,7.702413929560745,Clean
HttpPostedField,2,7.702413929560745,Clean
HtmlHelpers,3,7.702413929560745,Clean
NHibernateContractResolver,0,7.702413929560745,Clean
HttpServerUtilityPathProvider,4,7.702413929560745,Clean
IPathProvider,2,7.702413929560745,Clean
SummaryAssetRegisteredPriorToDate,5,7.702413929560745,Clean
SummaryAssetScansPerMonth,7,7.702413929560745,Clean
SummaryAssetsRegisteredPriorToDate,5,7.702413929560745,Clean
SummaryGetPageLabels,5,7.702413929560745,Clean
SummaryReportQuery,4,7.702413929560745,Clean
SummarySpecialPromotionLog,3,7.702413929560745,Clean
SummarySpecialPromotionSurveyCheckboxSelections,4,7.702413929560745,Clean
SummarySpecialPromotionSurveyLog,5,7.702413929560745,Clean
SummarySurveyResults,6,7.702413929560745,Clean
WarrantyClaimsQuery,5,7.702413929560745,Clean
ApiValidator,6,7.702413929560745,Clean
IApiValidator,3,7.702413929560745,Clean
EntityExists<T>,5,7.702413929560745,Clean
IValidator,4,7.702413929560745,Clean
Validator,7,7.702413929560745,Clean
UpdateAssetSpecification,7,7.702413929560745,Clean
ApiAndSpecification,6,7.702413929560745,Clean
ApiNotSpecification,6,7.702413929560745,Clean
ApiOrSpecification,6,7.702413929560745,Clean
ApiSpecification,6,7.702413929560745,Clean
IApiSpecification,4,7.702413929560745,Clean
AndSpecification,6,7.702413929560745,Clean
ISpecification,4,7.702413929560745,Clean
NotSpecification,6,7.702413929560745,Clean
OrSpecification,6,7.702413929560745,Clean
Specification,6,7.702413929560745,Clean
ITemplateProvider,2,7.702413929560745,Clean
TemplateProvider,5,7.702413929560745,Clean
EmailModule,2,7.702413929560745,Clean
ServiceModule,1,7.702413929560745,Clean
AutofacContainerFactory,2,7.702413929560745,Clean
InfrastructureModule,2,7.702413929560745,Clean
MappingModule,3,7.702413929560745,Clean
ModelBuilderModule,1,7.702413929560745,Clean
ModelProcessorModule,1,7.702413929560745,Clean
ValidatorModule,2,7.702413929560745,Clean
OrmModule,0,7.702413929560745,Clean
APIMappingProfile,1,7.702413929560745,Clean
AssetMappingProfile,2,7.702413929560745,Clean
CommentMappingProfile,1,7.702413929560745,Clean
ContactMappingProfile,1,7.702413929560745,Clean
CustomerMappingProfile,1,7.702413929560745,Clean
RouteMappingProfile,1,7.702413929560745,Clean
RPBMappingProfile,1,7.702413929560745,Clean
EntityMappingProfile,1,7.702413929560745,Clean
StringMappingProfile,0,7.702413929560745,Clean
UserMappingProfile,3,7.702413929560745,Clean
CustomerConfigurationModel,2,7.702413929560745,Clean
HomeInitModel,2,7.702413929560745,Clean
RoutesModel,2,7.702413929560745,Clean
ForgotPasswordForm,1,7.702413929560745,Clean
ProfileForm,3,7.702413929560745,Clean
ProfileFormProcessor,7,7.702413929560745,Clean
ProfileModelDefinition,6,7.702413929560745,Clean
ResetPasswordForm,2,7.702413929560745,Clean
SignupForm,3,7.702413929560745,Clean
AddUserForm,4,7.702413929560745,Clean
UserForm,4,7.702413929560745,Clean
UserModel,3,7.702413929560745,Clean
AssetKeyValuePairModel,1,7.702413929560745,Clean
OrganizationModel,2,7.702413929560745,Clean
AssetModel,3,7.702413929560745,Clean
ChangePasswordModel,2,7.702413929560745,Clean
LoginModel,2,7.702413929560745,Clean
RegisterModel,2,7.702413929560745,Clean
AjaxFormModalResponse,6,7.702413929560745,Clean
ResponseType,1,7.702413929560745,Clean
EntityRepository<T>,6,7.702413929560745,Clean
IModelBuilder,4,7.702413929560745,Clean
