Component,Threshold,Cutoff,Status
BigEndianBinary,5,9.108287635914012,Clean
Binary,5,9.108287635914012,Clean
BufferManager,4,9.108287635914012,Clean
CollectionDebuggerProxy<T>,2,9.108287635914012,Clean
CollectionOperation,4,9.108287635914012,Clean
"DictionaryDebuggerProxy<TKey,TValue>",2,9.108287635914012,Clean
Float32Bits,3,9.108287635914012,Clean
Float64Bits,3,9.108287635914012,Clean
InvalidMessagePackStreamException,2,9.108287635914012,Clean
IPackable,2,9.108287635914012,Clean
ItemsUnpacker,8,9.108287635914012,Clean
CollectionType,0,9.108287635914012,Clean
ReadValueResult,0,9.108287635914012,Clean
IUnpackable,1,9.108287635914012,Clean
KnownExtTypeCode,1,9.108287635914012,Clean
KnownExtTypeName,1,9.108287635914012,Clean
MessagePackExtendedTypeObject,7,9.108287635914012,Clean
MessagePackObjectDictionary,8,9.108287635914012,Clean
Enumerator,6,9.108287635914012,Clean
DictionaryEnumerator,3,9.108287635914012,Clean
KeySet,7,9.108287635914012,Clean
ValueCollection,7,9.108287635914012,Clean
MessagePackCode,4,9.108287635914012,Clean
MessagePackConvert,7,9.108287635914012,Clean
MessagePackObject,10,9.108287635914012,Fault_proner
MessagePackValueTypeCode,0,9.108287635914012,Clean
ValueTypeCode,2,9.108287635914012,Clean
MessageNotSupportedException,2,9.108287635914012,Clean
MessagePackObjectEqualityComparer,3,9.108287635914012,Clean
MessagePackString,7,9.108287635914012,Clean
BinaryType,0,9.108287635914012,Clean
MessagePackStringDebuggerProxy,4,9.108287635914012,Clean
PackerCompatibilityOptions,1,9.108287635914012,Clean
PackerUnpackerExtensions,5,9.108287635914012,Clean
PackingOptions,3,9.108287635914012,Clean
MessageTypeException,2,9.108287635914012,Clean
Packer,8,9.108287635914012,Clean
ReflectionAbstractions,6,9.108287635914012,Clean
SetOperation,4,9.108287635914012,Clean
StreamPacker,6,9.108287635914012,Clean
StringEscape,0,9.108287635914012,Clean
SubtreeUnpacker,8,9.108287635914012,Clean
State,0,9.108287635914012,Clean
TupleItems,4,9.108287635914012,Clean
Unpacking,7,9.108287635914012,Clean
SeekableUnpackingStream,5,9.108287635914012,Clean
UnseekableUnpackingStream,3,9.108287635914012,Clean
DefaultUnpackingStreamReader,1,9.108287635914012,Clean
UnpackingMode,0,9.108287635914012,Clean
UnpackingStream,7,9.108287635914012,Clean
UnpackingStreamReader,2,9.108287635914012,Clean
UnsafeNativeMethods,2,9.108287635914012,Clean
Validation,4,9.108287635914012,Clean
UnpackingResult,7,9.108287635914012,Clean
Unpacker,9,9.108287635914012,Clean
UnpackerMode,0,9.108287635914012,Clean
UnpackException,2,9.108287635914012,Clean
UnassignedMessageTypeException,3,9.108287635914012,Clean
CollectionSerializerMethod,0,9.108287635914012,Clean
ICodeConstruct,2,9.108287635914012,Clean
ISerializerBuilder,1,9.108287635914012,Clean
ISerializerCodeGenerationContext,1,9.108287635914012,Clean
ISerializerCodeGenerator,1,9.108287635914012,Clean
"SerializerBuilder<TContext,TConstruct,TObject>",7,9.108287635914012,Clean
SerializerSpecification,5,9.108287635914012,Clean
SerializerFieldKey,7,9.108287635914012,Clean
ComparablePolymorphismSchema,7,9.108287635914012,Clean
SerializerMethod,0,9.108287635914012,Clean
EnumSerializerMethod,0,9.108287635914012,Clean
"SerializerBuilderContract<TContext,TConstruct,TObject>",4,9.108287635914012,Clean
ForLoopContext,1,9.108287635914012,Clean
SerializerBuilderNilImplicationHandler,4,9.108287635914012,Clean
SerializerBuilderOnPackingParameter,4,9.108287635914012,Clean
SerializerBuilderOnUnpacedParameter,4,9.108287635914012,Clean
SerializerGenerationContext<TConstruct>,5,9.108287635914012,Clean
CodeDomSerializerBuilder,2,9.108287635914012,Clean
CodeDomConstruct,9,9.108287635914012,Clean
CodeDomContext,9,9.108287635914012,Clean
CachedFieldInfo,2,9.108287635914012,Clean
CachedMethodBase,2,9.108287635914012,Clean
CodeDomSerializerBuilder<TObject>,4,9.108287635914012,Clean
ExpressionCodeDomConstruct,5,9.108287635914012,Clean
ParameterCodeDomConstruct,5,9.108287635914012,Clean
StatementCodeDomConstruct,4,9.108287635914012,Clean
VariableCodeDomConstruct,5,9.108287635914012,Clean
CollectionDetailedKind,1,9.108287635914012,Clean
DateTimeConversionMethod,1,9.108287635914012,Clean
DateTimeMemberConversionMethod,1,9.108287635914012,Clean
DateTimeMessagePackSerializerHelpers,2,9.108287635914012,Clean
DefaultSerializerNameResolver,1,9.108287635914012,Clean
INilImplicationHandlerOnUnpackedParameter,3,9.108287635914012,Clean
INilImplicationHandlerParameter,2,9.108287635914012,Clean
MessagePackDateTimeMemberAttribute,1,9.108287635914012,Clean
MessagePackRuntimeTypeAttribute,3,9.108287635914012,Clean
MessagePackRuntimeCollectionItemTypeAttribute,3,9.108287635914012,Clean
MessagePackRuntimeDictionaryKeyTypeAttribute,2,9.108287635914012,Clean
MessagePackRuntimeTupleItemTypeAttribute,3,9.108287635914012,Clean
MessagePackKnownTypeAttribute,3,9.108287635914012,Clean
MessagePackKnownCollectionItemTypeAttribute,2,9.108287635914012,Clean
MessagePackKnownDictionaryKeyTypeAttribute,2,9.108287635914012,Clean
MessagePackKnownTupleItemTypeAttribute,3,9.108287635914012,Clean
MessagePackDeserializationConstructorAttribute,0,9.108287635914012,Clean
MessagePackIgnoreAttribute,0,9.108287635914012,Clean
"NilImplicationHandler<TAction,TCondition,TPackingParameter,TUnpackedParameter>",5,9.108287635914012,Clean
PolymorphismSchema,8,9.108287635914012,Clean
TypeTable,3,9.108287635914012,Clean
TypeTableEntry,7,9.108287635914012,Clean
PolymorphismSchemaChildrenType,0,9.108287635914012,Clean
PolymorphismTarget,0,9.108287635914012,Clean
PolymorphismType,0,9.108287635914012,Clean
ResolveSerializerEventArgs,3,9.108287635914012,Clean
