Component,Threshold,Cutoff,Status
ActionExecutedContext,7,8.807152557718425,Clean
ActionExecutingContext,7,8.807152557718425,Clean
AntiForgeryData,7,8.807152557718425,Clean
AntiForgeryDataSerializer,9,8.807152557718425,Fault_proner
FormatterGenerator,3,8.807152557718425,Clean
TokenPersister,4,8.807152557718425,Clean
AuthorizationContext,4,8.807152557718425,Clean
ControllerContext,8,8.807152557718425,Clean
EmptyHttpContext,0,8.807152557718425,Clean
PathHelpers,5,8.807152557718425,Clean
ExceptionContext,7,8.807152557718425,Clean
ResultExecutedContext,6,8.807152557718425,Clean
ResultExecutingContext,5,8.807152557718425,Clean
ValidateAntiForgeryTokenAttribute,7,8.807152557718425,Clean
HttpAntiForgeryException,4,8.807152557718425,Clean
JavaScriptResult,3,8.807152557718425,Clean
ActionDescriptor,9,8.807152557718425,Fault_proner
ActionMethodDispatcher,7,8.807152557718425,Clean
ActionMethodSelector,7,8.807152557718425,Clean
ActionMethodSelectorAttribute,2,8.807152557718425,Clean
ActionMethodSelectorCache,2,8.807152557718425,Clean
ActionNameSelectorAttribute,1,8.807152557718425,Clean
AuthorizeAttribute,8,8.807152557718425,Clean
ActionMethodDispatcherCache,1,8.807152557718425,Clean
BindAttribute,4,8.807152557718425,Clean
ControllerBase,9,8.807152557718425,Fault_proner
ActionNameAttribute,4,8.807152557718425,Clean
AcceptVerbsAttribute,7,8.807152557718425,Clean
AjaxHelper<TModel>,5,8.807152557718425,Clean
HtmlHelper<TModel>,5,8.807152557718425,Clean
DictionaryHelpers,4,8.807152557718425,Clean
AjaxRequestExtensions,0,8.807152557718425,Clean
ModelBinderDictionary,8,8.807152557718425,Clean
ValueProviderDictionary,8,8.807152557718425,Clean
ViewContext,7,8.807152557718425,Clean
ViewType,2,8.807152557718425,Clean
ViewTypeControlBuilder,2,8.807152557718425,Clean
ViewUserControlControlBuilder,1,8.807152557718425,Clean
ViewPageControlBuilder,1,8.807152557718425,Clean
ViewTypeParserFilter,7,8.807152557718425,Clean
DirectiveType,0,8.807152557718425,Clean
DefaultViewLocationCache,8,8.807152557718425,Clean
FormCollection,5,8.807152557718425,Clean
FormCollectionBinderAttribute,2,8.807152557718425,Clean
FormCollectionModelBinder,2,8.807152557718425,Clean
HttpPostedFileBaseModelBinder,3,8.807152557718425,Clean
NullViewLocationCache,2,8.807152557718425,Clean
ValidateInputAttribute,4,8.807152557718425,Clean
FileContentResult,4,8.807152557718425,Clean
FilePathResult,4,8.807152557718425,Clean
FileResult,8,8.807152557718425,Clean
FileStreamResult,6,8.807152557718425,Clean
InputType,0,8.807152557718425,Clean
ControllerDescriptorCache,1,8.807152557718425,Clean
ReflectedParameterBindingInfo,5,8.807152557718425,Clean
ParameterBindingInfo,3,8.807152557718425,Clean
"ReaderWriterCache<TKey,TValue>",5,8.807152557718425,Clean
DescriptorUtil,0,8.807152557718425,Clean
ReflectedControllerDescriptor,8,8.807152557718425,Clean
ControllerDescriptor,7,8.807152557718425,Clean
ReflectedActionDescriptor,9,8.807152557718425,Fault_proner
HttpVerbs,0,8.807152557718425,Clean
DefaultModelBinder,9,8.807152557718425,Fault_proner
CollectionHelpers,5,8.807152557718425,Clean
ModelBindingContext,4,8.807152557718425,Clean
ParameterDescriptor,8,8.807152557718425,Clean
EmptyParameterBindingInfo,1,8.807152557718425,Clean
RouteValuesHelpers,3,8.807152557718425,Clean
SelectListItem,2,8.807152557718425,Clean
TagRenderMode,1,8.807152557718425,Clean
ReflectedParameterDescriptor,9,8.807152557718425,Fault_proner
ValueProviderResult,7,8.807152557718425,Clean
CustomModelBinderAttribute,2,8.807152557718425,Clean
FormMethod,1,8.807152557718425,Clean
IModelBinder,3,8.807152557718425,Clean
ModelBinderAttribute,6,8.807152557718425,Clean
ModelBinders,6,8.807152557718425,Clean
ModelStateDictionary,8,8.807152557718425,Clean
ModelState,3,8.807152557718425,Clean
ModelErrorCollection,2,8.807152557718425,Clean
ModelError,5,8.807152557718425,Clean
HandleErrorAttribute,6,8.807152557718425,Clean
HandleErrorInfo,4,8.807152557718425,Clean
HttpUnauthorizedResult,1,8.807152557718425,Clean
IActionInvoker,2,8.807152557718425,Clean
IView,2,8.807152557718425,Clean
IViewLocationCache,2,8.807152557718425,Clean
MvcHttpHandler,1,8.807152557718425,Clean
PartialViewResult,4,8.807152557718425,Clean
SessionStateTempDataProvider,6,8.807152557718425,Clean
ITempDataProvider,2,8.807152557718425,Clean
OutputCacheAttribute,6,8.807152557718425,Clean
OutputCachedPage,1,8.807152557718425,Clean
FilterInfo,3,8.807152557718425,Clean
ActionFilterAttribute,6,8.807152557718425,Clean
ActionResult,2,8.807152557718425,Clean
AjaxHelper,7,8.807152557718425,Clean
BuildManagerWrapper,1,8.807152557718425,Clean
Controller,9,8.807152557718425,Fault_proner
ControllerActionInvoker,8,8.807152557718425,Clean
ControllerBuilder,8,8.807152557718425,Clean
ControllerTypeCache,7,8.807152557718425,Clean
ContentResult,5,8.807152557718425,Clean
FilterAttribute,4,8.807152557718425,Clean
IResultFilter,2,8.807152557718425,Clean
IExceptionFilter,1,8.807152557718425,Clean
IAuthorizationFilter,1,8.807152557718425,Clean
JsonResult,4,8.807152557718425,Clean
NameValueCollectionExtensions,2,8.807152557718425,Clean
ViewDataDictionary<TModel>,7,8.807152557718425,Clean
EmptyResult,4,8.807152557718425,Clean
MultiSelectList,6,8.807152557718425,Clean
RedirectResult,6,8.807152557718425,Clean
RedirectToRouteResult,9,8.807152557718425,Fault_proner
DefaultControllerFactory,8,8.807152557718425,Clean
HtmlHelper,10,8.807152557718425,Fault_proner
IActionFilter,3,8.807152557718425,Clean
IBuildManager,2,8.807152557718425,Clean
IController,2,8.807152557718425,Clean
IControllerFactory,2,8.807152557718425,Clean
IViewDataContainer,3,8.807152557718425,Clean
IViewEngine,4,8.807152557718425,Clean
MvcHandler,9,8.807152557718425,Fault_proner
MvcRouteHandler,1,8.807152557718425,Clean
NonActionAttribute,1,8.807152557718425,Clean
RouteCollectionExtensions,4,8.807152557718425,Clean
IgnoreRouteInternal,1,8.807152557718425,Clean
SelectList,6,8.807152557718425,Clean
TagBuilder,8,8.807152557718425,Clean
TempDataDictionary,8,8.807152557718425,Clean
TypeHelpers,1,8.807152557718425,Clean
UrlHelper,7,8.807152557718425,Clean
ViewDataDictionary,9,8.807152557718425,Fault_proner
ViewDataEvaluator,4,8.807152557718425,Clean
ExpressionPair,2,8.807152557718425,Clean
ViewEngineCollection,6,8.807152557718425,Clean
ViewEngineResult,6,8.807152557718425,Clean
ViewEngines,2,8.807152557718425,Clean
ViewMasterPage,3,8.807152557718425,Clean
ViewMasterPage<TModel>,5,8.807152557718425,Clean
ViewPage,10,8.807152557718425,Fault_proner
ViewPage<TModel>,5,8.807152557718425,Clean
ViewResult,6,8.807152557718425,Clean
ViewResultBase,7,8.807152557718425,Clean
ViewUserControl,9,8.807152557718425,Fault_proner
ViewUserControlContainerPage,1,8.807152557718425,Clean
ViewUserControl<TModel>,5,8.807152557718425,Clean
VirtualPathProviderViewEngine,9,8.807152557718425,Fault_proner
WebFormView,9,8.807152557718425,Fault_proner
WebFormViewEngine,8,8.807152557718425,Clean
AjaxOptions,7,8.807152557718425,Clean
AjaxExtensions,6,8.807152557718425,Clean
InsertionMode,1,8.807152557718425,Clean
MvcForm,5,8.807152557718425,Clean
FormExtensions,5,8.807152557718425,Clean
InputExtensions,5,8.807152557718425,Clean
RenderPartialExtensions,4,8.807152557718425,Clean
SelectExtensions,5,8.807152557718425,Clean
TextAreaExtensions,6,8.807152557718425,Clean
ValidationExtensions,7,8.807152557718425,Clean
LinkExtensions,5,8.807152557718425,Clean
MvcResources,4,8.807152557718425,Clean
ExpressionHelper,5,8.807152557718425,Clean
AjaxExtensions_duplicated,0,8.807152557718425,Clean
AsyncActionDescriptor,9,8.807152557718425,Fault_proner
AsyncActionMethodSelector,6,8.807152557718425,Clean
AsyncController,8,8.807152557718425,Clean
AsyncControllerActionInvoker,10,8.807152557718425,Fault_proner
AsyncControllerDescriptorCache,1,8.807152557718425,Clean
AsyncManager,8,8.807152557718425,Clean
AsyncResultWrapper,5,8.807152557718425,Clean
AsyncResultWrapperImpl<TResult>,7,8.807152557718425,Clean
AsyncRouteCollectionExtensions,4,8.807152557718425,Clean
AsyncTimeoutAttribute,7,8.807152557718425,Clean
BinaryHtmlExtensions,4,8.807152557718425,Clean
ByteArrayModelBinder,3,8.807152557718425,Clean
ContinuationListener,4,8.807152557718425,Clean
AcceptAjaxAttribute,1,8.807152557718425,Clean
RequireSslAttribute,5,8.807152557718425,Clean
DescriptorUtil_duplicated,1,8.807152557718425,Clean
IAsyncActionDescriptor,1,8.807152557718425,Clean
IAsyncActionInvoker,2,8.807152557718425,Clean
IAsyncController,3,8.807152557718425,Clean
IAsyncManagerContainer,3,8.807152557718425,Clean
ManualAsyncResult,4,8.807152557718425,Clean
MethodDispatcherCache,2,8.807152557718425,Clean
MethodDispatcher,7,8.807152557718425,Clean
MvcAsyncHandler,9,8.807152557718425,Fault_proner
MvcAsyncRouteHandler,1,8.807152557718425,Clean
MvcHttpAsyncHandler,8,8.807152557718425,Clean
MvcVerificationHttpHandler,3,8.807152557718425,Clean
NoAsyncTimeoutAttribute,1,8.807152557718425,Clean
ObjectAsyncResult<T>,4,8.807152557718425,Clean
OutstandingAsyncOperations,7,8.807152557718425,Clean
"ReaderWriterCache<TKey,TValue>_duplicated",5,8.807152557718425,Clean
ReflectedAsyncControllerDescriptor,8,8.807152557718425,Clean
ReflectedAsyncPatternActionDescriptor,9,8.807152557718425,Fault_proner
