Component,Threshold,Cutoff,Status
ServerEntryPoint,3,8.016031798169218,Clean
AgentHost,9,8.016031798169218,Fault_proner
AgentParameters,2,8.016031798169218,Clean
AgentProgram,7,8.016031798169218,Clean
IAgentExternalModule,3,8.016031798169218,Clean
INativeRunnerCache,3,8.016031798169218,Clean
NativeRunnerCache,7,8.016031798169218,Clean
TestRunnerMetadata,1,8.016031798169218,Clean
AgentTestRunner,6,8.016031798169218,Clean
Agent,9,8.016031798169218,Fault_proner
AgentConfiguration,3,8.016031798169218,Clean
AnnouncementModule,7,8.016031798169218,Clean
DiscoveryModule,7,8.016031798169218,Clean
ExceptionEntry,2,8.016031798169218,Clean
LogConfiguration,1,8.016031798169218,Clean
LogEntry,3,8.016031798169218,Clean
RollingLog,8,8.016031798169218,Clean
InstanceTracker,7,8.016031798169218,Clean
IInstanceTracker,3,8.016031798169218,Clean
InstanceTrackerState,2,8.016031798169218,Clean
NDistribUnitProcessRunner,9,8.016031798169218,Fault_proner
DistributedConfigurationSetup,2,8.016031798169218,Clean
IDistributedConfigurationOperator,4,8.016031798169218,Clean
TestDataProvider,8,8.016031798169218,Clean
TestResultExtensions,6,8.016031798169218,Clean
TestResultFactory,6,8.016031798169218,Clean
TestType,3,8.016031798169218,Clean
TestResultsProcessor,5,8.016031798169218,Clean
ITestReprocessor,2,8.016031798169218,Clean
IResultsStorage,5,8.016031798169218,Clean
ITestResultsSerializer,4,8.016031798169218,Clean
ITestsRetriever,2,8.016031798169218,Clean
NUnitTestsFilter,9,8.016031798169218,Fault_proner
TestReprocessor,7,8.016031798169218,Clean
ReprocessingVerdict,0,8.016031798169218,Clean
ResultsStorage,7,8.016031798169218,Clean
RunResultsCollection,7,8.016031798169218,Clean
TestUnitAttachedData,7,8.016031798169218,Clean
TestAgentsCollection,8,8.016031798169218,Clean
ServerTestRunner,5,8.016031798169218,Clean
TestResultsSerializer,5,8.016031798169218,Clean
TestsRetriever,7,8.016031798169218,Clean
InAnotherDomainTestsRetriever,4,8.016031798169218,Clean
ITestSystemInitializer,2,8.016031798169218,Clean
NUnitInitializer,3,8.016031798169218,Clean
TestUnit,4,8.016031798169218,Clean
TestUnitsCollection,10,8.016031798169218,Fault_proner
ITestUnitsCollection,2,8.016031798169218,Clean
TestUnitWithMetadata,6,8.016031798169218,Clean
ClientParameters,6,8.016031798169218,Clean
ClientProgram,7,8.016031798169218,Clean
NUnitParameters,3,8.016031798169218,Clean
IClient,1,8.016031798169218,Clean
Client,8,8.016031798169218,Clean
AssemblyResolver,6,8.016031798169218,Clean
