Component,Threshold,Cutoff,Status
AbiCompatibility,0,9.221269701931952,Clean
AbiEventArgs,0,9.221269701931952,Clean
AbiComparer,5,9.221269701931952,Clean
TypeGraph,5,9.221269701931952,Clean
TypeGraphNode,2,9.221269701931952,Clean
SymbolCollector,5,9.221269701931952,Clean
DocumentationComment,8,9.221269701931952,Clean
GetPotentiallyNestedClassTypeReference,5,9.221269701931952,Clean
IDocumentationProvider,1,9.221269701931952,Clean
IUnresolvedDocumentationProvider,2,9.221269701931952,Clean
XmlDocumentationProvider,7,9.221269701931952,Clean
XmlDocumentationCache,3,9.221269701931952,Clean
IndexEntry,1,9.221269701931952,Clean
LinePositionMapper,3,9.221269701931952,Clean
IdStringProvider,6,9.221269701931952,Clean
IdStringMemberReference,7,9.221269701931952,Clean
IDocument,8,9.221269701931952,Clean
IDocumentLine,4,9.221269701931952,Clean
ISegment,3,9.221269701931952,Clean
ISegmentExtensions,1,9.221269701931952,Clean
ITextAnchor,3,9.221269701931952,Clean
AnchorMovementType,1,9.221269701931952,Clean
ITextSource,6,9.221269701931952,Clean
ITextSourceVersion,3,9.221269701931952,Clean
ReadOnlyDocument,9,9.221269701931952,Clean
ReadOnlyDocumentLine,6,9.221269701931952,Clean
ReadOnlyDocumentTextAnchor,3,9.221269701931952,Clean
StringBuilderDocument,8,9.221269701931952,Clean
InsertionWithMovementBefore,3,9.221269701931952,Clean
SimpleAnchor,8,9.221269701931952,Clean
StringTextSource,9,9.221269701931952,Clean
TextChangeEventArgs,9,9.221269701931952,Clean
TextSourceVersionProvider,3,9.221269701931952,Clean
Version,7,9.221269701931952,Clean
ITextPasteHandler,1,9.221269701931952,Clean
IAnnotatable,4,9.221269701931952,Clean
AbstractAnnotatable,6,9.221269701931952,Clean
AnnotationList,1,9.221269701931952,Clean
Role,6,9.221269701931952,Clean
Role<T>,6,9.221269701931952,Clean
TextLocation,8,9.221269701931952,Clean
TextLocationConverter,3,9.221269701931952,Clean
EmptyList<T>,5,9.221269701931952,Clean
UnicodeNewline,0,9.221269701931952,Clean
NewLine,7,9.221269701931952,Clean
BacktrackingInfo,1,9.221269701931952,Clean
Choice,5,9.221269701931952,Clean
AnyNode,3,9.221269701931952,Clean
Backreference,3,9.221269701931952,Clean
INode,4,9.221269701931952,Clean
PatternExtensions,3,9.221269701931952,Clean
Match,5,9.221269701931952,Clean
NamedNode,5,9.221269701931952,Clean
OptionalNode,5,9.221269701931952,Clean
Repeat,7,9.221269701931952,Clean
Pattern,10,9.221269701931952,Fault_proner
PossibleMatch,2,9.221269701931952,Clean
AnyNodeOrNull,3,9.221269701931952,Clean
AmbiguousTypeResolveResult,1,9.221269701931952,Clean
AmbiguousMemberResolveResult,2,9.221269701931952,Clean
ArrayAccessResolveResult,5,9.221269701931952,Clean
ArrayCreateResolveResult,5,9.221269701931952,Clean
ByReferenceResolveResult,7,9.221269701931952,Clean
ConstantResolveResult,4,9.221269701931952,Clean
ConversionResolveResult,9,9.221269701931952,Clean
SizeOfResolveResult,3,9.221269701931952,Clean
ErrorResolveResult,6,9.221269701931952,Clean
Conversion,10,9.221269701931952,Fault_proner
InvalidConversion,1,9.221269701931952,Clean
NumericOrEnumerationConversion,6,9.221269701931952,Clean
BuiltinConversion,5,9.221269701931952,Clean
UserDefinedConv,7,9.221269701931952,Clean
MethodGroupConv,7,9.221269701931952,Clean
ForEachResolveResult,6,9.221269701931952,Clean
InitializedObjectResolveResult,1,9.221269701931952,Clean
InvocationResolveResult,9,9.221269701931952,Clean
LocalResolveResult,8,9.221269701931952,Clean
MemberResolveResult,10,9.221269701931952,Fault_proner
NamedArgumentResolveResult,9,9.221269701931952,Clean
NamespaceResolveResult,5,9.221269701931952,Clean
OperatorResolveResult,9,9.221269701931952,Clean
ResolveResult,8,9.221269701931952,Clean
ThisResolveResult,2,9.221269701931952,Clean
TypeIsResolveResult,4,9.221269701931952,Clean
TypeOfResolveResult,2,9.221269701931952,Clean
TypeResolveResult,5,9.221269701931952,Clean
UnknownMemberResolveResult,5,9.221269701931952,Clean
UnknownMethodResolveResult,1,9.221269701931952,Clean
UnknownIdentifierResolveResult,5,9.221269701931952,Clean
Accessibility,1,9.221269701931952,Clean
IHasAccessibility,3,9.221269701931952,Clean
AnonymousType,8,9.221269701931952,Clean
AnonymousTypeProperty,4,9.221269701931952,Clean
AnonymousTypeAccessor,5,9.221269701931952,Clean
AnonymousTypeReference,3,9.221269701931952,Clean
ArrayType,9,9.221269701931952,Clean
ArrayTypeReference,8,9.221269701931952,Clean
AssemblyQualifiedTypeName,7,9.221269701931952,Clean
ByReferenceType,8,9.221269701931952,Clean
ByReferenceTypeReference,5,9.221269701931952,Clean
ComHelper,4,9.221269701931952,Clean
DefaultSolutionSnapshot,7,9.221269701931952,Clean
DomRegion,8,9.221269701931952,Clean
EntityType,0,9.221269701931952,Clean
