Component,Threshold,Cutoff,Status
ExpectedExceptionData,4,8.985309242440579,Clean
IParameterDataSource,1,8.985309242440579,Clean
IPropertyBag,7,8.985309242440579,Clean
ITest,5,8.985309242440579,Clean
ITestAssemblyBuilder,1,8.985309242440579,Clean
ITestAssemblyRunner,5,8.985309242440579,Clean
ITestCaseData,3,8.985309242440579,Clean
ITestCaseSource,1,8.985309242440579,Clean
ITestFilter,3,8.985309242440579,Clean
ITestListener,4,8.985309242440579,Clean
ITestResult,5,8.985309242440579,Clean
IXmlNodeBuilder,1,8.985309242440579,Clean
PropertyEntry,4,8.985309242440579,Clean
ResultState,7,8.985309242440579,Clean
RunState,1,8.985309242440579,Clean
TestOutput,5,8.985309242440579,Clean
TestOutputType,0,8.985309242440579,Clean
TestStatus,1,8.985309242440579,Clean
XmlNode,8,8.985309242440579,Clean
NodeFilter,3,8.985309242440579,Clean
NodeList,1,8.985309242440579,Clean
AttributeDictionary,0,8.985309242440579,Clean
TimeoutAttribute,2,8.985309242440579,Clean
Assert,6,8.985309242440579,Clean
AssertionHelper,8,8.985309242440579,Clean
Assume,6,8.985309242440579,Clean
CategoryAttribute,9,8.985309242440579,Fault_proner
CombinatorialAttribute,1,8.985309242440579,Clean
CultureAttribute,8,8.985309242440579,Clean
DataAttribute,2,8.985309242440579,Clean
DatapointAttribute,2,8.985309242440579,Clean
DatapointsAttribute,2,8.985309242440579,Clean
DatapointSourceAttribute,2,8.985309242440579,Clean
DescriptionAttribute,2,8.985309242440579,Clean
ExpectedExceptionAttribute,6,8.985309242440579,Clean
ExpectedExceptionDecorator,4,8.985309242440579,Clean
ExplicitAttribute,6,8.985309242440579,Clean
IgnoreAttribute,6,8.985309242440579,Clean
IncludeExcludeAttribute,6,8.985309242440579,Clean
MaxTimeAttribute,3,8.985309242440579,Clean
NUnitAttribute,1,8.985309242440579,Clean
PairwiseAttribute,1,8.985309242440579,Clean
PlatformAttribute,7,8.985309242440579,Clean
PropertyAttribute,9,8.985309242440579,Fault_proner
RandomAttribute,7,8.985309242440579,Clean
SampleType,0,8.985309242440579,Clean
RangeAttribute,5,8.985309242440579,Clean
SequentialAttribute,1,8.985309242440579,Clean
SetCultureAttribute,2,8.985309242440579,Clean
SetUICultureAttribute,2,8.985309242440579,Clean
SetUpAttribute,1,8.985309242440579,Clean
PreTestAttribute,1,8.985309242440579,Clean
PostTestAttribute,1,8.985309242440579,Clean
TearDownAttribute,1,8.985309242440579,Clean
TestAttribute,6,8.985309242440579,Clean
TestCaseAttribute,8,8.985309242440579,Clean
TestCaseSourceAttribute,8,8.985309242440579,Clean
TestFixtureAttribute,10,8.985309242440579,Fault_proner
TestFixtureSetUpAttribute,1,8.985309242440579,Clean
TestFixtureTearDownAttribute,1,8.985309242440579,Clean
TheoryAttribute,2,8.985309242440579,Clean
ValuesAttribute,8,8.985309242440579,Clean
ValueSourceAttribute,8,8.985309242440579,Clean
Contains,3,8.985309242440579,Clean
AssertionException,3,8.985309242440579,Clean
IgnoreException,2,8.985309242440579,Clean
InconclusiveException,2,8.985309242440579,Clean
SuccessException,2,8.985309242440579,Clean
GlobalSettings,3,8.985309242440579,Clean
Guard,3,8.985309242440579,Clean
Has,7,8.985309242440579,Clean
IExpectException,1,8.985309242440579,Clean
Is,8,8.985309242440579,Clean
Iz,1,8.985309242440579,Clean
ListMapper,3,8.985309242440579,Clean
MessageMatch,1,8.985309242440579,Clean
SpecialValue,0,8.985309242440579,Clean
TestCaseData,8,8.985309242440579,Clean
TestContext,4,8.985309242440579,Clean
TestAdapter,3,8.985309242440579,Clean
ResultAdapter,2,8.985309242440579,Clean
Throws,7,8.985309242440579,Clean
DelayedConstraint,7,8.985309242440579,Clean
FailurePoint,3,8.985309242440579,Clean
FailurePointList,0,8.985309242440579,Clean
AllOperator,2,8.985309242440579,Clean
NoneOperator,2,8.985309242440579,Clean
SomeOperator,2,8.985309242440579,Clean
SubPathConstraint,4,8.985309242440579,Clean
AllItemsConstraint,5,8.985309242440579,Clean
AndConstraint,7,8.985309242440579,Clean
AssignableFromConstraint,4,8.985309242440579,Clean
AssignableToConstraint,4,8.985309242440579,Clean
AttributeConstraint,7,8.985309242440579,Clean
AttributeExistsConstraint,5,8.985309242440579,Clean
BasicConstraint,6,8.985309242440579,Clean
BinaryConstraint,3,8.985309242440579,Clean
BinarySerializableConstraint,6,8.985309242440579,Clean
CollectionConstraint,5,8.985309242440579,Clean
CollectionContainsConstraint,6,8.985309242440579,Clean
CollectionEquivalentConstraint,7,8.985309242440579,Clean
CollectionItemsEqualConstraint,9,8.985309242440579,Fault_proner
CollectionOrderedConstraint,9,8.985309242440579,Fault_proner
