Component,Threshold,Cutoff,Status
IBoundaryNodeRule,2,8.395394775986196,Clean
BoundaryNodeRules,3,8.395394775986196,Clean
Mod2BoundaryNodeRule,1,8.395394775986196,Clean
EndPointBoundaryNodeRule,1,8.395394775986196,Clean
MultiValentEndPointBoundaryNodeRule,1,8.395394775986196,Clean
MonoValentEndPointBoundaryNodeRule,1,8.395394775986196,Clean
CentralEndpointIntersector,4,8.395394775986196,Clean
CentroidArea,6,8.395394775986196,Clean
CentroidLine,3,8.395394775986196,Clean
CentroidPoint,3,8.395394775986196,Clean
CGAlgorithms3D,3,8.395394775986196,Clean
CGAlgorithmsDD,5,8.395394775986196,Clean
CGAlgorithms,8,8.395394775986196,Clean
ConvexHull,7,8.395394775986196,Clean
RadialComparator,1,8.395394775986196,Clean
HCoordinate,7,8.395394775986196,Clean
InteriorPointArea,7,8.395394775986196,Clean
InteriorPointLine,6,8.395394775986196,Clean
InteriorPointPoint,3,8.395394775986196,Clean
IPointInAreaLocator,0,8.395394775986196,Clean
LineIntersector,10,8.395394775986196,Fault_proner
MCPointInRing,6,8.395394775986196,Clean
MCSelecter,3,8.395394775986196,Clean
MinimumBoundingCircle,6,8.395394775986196,Clean
MinimumDiameter,8,8.395394775986196,Clean
NonRobustCGAlgorithms,4,8.395394775986196,Clean
NonRobustLineIntersector,5,8.395394775986196,Clean
NotRepresentableException,0,8.395394775986196,Clean
IPointInRing,1,8.395394775986196,Clean
PointLocator,7,8.395394775986196,Clean
RayCrossingCounter,8,8.395394775986196,Clean
RectangleLineIntersector,4,8.395394775986196,Clean
RobustDeterminant,3,8.395394775986196,Clean
RobustLineIntersector,5,8.395394775986196,Clean
SimplePointInRing,2,8.395394775986196,Clean
SIRtreePointInRing,6,8.395394775986196,Clean
Orientation,0,8.395394775986196,Clean
AngleUtility,7,8.395394775986196,Clean
DistanceToPoint,5,8.395394775986196,Clean
PointPairDistance,6,8.395394775986196,Clean
DiscreteHausdorffDistance,8,8.395394775986196,Clean
MaxPointDistanceFilter,4,8.395394775986196,Clean
MaxDensifiedByFractionDistanceFilter,4,8.395394775986196,Clean
IndexedPointInAreaLocator,4,8.395394775986196,Clean
SegmentVisitor,1,8.395394775986196,Clean
IntervalIndexedGeometry,2,8.395394775986196,Clean
IPointOnGeometryLocator,2,8.395394775986196,Clean
SimplePointInAreaLocator,7,8.395394775986196,Clean
AreaSimilarityMeasure,1,8.395394775986196,Clean
HausdorffSimilarityMeasure,2,8.395394775986196,Clean
ISimilarityMeasure,1,8.395394775986196,Clean
SimilarityMeasureCombiner,0,8.395394775986196,Clean
CRSBase,3,8.395394775986196,Clean
CRSTypes,1,8.395394775986196,Clean
ICRSObject,2,8.395394775986196,Clean
LinkedCRS,1,8.395394775986196,Clean
NamedCRS,1,8.395394775986196,Clean
FeatureCollection,5,8.395394775986196,Clean
AttributesTable,8,8.395394775986196,Clean
Feature,3,8.395394775986196,Clean
IAttributesTable,4,8.395394775986196,Clean
Geometry,11,8.395394775986196,Fault_proner
GeometryChangedFilter,1,8.395394775986196,Clean
GeometryEx,0,8.395394775986196,Clean
GeometryComponentFilter,1,8.395394775986196,Clean
OgcCompliantGeometryFactory,6,8.395394775986196,Clean
CoordinateArrays,6,8.395394775986196,Clean
ForwardComparator,0,8.395394775986196,Clean
BidirectionalComparator,1,8.395394775986196,Clean
CoordinateList,5,8.395394775986196,Clean
CoordinateSequenceComparator,4,8.395394775986196,Clean
CoordinateSequences,6,8.395394775986196,Clean
DefaultCoordinateSequence,7,8.395394775986196,Clean
DefaultCoordinateSequenceFactory,5,8.395394775986196,Clean
GeometryCollection,11,8.395394775986196,Fault_proner
GeometryCollectionEnumerator,6,8.395394775986196,Clean
GeometryFactory,11,8.395394775986196,Fault_proner
LinearRing,8,8.395394775986196,Clean
LineSegment,9,8.395394775986196,Fault_proner
LineString,11,8.395394775986196,Fault_proner
MultiLineString,9,8.395394775986196,Fault_proner
MultiPoint,8,8.395394775986196,Clean
MultiPolygon,8,8.395394775986196,Clean
OctagonalEnvelope,8,8.395394775986196,Clean
BoundingOctagonComponentFilter,2,8.395394775986196,Clean
Point,10,8.395394775986196,Fault_proner
Polygon,10,8.395394775986196,Fault_proner
CoordinateSequenceEx,0,8.395394775986196,Clean
PrecisionModel,10,8.395394775986196,Fault_proner
TopologyException,2,8.395394775986196,Clean
Triangle,8,8.395394775986196,Clean
GeometryMapper,4,8.395394775986196,Clean
IMapOp,0,8.395394775986196,Clean
AffineTransformation,9,8.395394775986196,Fault_proner
AffineTransformationBuilder,6,8.395394775986196,Clean
AffineTransformationFactory,6,8.395394775986196,Clean
ComponentCoordinateExtracter,4,8.395394775986196,Clean
GeometryCollectionMapper,2,8.395394775986196,Clean
GeometryCombiner,8,8.395394775986196,Clean
GeometryEditor,6,8.395394775986196,Clean
IGeometryEditorOperation,1,8.395394775986196,Clean
NoOpGeometryOperation,1,8.395394775986196,Clean
CoordinateOperation,3,8.395394775986196,Clean
CoordinateSequenceOperation,3,8.395394775986196,Clean
GeometryExtracter,0,8.395394775986196,Clean
GeometryExtracter<T>,1,8.395394775986196,Clean
GeometryTransformer,8,8.395394775986196,Clean
LinearComponentExtracter,8,8.395394775986196,Clean
LineStringExtracter,5,8.395394775986196,Clean
Matrix,2,8.395394775986196,Clean
NoninvertibleTransformationException,0,8.395394775986196,Clean
PointExtracter,5,8.395394775986196,Clean
PolygonExtracter,5,8.395394775986196,Clean
ShortCircuitedGeometryVisitor,1,8.395394775986196,Clean
SineStarFactory,6,8.395394775986196,Clean
Interval,8,8.395394775986196,Clean
BinTree,0,8.395394775986196,Clean
Bintree<T>,6,8.395394775986196,Clean
Key,6,8.395394775986196,Clean
Node<T>,7,8.395394775986196,Clean
NodeBase<T>,6,8.395394775986196,Clean
Root<T>,2,8.395394775986196,Clean
BoundablePair<TItem>,7,8.395394775986196,Clean
GeometryItemDistance,1,8.395394775986196,Clean
IItemDistance,2,8.395394775986196,Clean
"AbstractNode<T,TItem>",4,8.395394775986196,Clean
"AbstractSTRtree<T,TItem>",6,8.395394775986196,Clean
IIntersectsOp,2,8.395394775986196,Clean
IBoundable,1,8.395394775986196,Clean
"ItemBoundable<T,TItem>",3,8.395394775986196,Clean
SIRtree<TItem>,6,8.395394775986196,Clean
AnnonymousComparerImpl,0,8.395394775986196,Clean
AnonymousIntersectsOpImpl,1,8.395394775986196,Clean
AnonymousAbstractNodeImpl,4,8.395394775986196,Clean
STRtree<TItem>,8,8.395394775986196,Clean
AnonymousXComparerImpl,0,8.395394775986196,Clean
AnonymousYComparerImpl,0,8.395394775986196,Clean
WKBHexFileReader,6,8.395394775986196,Clean
WKTFileReader,7,8.395394775986196,Clean
BEBinaryReader,4,8.395394775986196,Clean
BEBinaryWriter,4,8.395394775986196,Clean
ParseException,0,8.395394775986196,Clean
WKBReader,10,8.395394775986196,Fault_proner
CoordinateSystem,0,8.395394775986196,Clean
WKBGeometryTypes,2,8.395394775986196,Clean
WKBWriter,10,8.395394775986196,Fault_proner
WKTReader,9,8.395394775986196,Fault_proner
WKTWriter,9,8.395394775986196,Fault_proner
Plane,1,8.395394775986196,Clean
Plane3D,5,8.395394775986196,Clean
Vector3D,7,8.395394775986196,Clean
DD,8,8.395394775986196,Clean
MathUtil,5,8.395394775986196,Clean
Vector2D,7,8.395394775986196,Clean
VectorMath,3,8.395394775986196,Clean
NtsGeometryServices,8,8.395394775986196,Clean
GeometryFactoryKey,2,8.395394775986196,Clean
"SaveDictionary<TKey,TValue>",2,8.395394775986196,Clean
GeometryTransform,6,8.395394775986196,Clean
Densifier,8,8.395394775986196,Clean
DensifyTransformer,4,8.395394775986196,Clean
CoordinateArraySequence,8,8.395394775986196,Clean
CoordinateArraySequenceFactory,6,8.395394775986196,Clean
DotSpatialAffineCoordinateSequence,9,8.395394775986196,Fault_proner
DotSpatialAffineCoordinateSequenceFactory,8,8.395394775986196,Clean
PackedCoordinateSequence,9,8.395394775986196,Fault_proner
PackedDoubleCoordinateSequence,8,8.395394775986196,Clean
PackedFloatCoordinateSequence,7,8.395394775986196,Clean
PackedCoordinateSequenceFactory,9,8.395394775986196,Fault_proner
PackedType,0,8.395394775986196,Clean
AbstractPreparedPolygonContains,7,8.395394775986196,Clean
BasicPreparedGeometry,9,8.395394775986196,Fault_proner
PreparedGeometryFactory,2,8.395394775986196,Clean
PreparedLineString,5,8.395394775986196,Clean
PreparedLineStringIntersects,5,8.395394775986196,Clean
PreparedPoint,1,8.395394775986196,Clean
PreparedPolygon,9,8.395394775986196,Fault_proner
PreparedPolygonContains,3,8.395394775986196,Clean
PreparedPolygonContainsProperly,4,8.395394775986196,Clean
PreparedPolygonCovers,3,8.395394775986196,Clean
PreparedPolygonIntersects,4,8.395394775986196,Clean
PreparedPolygonPredicate,6,8.395394775986196,Clean
Depth,7,8.395394775986196,Clean
DirectedEdge,10,8.395394775986196,Fault_proner
DirectedEdgeStar,7,8.395394775986196,Clean
