Component,Threshold,Cutoff,Status
AlgorithmManager,9,9.170222441329718,Clean
LeanEngineAlgorithmHandlers,8,9.170222441329718,Clean
LeanEngineSystemHandlers,7,9.170222441329718,Clean
StateCheck,0,9.170222441329718,Clean
Ping,5,9.170222441329718,Clean
Engine,7,9.170222441329718,Clean
ApiDataProvider,4,9.170222441329718,Clean
SingleEntryDataCacheProvider,7,9.170222441329718,Clean
DefaultDataProvider,2,9.170222441329718,Clean
ISubscriptionDataSourceReader,2,9.170222441329718,Clean
ITimeProvider,2,9.170222441329718,Clean
CollectionSubscriptionDataSourceReader,6,9.170222441329718,Clean
ManualTimeProvider,6,9.170222441329718,Clean
RealTimeProvider,2,9.170222441329718,Clean
DataFeedPacket,5,9.170222441329718,Clean
SubscriptionCollection,6,9.170222441329718,Clean
TextSubscriptionDataSourceReader,7,9.170222441329718,Clean
CreateStreamReaderErrorEventArgs,1,9.170222441329718,Clean
BaseDataExchange,8,9.170222441329718,Clean
DataHandler,2,9.170222441329718,Clean
EnumeratorHandler,8,9.170222441329718,Clean
LiveTradingDataFeed,9,9.170222441329718,Clean
SubscriptionLimiter,6,9.170222441329718,Clean
SubscriptionSynchronizer,3,9.170222441329718,Clean
Subscription,9,9.170222441329718,Clean
InvalidSourceEventArgs,1,9.170222441329718,Clean
SubscriptionDataSourceReader,2,9.170222441329718,Clean
ReaderErrorEventArgs,1,9.170222441329718,Clean
SubscriptionDataReader,7,9.170222441329718,Clean
TimeSlice,6,9.170222441329718,Clean
UniverseSelection,6,9.170222441329718,Clean
UpdateData<T>,2,9.170222441329718,Clean
ZipDataCacheProvider,7,9.170222441329718,Clean
CachedZipFile,4,9.170222441329718,Clean
ZipEntryNameSubscriptionDataSourceReader,6,9.170222441329718,Clean
FileSystemDataFeed,8,9.170222441329718,Clean
IDataFeed,6,9.170222441329718,Clean
BaseDataCollectionAggregatorEnumerator<T>,7,9.170222441329718,Clean
BaseDataCollectionAggregatorEnumerator,2,9.170222441329718,Clean
EnqueueableEnumerator<T>,6,9.170222441329718,Clean
DataQueueFuturesChainUniverseDataCollectionEnumerator,5,9.170222441329718,Clean
