Component,Threshold,Cutoff,Status
IAlarmProvider,3,6.475157319058379,Clean
IAPMCheckOutRecordProvider,2,6.475157319058379,Clean
IAPMProvider,2,6.475157319058379,Clean
IAPMRefundRecordProvider,3,6.475157319058379,Clean
ICardDeleteRecordProvider,2,6.475157319058379,Clean
ICardPaymentRecordProvider,3,6.475157319058379,Clean
ICardChargeRecordProvider,3,6.475157319058379,Clean
ICardDeferRecordProvider,3,6.475157319058379,Clean
ICardDisableEnableRecordProvider,3,6.475157319058379,Clean
ICardEventProvider,3,6.475157319058379,Clean
ICardLostRestoreRecordProvider,3,6.475157319058379,Clean
ICardProvider,3,6.475157319058379,Clean
ICardRecycleRecordProvider,3,6.475157319058379,Clean
ICardReleaseRecordProvider,3,6.475157319058379,Clean
IDeptProvider,2,6.475157319058379,Clean
IEntranceProvider,4,6.475157319058379,Clean
IETCPaymentRecordProvider,2,6.475157319058379,Clean
IFreeAuthorizationLogProvider,2,6.475157319058379,Clean
IOperatorLogProvider,3,6.475157319058379,Clean
IOperatorProvider,3,6.475157319058379,Clean
IParkCarPortProvider,2,6.475157319058379,Clean
IParkProvider,4,6.475157319058379,Clean
IAPMLogProvider,2,6.475157319058379,Clean
IPREBusinessesProvider,2,6.475157319058379,Clean
IPREOperatorProvider,2,6.475157319058379,Clean
IPREPreferentialLogProvider,3,6.475157319058379,Clean
IPREPreferentialProvider,3,6.475157319058379,Clean
IPRERoleProvider,2,6.475157319058379,Clean
IRoadWayProvider,2,6.475157319058379,Clean
IRoleProvider,3,6.475157319058379,Clean
IServerDatetimeProvider,1,6.475157319058379,Clean
IServerSwitchRecordProvider,2,6.475157319058379,Clean
ISnapShotProvider,3,6.475157319058379,Clean
ISpeedingLogProvider,3,6.475157319058379,Clean
ISpeedingRecordProvider,2,6.475157319058379,Clean
ISysParameterProvider,3,6.475157319058379,Clean
ITransactionsWork,1,6.475157319058379,Clean
IUnitWork,2,6.475157319058379,Clean
IVideoSourceProvider,4,6.475157319058379,Clean
IWaitingCommandProvider,3,6.475157319058379,Clean
IWorkstationProvider,3,6.475157319058379,Clean
IProvider,4,6.475157319058379,Clean
IYangChenTongLogProvider,2,6.475157319058379,Clean
IYCTBlacklistProvider,2,6.475157319058379,Clean
IYCTPaymentRecordProvider,2,6.475157319058379,Clean
ProviderFactory,3,6.475157319058379,Clean
APMCheckOutRecordProvider,5,6.475157319058379,Clean
APMProvider,5,6.475157319058379,Clean
APMRefundRecordProvider,5,6.475157319058379,Clean
CardDeleteRecordProvider,5,6.475157319058379,Clean
DeptProvider,5,6.475157319058379,Clean
ETCPaymentRecordProvider,5,6.475157319058379,Clean
FreeAuthorizationLogProvider,5,6.475157319058379,Clean
ParkCarPortProvider,5,6.475157319058379,Clean
ParkDataContextFactory,2,6.475157319058379,Clean
ParkDataContext,5,6.475157319058379,Clean
AlarmProvider,5,6.475157319058379,Clean
CardChargeRecordProvider,5,6.475157319058379,Clean
CardDeferRecordProvider,5,6.475157319058379,Clean
CardDisableEnableRecordProvider,5,6.475157319058379,Clean
CardEventProvider,6,6.475157319058379,Clean
CardLostRestoreRecordProvider,6,6.475157319058379,Clean
CardPaymentRecordProvider,6,6.475157319058379,Clean
CardProvider,6,6.475157319058379,Clean
CardRecycleRecordProvider,5,6.475157319058379,Clean
CardReleaseRecordProvider,5,6.475157319058379,Clean
EntranceProvider,6,6.475157319058379,Clean
OperatorLogProvider,6,6.475157319058379,Clean
OperatorProvider,6,6.475157319058379,Clean
ParkProvider,6,6.475157319058379,Clean
APMLogProvider,5,6.475157319058379,Clean
PREBusinessesProvider,6,6.475157319058379,Clean
PREOperatorProvider,6,6.475157319058379,Clean
PREPreferentialLogProvider,6,6.475157319058379,Clean
PREPreferentialProvider,6,6.475157319058379,Clean
PRERoleProvider,5,6.475157319058379,Clean
"ProviderBase<TInfo,TID>",7,6.475157319058379,Fault_proner
ResultCodeResolver,2,6.475157319058379,Clean
RoadWayProvider,4,6.475157319058379,Clean
RoleProvider,5,6.475157319058379,Clean
ServerDateTimeProvider,4,6.475157319058379,Clean
ServerSwitchRecordProvider,5,6.475157319058379,Clean
SnapShotProvider,5,6.475157319058379,Clean
SpeedingLogProvider,5,6.475157319058379,Clean
SpeedingRecordProvider,5,6.475157319058379,Clean
SysparameterProvider,5,6.475157319058379,Clean
TransactionsWork,6,6.475157319058379,Clean
VideoSourceProvider,6,6.475157319058379,Clean
WaitingCommandProvider,5,6.475157319058379,Clean
WorkstationProvider,6,6.475157319058379,Clean
UnitWork,6,6.475157319058379,Clean
YangChenTongLogProvider,5,6.475157319058379,Clean
YCTBlacklistProvider,5,6.475157319058379,Clean
YCTPaymentRecordProvider,5,6.475157319058379,Clean
AlarmBll,4,6.475157319058379,Clean
APMBll,6,6.475157319058379,Clean
APMChectOutRecordBll,4,6.475157319058379,Clean
APMRefundRecordBll,5,6.475157319058379,Clean
CardBll,6,6.475157319058379,Clean
CardChargeRecordBll,3,6.475157319058379,Clean
CardPaymentRecordBll,6,6.475157319058379,Clean
CardEventBll,6,6.475157319058379,Clean
DataBaseConnectionChecker,7,6.475157319058379,Fault_proner
DatabaseUpgrader,2,6.475157319058379,Clean
DatetimeSyncService,7,6.475157319058379,Fault_proner
SystemTime,2,6.475157319058379,Clean
DeptBll,5,6.475157319058379,Clean
EntranceBll,6,6.475157319058379,Clean
ETCPaymentRecordBll,5,6.475157319058379,Clean
FreeAuthorizationLogBll,5,6.475157319058379,Clean
HostStandbySettingBll,4,6.475157319058379,Clean
OperatorBll,6,6.475157319058379,Clean
OperatorSettleBLL,6,6.475157319058379,Clean
ParkBll,6,6.475157319058379,Clean
ParkBuffer,7,6.475157319058379,Fault_proner
APMLogBll,4,6.475157319058379,Clean
ParkingParameterDataBufferBll,5,6.475157319058379,Clean
PREBusinessesBll,6,6.475157319058379,Clean
PREOperatorBll,6,6.475157319058379,Clean
PREPreferentialBll,5,6.475157319058379,Clean
PREPreferentialLogBll,5,6.475157319058379,Clean
PRERoleBll,6,6.475157319058379,Clean
Resource1,2,6.475157319058379,Clean
RoadWayBll,5,6.475157319058379,Clean
RoleBll,6,6.475157319058379,Clean
ServerSwitchRecordBll,4,6.475157319058379,Clean
SnapShotBll,6,6.475157319058379,Clean
SpeedingLogBll,5,6.475157319058379,Clean
SpeedingRecordBll,6,6.475157319058379,Clean
StandbyToMasterSyncService,7,6.475157319058379,Fault_proner
SysParaSettingsBll,6,6.475157319058379,Clean
SystemParameterBll,4,6.475157319058379,Clean
VideoSourceBll,6,6.475157319058379,Clean
WaitingCommandBLL,6,6.475157319058379,Clean
WorkstationBll,6,6.475157319058379,Clean
YangChenTongLogBll,5,6.475157319058379,Clean
YCTBlacklistBll,5,6.475157319058379,Clean
YCTPaymentRecordBll,6,6.475157319058379,Clean
AccessComboBox,7,6.475157319058379,Fault_proner
BlackListLogTypeComboBox,5,6.475157319058379,Clean
CardEventTypeComboBoxEx,6,6.475157319058379,Clean
CardTypeComboBoxEx,8,6.475157319058379,Fault_proner
CarTypeComboBoxEx,8,6.475157319058379,Fault_proner
DeptTree,6,6.475157319058379,Clean
FreeAuthCalculateTypeComboBox,5,6.475157319058379,Clean
FreeAuthUnitComboBox,5,6.475157319058379,Clean
FrmSelectWorkstations,7,6.475157319058379,Fault_proner
FuzzyQueryCombobox,6,6.475157319058379,Clean
CardGridView,9,6.475157319058379,Fault_proner
CardListTypeComboBox,6,6.475157319058379,Clean
CardTypeComboBox,8,6.475157319058379,Fault_proner
CarTypePanel,7,6.475157319058379,Fault_proner
CarTypeSelectEventArgs,3,6.475157319058379,Clean
ComboBoxEx,9,6.475157319058379,Fault_proner
ObjectUtil,4,6.475157319058379,Clean
CommandTypeComboBox,6,6.475157319058379,Clean
DeptComboBox,7,6.475157319058379,Fault_proner
EntrancePanel,7,6.475157319058379,Fault_proner
