Component,Threshold,Cutoff,Status
AgentCore,8,8.306249999999999,Clean
AutoRelease,7,8.306249999999999,Clean
IConnect,1,8.306249999999999,Clean
Connect,6,8.306249999999999,Clean
ICore,6,8.306249999999999,Clean
IBinderProvider,2,8.306249999999999,Clean
CoreThreadRequestHandler,7,8.306249999999999,Clean
EventProvider,5,8.306249999999999,Clean
Loader,2,8.306249999999999,Clean
GhostMethodHandler,6,8.306249999999999,Clean
InterfaceProvider,3,8.306249999999999,Clean
IAgent,7,8.306249999999999,Clean
IEventProxyCreator,3,8.306249999999999,Clean
IProtocol,4,8.306249999999999,Clean
MemberMap,7,8.306249999999999,Clean
PackageRecorder,10,8.306249999999999,Fault_proner
NetworkMonitor,8,8.306249999999999,Clean
PackageReader<TPackage>,6,8.306249999999999,Clean
PackageWriter<TPackage>,6,8.306249999999999,Clean
ISocketReader,1,8.306249999999999,Clean
SocketBodyReader,7,8.306249999999999,Clean
SocketHeadReader,7,8.306249999999999,Clean
User,8,8.306249999999999,Clean
OfflineStage,7,8.306249999999999,Clean
OnlineStage,7,8.306249999999999,Clean
GenericEventClosure,5,8.306249999999999,Clean
GenericEventClosure<T1>,5,8.306249999999999,Clean
"GenericEventClosure<T1,T2>",5,8.306249999999999,Clean
"GenericEventClosure<T1,T2,T3>",5,8.306249999999999,Clean
"GenericEventClosure<T1,T2,T3,T4>",5,8.306249999999999,Clean
"GenericEventClosure<T1,T2,T3,T4,T5>",5,8.306249999999999,Clean
IGhostRequest,3,8.306249999999999,Clean
IOnline,2,8.306249999999999,Clean
Online,7,8.306249999999999,Clean
RequestPackage,4,8.306249999999999,Clean
ResponsePackage,4,8.306249999999999,Clean
TPackageData<TData>,2,8.306249999999999,Clean
PackageHelper,2,8.306249999999999,Clean
PackageUpdateProperty,4,8.306249999999999,Clean
PackageInvokeEvent,4,8.306249999999999,Clean
PackageErrorMethod,4,8.306249999999999,Clean
PackageReturnValue,4,8.306249999999999,Clean
PackageLoadSoulCompile,4,8.306249999999999,Clean
PackageLoadSoul,4,8.306249999999999,Clean
PackageUnloadSoul,4,8.306249999999999,Clean
PackageCallMethod,4,8.306249999999999,Clean
PackageRelease,2,8.306249999999999,Clean
PackageProtocolSubmit,2,8.306249999999999,Clean
IResponseQueue,2,8.306249999999999,Clean
IRequestQueue,2,8.306249999999999,Clean
ClientToServerOpCode,1,8.306249999999999,Clean
ServerToClientOpCode,1,8.306249999999999,Clean
ReturnValueQueue,6,8.306249999999999,Clean
ISoulBinder,5,8.306249999999999,Clean
SoulProvider,8,8.306249999999999,Clean
Soul,4,8.306249999999999,Clean
EventHandler,2,8.306249999999999,Clean
PropertyHandler,7,8.306249999999999,Clean
ITime,3,8.306249999999999,Clean
Time,6,8.306249999999999,Clean
IUserCommand,1,8.306249999999999,Clean
UserController<TUser>,8,8.306249999999999,Clean
TypeMethodCatcher,3,8.306249999999999,Clean
Config,4,8.306249999999999,Clean
EmptyArray<T>,0,8.306249999999999,Clean
IObjectPool,2,8.306249999999999,Clean
IObjectProvider,2,8.306249999999999,Clean
IRecycleable,1,8.306249999999999,Clean
ISocket,4,8.306249999999999,Clean
ISocketRecevieable,2,8.306249999999999,Clean
IPeer,5,8.306249999999999,Clean
IClient,2,8.306249999999999,Clean
IConnectable,3,8.306249999999999,Clean
IServer,3,8.306249999999999,Clean
Line,9,8.306249999999999,Fault_proner
"ObjectFactory<TObject,TShell>",6,8.306249999999999,Clean
Resource,3,8.306249999999999,Clean
PeerTransmission,7,8.306249999999999,Clean
"ObjectPool<TShell,TObject>",6,8.306249999999999,Clean
CongestionRecorder,8,8.306249999999999,Clean
Item,8,8.306249999999999,Clean
Agent,8,8.306249999999999,Clean
ArrayCache<T>,5,8.306249999999999,Clean
BufferDispenser,8,8.306249999999999,Clean
PeerStatus,1,8.306249999999999,Clean
ISocketSendable,3,8.306249999999999,Clean
ISerialProvider,1,8.306249999999999,Clean
PackageRectifier,8,8.306249999999999,Clean
Socket,10,8.306249999999999,Fault_proner
PeerConnecter,8,8.306249999999999,Clean
PeerDisconnecter,6,8.306249999999999,Clean
PeerListener,8,8.306249999999999,Clean
RetransmissionTimeOut,7,8.306249999999999,Clean
SegmentStream,8,8.306249999999999,Clean
SocketMessageFactory,5,8.306249999999999,Clean
SocketMessageProvider,4,8.306249999999999,Clean
Task,6,8.306249999999999,Clean
WiringOperator,8,8.306249999999999,Clean
SocketRecevier,6,8.306249999999999,Clean
SocketSender,6,8.306249999999999,Clean
Timestamp,4,8.306249999999999,Clean
Host,9,8.306249999999999,Fault_proner
Logger,8,8.306249999999999,Clean
Command,3,8.306249999999999,Clean
PeerOperation,1,8.306249999999999,Clean
SocketMessageInternal,4,8.306249999999999,Clean
SocketMessage,10,8.306249999999999,Fault_proner
Peer,9,8.306249999999999,Fault_proner
Client,2,8.306249999999999,Clean
Connecter,6,8.306249999999999,Clean
Server,6,8.306249999999999,Clean
UdpSocket,7,8.306249999999999,Clean
Driver<TCommand>,6,8.306249999999999,Clean
Record,2,8.306249999999999,Clean
History<TRecord>,4,8.306249999999999,Clean
ICommandProvidable,2,8.306249999999999,Clean
IPlayer,3,8.306249999999999,Clean
Player<T>,9,8.306249999999999,Fault_proner
Propeller<TStep>,5,8.306249999999999,Clean
Step<TRecord>,1,8.306249999999999,Clean
