Component,Threshold,Cutoff,Status
JSConstructor,0,7.1926972094814605,Clean
JSFunction,1,7.1926972094814605,Clean
JSGetter,1,7.1926972094814605,Clean
JSSetter,1,7.1926972094814605,Clean
JSStaticFunction,1,7.1926972094814605,Clean
CanBeNullAttribute,0,7.1926972094814605,Clean
NotNullAttribute,1,7.1926972094814605,Clean
StringFormatMethodAttribute,1,7.1926972094814605,Clean
InvokerParameterNameAttribute,0,7.1926972094814605,Clean
NotifyPropertyChangedInvocatorAttribute,1,7.1926972094814605,Clean
ContractAnnotationAttribute,1,7.1926972094814605,Clean
LocalizationRequiredAttribute,1,7.1926972094814605,Clean
CannotApplyEqualityOperatorAttribute,0,7.1926972094814605,Clean
BaseTypeRequiredAttribute,1,7.1926972094814605,Clean
UsedImplicitlyAttribute,2,7.1926972094814605,Clean
MeansImplicitUseAttribute,2,7.1926972094814605,Clean
ImplicitUseKindFlags,0,7.1926972094814605,Clean
ImplicitUseTargetFlags,0,7.1926972094814605,Clean
PublicAPIAttribute,1,7.1926972094814605,Clean
InstantHandleAttribute,0,7.1926972094814605,Clean
PureAttribute,0,7.1926972094814605,Clean
PathReferenceAttribute,2,7.1926972094814605,Clean
AspMvcAreaMasterLocationFormatAttribute,0,7.1926972094814605,Clean
AspMvcAreaPartialViewLocationFormatAttribute,0,7.1926972094814605,Clean
AspMvcAreaViewLocationFormatAttribute,0,7.1926972094814605,Clean
AspMvcMasterLocationFormatAttribute,0,7.1926972094814605,Clean
AspMvcPartialViewLocationFormatAttribute,0,7.1926972094814605,Clean
AspMvcViewLocationFormatAttribute,0,7.1926972094814605,Clean
AspMvcActionAttribute,1,7.1926972094814605,Clean
AspMvcAreaAttribute,2,7.1926972094814605,Clean
AspMvcControllerAttribute,1,7.1926972094814605,Clean
AspMvcMasterAttribute,0,7.1926972094814605,Clean
AspMvcModelTypeAttribute,0,7.1926972094814605,Clean
AspMvcPartialViewAttribute,1,7.1926972094814605,Clean
AspMvcSupressViewErrorAttribute,0,7.1926972094814605,Clean
AspMvcDisplayTemplateAttribute,0,7.1926972094814605,Clean
AspMvcEditorTemplateAttribute,0,7.1926972094814605,Clean
AspMvcTemplateAttribute,0,7.1926972094814605,Clean
AspMvcViewAttribute,1,7.1926972094814605,Clean
AspMvcActionSelectorAttribute,0,7.1926972094814605,Clean
HtmlElementAttributesAttribute,1,7.1926972094814605,Clean
HtmlAttributeValueAttribute,1,7.1926972094814605,Clean
RazorSectionAttribute,0,7.1926972094814605,Clean
Arguments,7,7.1926972094814605,Clean
BaseFunction,10,7.1926972094814605,Fault_proner
BoundFunction,6,7.1926972094814605,Clean
Callable,2,7.1926972094814605,Clean
ClassCache,6,7.1926972094814605,Clean
ClassShutter,2,7.1926972094814605,Clean
CodeGenerator,6,7.1926972094814605,Clean
BigIntegerEx,1,7.1926972094814605,Clean
TransformerException,0,7.1926972094814605,Clean
OutputKeys,0,7.1926972094814605,Clean
StreamResult,0,7.1926972094814605,Clean
DOMSource,0,7.1926972094814605,Clean
BitArrayEx,0,7.1926972094814605,Clean
CharEx,1,7.1926972094814605,Clean
MethodBaseEx,1,7.1926972094814605,Clean
InstanceIdInfo,2,7.1926972094814605,Clean
LanguageFeatures,2,7.1926972094814605,Clean
LanguageVersion,1,7.1926972094814605,Clean
PropertyAttributes,1,7.1926972094814605,Clean
TypeEx,1,7.1926972094814605,Clean
ClassLoader,1,7.1926972094814605,Clean
CompilerEnvirons,6,7.1926972094814605,Clean
ConstProperties,1,7.1926972094814605,Clean
Context,9,7.1926972094814605,Fault_proner
ClassShutterSetter,1,7.1926972094814605,Clean
_ClassShutterSetter_1970,2,7.1926972094814605,Clean
ContextFactory,8,7.1926972094814605,Fault_proner
Listener,1,7.1926972094814605,Clean
GlobalSetter,1,7.1926972094814605,Clean
GlobalSetterImpl,1,7.1926972094814605,Clean
ContinuationPending,3,7.1926972094814605,Clean
Decompiler,7,7.1926972094814605,Clean
DefaultErrorReporter,6,7.1926972094814605,Clean
Delegator,8,7.1926972094814605,Fault_proner
DToA,4,7.1926972094814605,Clean
EcmaError,3,7.1926972094814605,Clean
ErrorReporter,2,7.1926972094814605,Clean
Evaluator,4,7.1926972094814605,Clean
EvaluatorException,5,7.1926972094814605,Clean
Function,3,7.1926972094814605,Clean
FunctionObject,9,7.1926972094814605,Fault_proner
GeneratedClassLoader,0,7.1926972094814605,Clean
Icode,3,7.1926972094814605,Clean
IdFunctionCall,2,7.1926972094814605,Clean
IdFunctionObject,9,7.1926972094814605,Fault_proner
IdScriptableObject,8,7.1926972094814605,Fault_proner
PrototypeValues,5,7.1926972094814605,Clean
ILGeneratorEx,4,7.1926972094814605,Clean
ImporterTopLevel,8,7.1926972094814605,Fault_proner
InterpretedFunction,8,7.1926972094814605,Fault_proner
Interpreter,8,7.1926972094814605,Fault_proner
CallFrame,2,7.1926972094814605,Clean
ContinuationJump,2,7.1926972094814605,Clean
GeneratorState,2,7.1926972094814605,Clean
InterpreterData,7,7.1926972094814605,Clean
IRFactory,9,7.1926972094814605,Fault_proner
IRFactoryNet,5,7.1926972094814605,Clean
JavaAdapter,6,7.1926972094814605,Clean
JavaAdapterSignature,2,7.1926972094814605,Clean
JavaMembers,6,7.1926972094814605,Clean
MethodSignature,0,7.1926972094814605,Clean
BeanProperty,1,7.1926972094814605,Clean
FieldAndMethods,2,7.1926972094814605,Clean
JavaScriptException,4,7.1926972094814605,Clean
Kit,6,7.1926972094814605,Clean
ComplexKey,1,7.1926972094814605,Clean
LazilyLoadedCtor,6,7.1926972094814605,Clean
_PrivilegedAction_87,0,7.1926972094814605,Clean
MemberBox,6,7.1926972094814605,Clean
NativeArray,9,7.1926972094814605,Fault_proner
_IComparer_969,2,7.1926972094814605,Clean
_IComparer_996,1,7.1926972094814605,Clean
NativeBoolean,7,7.1926972094814605,Clean
NativeCall,6,7.1926972094814605,Clean
NativeContinuation,7,7.1926972094814605,Clean
NativeDate,7,7.1926972094814605,Clean
NativeError,8,7.1926972094814605,Fault_proner
NativeFunction,8,7.1926972094814605,Fault_proner
NativeGenerator,9,7.1926972094814605,Fault_proner
CloseGeneratorAction,1,7.1926972094814605,Clean
_Callable_84,2,7.1926972094814605,Clean
GeneratorClosedException,0,7.1926972094814605,Clean
NativeGlobal,6,7.1926972094814605,Clean
NativeIterator,9,7.1926972094814605,Fault_proner
StopIteration,1,7.1926972094814605,Clean
WrappedJavaIterator,0,7.1926972094814605,Clean
NativeJavaArray,9,7.1926972094814605,Fault_proner
NativeJavaClass,7,7.1926972094814605,Clean
NativeJavaConstructor,4,7.1926972094814605,Clean
NativeJavaMethod,10,7.1926972094814605,Fault_proner
ResolvedOverload,1,7.1926972094814605,Clean
NativeJavaObject,10,7.1926972094814605,Fault_proner
NativeJavaPackage,8,7.1926972094814605,Fault_proner
NativeJavaTopPackage,6,7.1926972094814605,Clean
NativeJSON,7,7.1926972094814605,Clean
StringifyState,2,7.1926972094814605,Clean
NativeMath,6,7.1926972094814605,Clean
NativeNumber,7,7.1926972094814605,Clean
NativeObject,10,7.1926972094814605,Fault_proner
KeyCollection,2,7.1926972094814605,Clean
ValueCollection,2,7.1926972094814605,Clean
NativeScript,8,7.1926972094814605,Fault_proner
NativeString,9,7.1926972094814605,Fault_proner
NativeWith,8,7.1926972094814605,Fault_proner
Node,9,7.1926972094814605,Fault_proner
PropListItem,1,7.1926972094814605,Clean
NodeTransformer,6,7.1926972094814605,Clean
Parser,9,7.1926972094814605,Fault_proner
ParserException,0,7.1926972094814605,Clean
ConditionData,1,7.1926972094814605,Clean
PerFunctionVariables,2,7.1926972094814605,Clean
Ref,3,7.1926972094814605,Clean
RefCallable,1,7.1926972094814605,Clean
RegExpProxy,3,7.1926972094814605,Clean
RegExpProxyConstants,2,7.1926972094814605,Clean
RhinoException,9,7.1926972094814605,Fault_proner
Script,2,7.1926972094814605,Clean
Scriptable,6,7.1926972094814605,Clean
ScriptableConstants,2,7.1926972094814605,Clean
ScriptableObject,10,7.1926972094814605,Fault_proner
Slot,6,7.1926972094814605,Clean
GetterSlot,5,7.1926972094814605,Clean
RelinkedSlot,3,7.1926972094814605,Clean
ScriptRuntime,9,7.1926972094814605,Fault_proner
_BaseFunction_41,3,7.1926972094814605,Clean
NoSuchMethodShim,2,7.1926972094814605,Clean
IdEnumeration,1,7.1926972094814605,Clean
MessageProvider,1,7.1926972094814605,Clean
DefaultMessageProvider,1,7.1926972094814605,Clean
ScriptStackElement,3,7.1926972094814605,Clean
SpecialRef,7,7.1926972094814605,Clean
Synchronizer,3,7.1926972094814605,Clean
Token,5,7.1926972094814605,Clean
CommentType,1,7.1926972094814605,Clean
TokenStream,6,7.1926972094814605,Clean
TopLevel,8,7.1926972094814605,Fault_proner
Builtins,1,7.1926972094814605,Clean
UintMap,6,7.1926972094814605,Clean
Undefined,2,7.1926972094814605,Clean
UniqueTag,3,7.1926972094814605,Clean
VMBridge,1,7.1926972094814605,Clean
WrapFactory,6,7.1926972094814605,Clean
WrappedException,2,7.1926972094814605,Clean
Wrapper,2,7.1926972094814605,Clean
ArrayComprehension,7,7.1926972094814605,Clean
ArrayComprehensionLoop,4,7.1926972094814605,Clean
ArrayLiteral,7,7.1926972094814605,Clean
Assignment,4,7.1926972094814605,Clean
AstNode,10,7.1926972094814605,Fault_proner
PositionComparator,0,7.1926972094814605,Clean
DebugPrintVisitor,3,7.1926972094814605,Clean
AstRoot,7,7.1926972094814605,Clean
_NodeVisitor_139,1,7.1926972094814605,Clean
Block,5,7.1926972094814605,Clean
BreakStatement,5,7.1926972094814605,Clean
CatchClause,8,7.1926972094814605,Fault_proner
Comment,5,7.1926972094814605,Clean
ConditionalExpression,8,7.1926972094814605,Fault_proner
ContinueStatement,5,7.1926972094814605,Clean
DestructuringForm,1,7.1926972094814605,Clean
DoLoop,4,7.1926972094814605,Clean
ElementGet,7,7.1926972094814605,Clean
EmptyExpression,3,7.1926972094814605,Clean
EmptyStatement,3,7.1926972094814605,Clean
ErrorCollector,3,7.1926972094814605,Clean
ErrorNode,3,7.1926972094814605,Clean
ExpressionStatement,7,7.1926972094814605,Clean
ForInLoop,8,7.1926972094814605,Fault_proner
ForLoop,8,7.1926972094814605,Fault_proner
FunctionCall,9,7.1926972094814605,Fault_proner
FunctionNode,9,7.1926972094814605,Fault_proner
Form,0,7.1926972094814605,Clean
GeneratorExpression,7,7.1926972094814605,Clean
GeneratorExpressionLoop,4,7.1926972094814605,Clean
IdeErrorReporter,2,7.1926972094814605,Clean
IfStatement,8,7.1926972094814605,Fault_proner
InfixExpression,9,7.1926972094814605,Fault_proner
Jump,10,7.1926972094814605,Fault_proner
