Component,Threshold,Cutoff,Status
CustomExceptionHandler,5,5.472628940772985,Clean
FilterConfig,3,5.472628940772985,Clean
RequestContext,4,5.472628940772985,Clean
Startup,4,5.472628940772985,Clean
ValidationErrorResult,5,5.472628940772985,Clean
WebApiConfig,3,5.472628940772985,Clean
WebApiApplication,2,5.472628940772985,Clean
StructuremapMvc,7,5.472628940772985,Fault_proner
StructuremapWebApi,3,5.472628940772985,Clean
ApiAuthorizeAttribute,1,5.472628940772985,Clean
TaskController,6,5.472628940772985,Fault_proner
DefaultRegistry,4,5.472628940772985,Clean
IoC,3,5.472628940772985,Clean
StructureMapDependencyScope,8,5.472628940772985,Fault_proner
StructureMapScopeModule,6,5.472628940772985,Fault_proner
StructureMapWebApiDependencyResolver,5,5.472628940772985,Clean
StructureMapWebApiDependencyScope,4,5.472628940772985,Clean
ApprenticeshipUpdateAcceptedMessageProcessor,7,5.472628940772985,Fault_proner
ApprenticeshipUpdateCancelledMessageProcessor,7,5.472628940772985,Fault_proner
ApprenticeshipUpdateRejectedMessageProcessor,7,5.472628940772985,Fault_proner
ApprenticeshipUpdateCreatedMessageProcessor,7,5.472628940772985,Fault_proner
ApprovedCohortReturnedToProviderMessageProcessor,7,5.472628940772985,Fault_proner
CohortApprovedBySenderMessageProcessor,6,5.472628940772985,Fault_proner
CohortRejectedBySenderMessageProcessor,6,5.472628940772985,Fault_proner
CohortApprovalRequestedBySenderMessageProcessor,6,5.472628940772985,Fault_proner
RejectedTransferConnectionInvitationMessageProcessor,7,5.472628940772985,Fault_proner
ApprovedTransferConnectionInvitationMessageProcessor,7,5.472628940772985,Fault_proner
CohortApprovalRequestedMessageProcessor,7,5.472628940772985,Fault_proner
CohortApprovedMessageProcessor,7,5.472628940772985,Fault_proner
SentTransferConnectionInvitationEventMessageProcessor,7,5.472628940772985,Fault_proner
CohortCreatedMessageProcessor,7,5.472628940772985,Fault_proner
LegalEntityRemovedMessageProcessor,7,5.472628940772985,Fault_proner
ProviderCohortApprovalUndoneByEmployerUpdateMessageProcessor,7,5.472628940772985,Fault_proner
SignedEmployerAgreementMessageProcessor,7,5.472628940772985,Fault_proner
CreatedEmployerAgreementMessageProcessor,7,5.472628940772985,Fault_proner
WorkerRole,5,5.472628940772985,Clean
SaveUserReminderSuppressionFlagCommand,2,5.472628940772985,Clean
SaveUserReminderSuppressionFlagCommandHandler,7,5.472628940772985,Fault_proner
SaveUserReminderSuppressionFlagCommandValidator,7,5.472628940772985,Fault_proner
SaveUserReminderSuppressionFlagCommandResponse,1,5.472628940772985,Clean
SaveTaskCommand,2,5.472628940772985,Clean
SaveTaskCommandHandler,7,5.472628940772985,Fault_proner
SaveTaskCommandResponse,1,5.472628940772985,Clean
SaveTaskCommandValidator,7,5.472628940772985,Fault_proner
INoRegistration,1,5.472628940772985,Clean
InvalidRequestException,6,5.472628940772985,Fault_proner
NotFoundException,3,5.472628940772985,Clean
GetTasksByEmployerAccountIdRequest,2,5.472628940772985,Clean
GetTasksByEmployerAccountIdHandler,7,5.472628940772985,Fault_proner
GetTasksByEmployerAccountIdResponse,2,5.472628940772985,Clean
GetTasksByEmployerAccountIdValidator,7,5.472628940772985,Fault_proner
GetTaskRequest,2,5.472628940772985,Clean
GetTaskRequestHandler,7,5.472628940772985,Fault_proner
GetTaskRequestValidator,7,5.472628940772985,Fault_proner
GetTaskResponse,2,5.472628940772985,Clean
IValidator,4,5.472628940772985,Clean
ValidationResult,6,5.472628940772985,Fault_proner
