Component,Threshold,Cutoff,Status
InvokeTmxIfConditionCommand,2,9.039576147082858,Clean
ExportTmxTestSettingsCommand,2,9.039576147082858,Clean
ImportTmxTestSettingsCommand,3,9.039576147082858,Clean
CloseTmxTestDBCommand,4,9.039576147082858,Clean
NewTmxTestDBCommand,2,9.039576147082858,Clean
OpenTmxTestDBCommand,2,9.039576147082858,Clean
GetTestResultsFromCollectionsCommand,4,9.039576147082858,Clean
GetTestResultsFromSearchCommand,3,9.039576147082858,Clean
GetTestResultsViaDataSetCommand,3,9.039576147082858,Clean
StartTmxLoggingCommand,0,9.039576147082858,Clean
AddTmxTestBucketCommand,1,9.039576147082858,Clean
AddTmxTestConstantCommand,1,9.039576147082858,Clean
GetTmxTestBucketCommand,3,9.039576147082858,Clean
GetTmxTestConstantValueCommand,1,9.039576147082858,Clean
RemoveTmxTestBucketCommand,1,9.039576147082858,Clean
RemoveTmxTestConstantCommand,1,9.039576147082858,Clean
SetTmxTestBucketCommand,3,9.039576147082858,Clean
SetTmxTestConstantValueCommand,1,9.039576147082858,Clean
GetTmxTestResultDetailsCommand,3,9.039576147082858,Clean
GetTmxTestResultStatusCommand,3,9.039576147082858,Clean
GetTmxTestScenarioStatusCommand,4,9.039576147082858,Clean
GetTmxTestStatisticsCommand,3,9.039576147082858,Clean
GetTmxTestSuiteStatusCommand,4,9.039576147082858,Clean
UpdateTmxTestStatisticsCommand,4,9.039576147082858,Clean
AddTmxTestTaskResultCommand,5,9.039576147082858,Clean
ReceiveTmxTestReportCommand,3,9.039576147082858,Clean
SetTmxServerSettingsCommand,4,9.039576147082858,Clean
GetTmxCommonDataItemCommand,4,9.039576147082858,Clean
InvokeTmxTestTaskCommand,4,9.039576147082858,Clean
NewTmxTestRunCommand,5,9.039576147082858,Clean
ReceiveTmxTestResultsCommand,3,9.039576147082858,Clean
ReceiveTmxTestTaskCommand,8,9.039576147082858,Clean
RegisterTmxSystemUnderTestCommand,8,9.039576147082858,Clean
SendTmxCommonDataItemCommand,4,9.039576147082858,Clean
SendTmxDetailedStatusCommand,4,9.039576147082858,Clean
SendTmxFileSystemItemCommand,5,9.039576147082858,Clean
SendTmxTestTaskResultCommand,4,9.039576147082858,Clean
UnregisterTmxSystemUnderTestCommand,3,9.039576147082858,Clean
InvokeTmxTestCaseCommand,3,9.039576147082858,Clean
InvokeTmxTestScenarioCommand,3,9.039576147082858,Clean
InvokeTmxTestSuiteCommand,3,9.039576147082858,Clean
SetTmxTestCaseParametersCommand,2,9.039576147082858,Clean
SetTmxTestScenarioParametersCommand,2,9.039576147082858,Clean
SetTmxTestSuiteParametersCommand,2,9.039576147082858,Clean
BackupTmxTestResultsCommand,1,9.039576147082858,Clean
ExportTmxTestLogCommand,3,9.039576147082858,Clean
ExportTmxTestResultsCommand,4,9.039576147082858,Clean
ExportTmxTestSummaryCommand,3,9.039576147082858,Clean
ImportTmxTestResultsCommand,5,9.039576147082858,Clean
InitializeTmxResultsStorageCommand,5,9.039576147082858,Clean
RestoreTmxTestResultsCommand,1,9.039576147082858,Clean
SaveTmxTestScreenshotCommand,1,9.039576147082858,Clean
SearchTmxTestResultCommand,4,9.039576147082858,Clean
SearchTmxTestScenarioCommand,4,9.039576147082858,Clean
SearchTmxTestSuiteCommand,4,9.039576147082858,Clean
AddTmxSimpleTestResultCommand,8,9.039576147082858,Clean
AddTmxTestCaseCommand,2,9.039576147082858,Clean
GetTmxTestCaseCommand,1,9.039576147082858,Clean
NewTmxTestPlatformCommand,2,9.039576147082858,Clean
OpenTmxTestPlatformCommand,2,9.039576147082858,Clean
RemoveTmxTestCaseCommand,1,9.039576147082858,Clean
SetTmxCurrentTestResultCommand,8,9.039576147082858,Clean
SetTmxTestCaseCommand,1,9.039576147082858,Clean
AddTmxTestResultDetailCommand,4,9.039576147082858,Clean
AddTmxTestScenarioCommand,3,9.039576147082858,Clean
CloseTmxTestResultCommand,8,9.039576147082858,Clean
NewTmxTestSuiteCommand,2,9.039576147082858,Clean
OpenTmxTestScenarioCommand,4,9.039576147082858,Clean
OpenTmxTestSuiteCommand,2,9.039576147082858,Clean
ReceiveTmxCommonDataItemsCollection,3,9.039576147082858,Clean
GetTmxCurrentTestTaskCommand,3,9.039576147082858,Clean
ImportExportHelper,6,9.039576147082858,Clean
AssertionsCmdletBase,1,9.039576147082858,Clean
ClientCmdletBase,3,9.039576147082858,Clean
CommonCmdletBase,3,9.039576147082858,Clean
ConditionsCmdletBase,2,9.039576147082858,Clean
DatabaseCmdletBase,2,9.039576147082858,Clean
DatabaseFileCmdletBase,3,9.039576147082858,Clean
DatabaseFileOpenCmdletBase,3,9.039576147082858,Clean
TestBucketCmdletBase,5,9.039576147082858,Clean
TestCaseCmdletBase,4,9.039576147082858,Clean
TestConstantCmdletBase,3,9.039576147082858,Clean
TestResultsCmdletBase,2,9.039576147082858,Clean
TestStructureCmdletBase,3,9.039576147082858,Clean
ImportExportCmdletBase,9,9.039576147082858,Clean
SearchCmdletBase,6,9.039576147082858,Clean
ServerCmdletBase,4,9.039576147082858,Clean
SettingsCmdletBase,6,9.039576147082858,Clean
TestCaseExecCmdletBase,4,9.039576147082858,Clean
TestExecCmdletBase,7,9.039576147082858,Clean
TestScenarioExecCmdletBase,4,9.039576147082858,Clean
TestSuiteExecCmdletBase,4,9.039576147082858,Clean
TestResultStatusCmdletBase,3,9.039576147082858,Clean
AddScenarioCmdletBase,6,9.039576147082858,Clean
AddTestCaseCmdletBase,4,9.039576147082858,Clean
NewPlatformCmdletBase,5,9.039576147082858,Clean
NewSuiteCmdletBase,6,9.039576147082858,Clean
OpenScenarioCmdletBase,3,9.039576147082858,Clean
OpenSuiteCmdletBase,4,9.039576147082858,Clean
OpenTestCaseCmdletBase,1,9.039576147082858,Clean
PlatformCmdletBase,2,9.039576147082858,Clean
ScenarioCmdletBase,4,9.039576147082858,Clean
SuiteCmdletBase,1,9.039576147082858,Clean
TestResultCmdletBase,8,9.039576147082858,Clean
TestResultDetailCmdletBase,7,9.039576147082858,Clean
TmxNewLoggerCommand,4,9.039576147082858,Clean
TmxStartLoggingCommand,4,9.039576147082858,Clean
