Component,Threshold,Cutoff,Status
Equalize,5,7.933538951348124,Clean
MathTests,3,7.933538951348124,Clean
SecondTests,3,7.933538951348124,Clean
Divise,5,7.933538951348124,Clean
Assert,5,7.933538951348124,Clean
DescriptionAttribute,4,7.933538951348124,Clean
TestClassAttribute,0,7.933538951348124,Clean
TestAttribute,1,7.933538951348124,Clean
AreNotSameException,3,7.933538951348124,Clean
AreSameException,3,7.933538951348124,Clean
EqualException,7,7.933538951348124,Clean
FalseException,3,7.933538951348124,Clean
IsInstanceOfException,3,7.933538951348124,Clean
IsNotInstanceOfException,3,7.933538951348124,Clean
IsNotNullException,3,7.933538951348124,Clean
IsNullException,3,7.933538951348124,Clean
NotEqualException,7,7.933538951348124,Clean
PrincipalException,5,7.933538951348124,Clean
TrueException,3,7.933538951348124,Clean
ITest,3,7.933538951348124,Clean
ISummary,3,7.933538951348124,Clean
RunnerMain,1,7.933538951348124,Clean
Test,7,7.933538951348124,Clean
