Component,Threshold,Cutoff,Status
BinaryPropertyDeserializer,7,7.704847058823529,Clean
BinaryPropertySerializer,7,7.704847058823529,Clean
PropertyCache,2,7.704847058823529,Clean
SizeOptimizedBinaryReader,7,7.704847058823529,Clean
BurstBinaryReader,7,7.704847058823529,Clean
BurstBinaryWriter,7,7.704847058823529,Clean
PropertyProvider,8,7.704847058823529,Fault_proner
PropertiesToIgnore,7,7.704847058823529,Clean
TypePropertiesToIgnore,3,7.704847058823529,Clean
TypePropertiesToIgnoreCollection,3,7.704847058823529,Clean
DefaultXmlReader,7,7.704847058823529,Clean
XmlPropertyDeserializer,7,7.704847058823529,Clean
XmlPropertySerializer,7,7.704847058823529,Clean
SizeOptimizedBinaryWriter,7,7.704847058823529,Clean
ByteWriteCommand,3,7.704847058823529,Clean
NumberWriteCommand,3,7.704847058823529,Clean
NumbersWriteCommand,3,7.704847058823529,Clean
ValueWriteCommand,3,7.704847058823529,Clean
WriteCommand,1,7.704847058823529,Clean
DefaultXmlWriter,7,7.704847058823529,Clean
TypeNameConverter,7,7.704847058823529,Clean
SimpleValueConverter,6,7.704847058823529,Clean
ArrayAnalyzer,7,7.704847058823529,Clean
ArrayInfo,3,7.704847058823529,Clean
DefaultInitializer,4,7.704847058823529,Clean
CreatingInstanceException,2,7.704847058823529,Clean
DeserializingException,3,7.704847058823529,Clean
Tools,5,7.704847058823529,Clean
SimpleValueParsingException,2,7.704847058823529,Clean
Property,8,7.704847058823529,Fault_proner
ReferenceTargetProperty,7,7.704847058823529,Clean
ReferenceInfo,3,7.704847058823529,Clean
NullProperty,4,7.704847058823529,Clean
PropertyCollection,5,7.704847058823529,Clean
SimpleProperty,6,7.704847058823529,Clean
ComplexProperty,9,7.704847058823529,Fault_proner
CollectionProperty,8,7.704847058823529,Fault_proner
DictionaryProperty,8,7.704847058823529,Fault_proner
SingleDimensionalArrayProperty,8,7.704847058823529,Fault_proner
MultiDimensionalArrayProperty,8,7.704847058823529,Fault_proner
MultiDimensionalArrayItem,2,7.704847058823529,Clean
DimensionInfo,2,7.704847058823529,Clean
KeyValueItem,2,7.704847058823529,Clean
PropertyArt,1,7.704847058823529,Clean
SharpSerializerSettings<T>,3,7.704847058823529,Clean
AdvancedSharpSerializerXmlSettings,3,7.704847058823529,Clean
AdvancedSharpSerializerBinarySettings,2,7.704847058823529,Clean
AdvancedSharpSerializerSettings,5,7.704847058823529,Clean
BinarySerializationMode,1,7.704847058823529,Clean
SharpSerializerBinarySettings,3,7.704847058823529,Clean
SharpSerializerXmlSettings,2,7.704847058823529,Clean
ExcludeFromSerializationAttribute,0,7.704847058823529,Clean
SharpSerializer,8,7.704847058823529,Fault_proner
Elements,3,7.704847058823529,Clean
SubElements,3,7.704847058823529,Clean
Attributes,4,7.704847058823529,Clean
NumberSize,3,7.704847058823529,Clean
IndexGenerator<T>,2,7.704847058823529,Clean
BinaryReaderTools,5,7.704847058823529,Clean
BinaryWriterTools,5,7.704847058823529,Clean
ISimpleValueConverter,2,7.704847058823529,Clean
IXmlReader,4,7.704847058823529,Clean
IXmlWriter,5,7.704847058823529,Clean
IBinaryReader,5,7.704847058823529,Clean
IBinaryWriter,5,7.704847058823529,Clean
PropertyTypeInfo<TProperty>,3,7.704847058823529,Clean
TypeInfoCollection,0,7.704847058823529,Clean
PropertyFactory,7,7.704847058823529,Clean
TypeInfo,8,7.704847058823529,Fault_proner
ITypeNameConverter,2,7.704847058823529,Clean
IPropertySerializer,3,7.704847058823529,Clean
PropertySerializer,7,7.704847058823529,Clean
IPropertyDeserializer,3,7.704847058823529,Clean
ObjectFactory,5,7.704847058823529,Clean
MultiDimensionalArrayCreatingInfo,1,7.704847058823529,Clean
