Component,Threshold,Cutoff,Status
ButtonReaction,6,8.436141288493179,Clean
Accessor,7,8.436141288493179,Clean
ChannelsControler,4,8.436141288493179,Clean
ConversationControler,3,8.436141288493179,Clean
EmojiControler,3,8.436141288493179,Clean
Ext,4,8.436141288493179,Clean
Status,6,8.436141288493179,Clean
Event,5,8.436141288493179,Clean
GroupControler,4,8.436141288493179,Clean
ImControler,4,8.436141288493179,Clean
RtmControler,0,8.436141288493179,Clean
SlackAdapter,9,8.436141288493179,Fault_proner
SlackClientTest,3,8.436141288493179,Clean
SlackJsonConverter,5,8.436141288493179,Clean
TrueCamelCasePropertyNamesContractResolver,2,8.436141288493179,Clean
SlackRtm,8,8.436141288493179,Clean
TeamControler,3,8.436141288493179,Clean
Token,5,8.436141288493179,Clean
UserControler,6,8.436141288493179,Clean
Ack,3,8.436141288493179,Clean
AppHome,1,8.436141288493179,Clean
Attachment,4,8.436141288493179,Clean
Authorisation,5,8.436141288493179,Clean
Channel,8,8.436141288493179,Clean
ChannelList,4,8.436141288493179,Clean
CommentDetail,3,8.436141288493179,Clean
Conversation,6,8.436141288493179,Clean
DoNotDisturb,4,8.436141288493179,Clean
Emoji,5,8.436141288493179,Clean
Emojis,3,8.436141288493179,Clean
File,4,8.436141288493179,Clean
FileInfo,4,8.436141288493179,Clean
Group,7,8.436141288493179,Clean
GroupInfo,2,8.436141288493179,Clean
History,3,8.436141288493179,Clean
Icon,4,8.436141288493179,Clean
Im,6,8.436141288493179,Clean
Info,5,8.436141288493179,Clean
Latest,2,8.436141288493179,Clean
Member,6,8.436141288493179,Clean
Message,8,8.436141288493179,Clean
Mpim,5,8.436141288493179,Clean
Paging,3,8.436141288493179,Clean
Permission,3,8.436141288493179,Clean
PermissionInfo,3,8.436141288493179,Clean
Profile,5,8.436141288493179,Clean
Purpose,4,8.436141288493179,Clean
Reaction,3,8.436141288493179,Clean
Response,3,8.436141288493179,Clean
ResponseMetadata,2,8.436141288493179,Clean
Resources,3,8.436141288493179,Clean
Rtm,6,8.436141288493179,Clean
Self,1,8.436141288493179,Clean
Team,7,8.436141288493179,Clean
TeamInfo,2,8.436141288493179,Clean
Topic,4,8.436141288493179,Clean
Users,5,8.436141288493179,Clean
Hello,2,8.436141288493179,Clean
SlackEventArgs,3,8.436141288493179,Clean
UnknownEvent,5,8.436141288493179,Clean
SlackControl,6,8.436141288493179,Clean
SlackConversation,6,8.436141288493179,Clean
SlackHeader,6,8.436141288493179,Clean
SlackInput,6,8.436141288493179,Clean
SlackMenu,6,8.436141288493179,Clean
SlackMessage,8,8.436141288493179,Clean
SlackSettings,6,8.436141288493179,Clean
TestControler,2,8.436141288493179,Clean
PermissionControler,3,8.436141288493179,Clean
TestControler_duplicated,3,8.436141288493179,Clean
Resources_duplicated,3,8.436141288493179,Clean
