Component,Threshold,Cutoff,Status
IListExplorationManager,3,7.941923774954629,Clean
ListExplorationManager,6,7.941923774954629,Clean
LazyManagerLoader,3,7.941923774954629,Clean
ITodoCRUDManager,5,7.941923774954629,Clean
TodoCRUDManager,8,7.941923774954629,Fault_proner
DataConstants,3,7.941923774954629,Clean
SaveResult<T>,5,7.941923774954629,Clean
DeleteResult,6,7.941923774954629,Clean
TodoItem,3,7.941923774954629,Clean
TodoList,2,7.941923774954629,Clean
User,2,7.941923774954629,Clean
UserAccountStats,1,7.941923774954629,Clean
DatabaseObjectBase,2,7.941923774954629,Clean
"MapperBase<ContractType,ModelType>",5,7.941923774954629,Clean
TodoItemDTO,4,7.941923774954629,Clean
TodoItem_Mapper,4,7.941923774954629,Clean
TodoListDTO,4,7.941923774954629,Clean
TodoList_Mapper,1,7.941923774954629,Clean
UserDTO,4,7.941923774954629,Clean
User_Mapper,1,7.941923774954629,Clean
Init,6,7.941923774954629,Clean
AddActiveFlags,6,7.941923774954629,Clean
Configuration,5,7.941923774954629,Clean
TodoContext,6,7.941923774954629,Clean
DatabaseAccessorLoader,3,7.941923774954629,Clean
ITodoItemAccessor,5,7.941923774954629,Clean
TodoItemAccessor,8,7.941923774954629,Fault_proner
ITodoListAccessor,6,7.941923774954629,Clean
TodoListAccessor,8,7.941923774954629,Fault_proner
