Component,Threshold,Cutoff,Status
Color,8,9.309157288569384,Clean
Coordinate,6,9.309157288569384,Clean
Size,7,9.309157288569384,Clean
SetTileCharacterCommand,6,9.309157288569384,Clean
ActorInstanceMoveCommandBase,8,9.309157288569384,Clean
ActorInstanceRandomMoveCommand,7,9.309157288569384,Clean
ChainedCommand,9,9.309157288569384,Clean
BoardChangeCommand,7,9.309157288569384,Clean
CommandContext,3,9.309157288569384,Clean
Commands,5,9.309157288569384,Clean
CommandStatus,0,9.309157288569384,Clean
ActorInstanceTransportCommand,6,9.309157288569384,Clean
ActorInstanceCreateCommand,7,9.309157288569384,Clean
ContextCommand,6,9.309157288569384,Clean
MoveDirection,1,9.309157288569384,Clean
RemoveSpriteCommand,4,9.309157288569384,Clean
SetSpriteCommand,4,9.309157288569384,Clean
StopSongCommand,2,9.309157288569384,Clean
PlaySongCommand,8,9.309157288569384,Clean
PlaySoundEffectCommand,8,9.309157288569384,Clean
DelayCommand,7,9.309157288569384,Clean
ActorInstanceDestroyCommand,6,9.309157288569384,Clean
LogCommand,5,9.309157288569384,Clean
MessageCommand,5,9.309157288569384,Clean
MoveCommand,5,9.309157288569384,Clean
PlayerResumeInputCommand,2,9.309157288569384,Clean
PlayerSuspendInputCommand,2,9.309157288569384,Clean
MaximumAttempts,0,9.309157288569384,Clean
PlayerTransportCommand,4,9.309157288569384,Clean
RandomDelayCommand,7,9.309157288569384,Clean
RandomMoveDirection,1,9.309157288569384,Clean
RepeatCommand,9,9.309157288569384,Clean
RetryCommand,9,9.309157288569384,Clean
TimerAction,1,9.309157288569384,Clean
TotalRepeats,0,9.309157288569384,Clean
Volume,5,9.309157288569384,Clean
PerformTimerActionCommand,7,9.309157288569384,Clean
ActorInstanceMoveCommand,6,9.309157288569384,Clean
NextAction,0,9.309157288569384,Clean
Command,10,9.309157288569384,Fault_proner
CommandResult,1,9.309157288569384,Clean
PlayerMoveCommand,7,9.309157288569384,Clean
TouchDirection,1,9.309157288569384,Clean
CommandList,6,9.309157288569384,Clean
CommandListEntry,7,9.309157288569384,Clean
CommandQueue,7,9.309157288569384,Clean
DetailTextFormatter,6,9.309157288569384,Clean
ILoggable,2,9.309157288569384,Clean
Context,9,9.309157288569384,Clean
ActorInstanceDestroyedEvent,2,9.309157288569384,Clean
