Component,Threshold,Cutoff,Status
VoatEntityContext,5,5.884615384615385,Clean
UnintentionalCodeFirstException,0,5.884615384615385,Clean
Ad,1,5.884615384615385,Clean
ApiClient,3,5.884615384615385,Clean
ApiCorsPolicy,2,5.884615384615385,Clean
ApiLog,1,5.884615384615385,Clean
ApiPermissionPolicy,5,5.884615384615385,Clean
ApiThrottlePolicy,6,5.884615384615385,Fault_proner
Badge,5,5.884615384615385,Clean
BannedDomain,1,5.884615384615385,Clean
BannedUser,1,5.884615384615385,Clean
Comment,6,5.884615384615385,Fault_proner
CommentRemovalLog,1,5.884615384615385,Clean
CommentSaveTracker,1,5.884615384615385,Clean
CommentVoteTracker,1,5.884615384615385,Clean
DefaultSubverse,0,5.884615384615385,Clean
EventLog,3,5.884615384615385,Clean
Featured,1,5.884615384615385,Clean
Filter,1,5.884615384615385,Clean
Message,2,5.884615384615385,Clean
ModeratorInvitation,1,5.884615384615385,Clean
RuleReport,2,5.884615384615385,Clean
RuleSet,5,5.884615384615385,Clean
SessionTracker,1,5.884615384615385,Clean
StickiedSubmission,1,5.884615384615385,Clean
Submission,6,5.884615384615385,Fault_proner
SubmissionRemovalLog,1,5.884615384615385,Clean
SubmissionSaveTracker,1,5.884615384615385,Clean
SubmissionVoteTracker,1,5.884615384615385,Clean
Subverse,6,5.884615384615385,Fault_proner
SubverseBan,1,5.884615384615385,Clean
SubverseFlair,1,5.884615384615385,Clean
SubverseModerator,2,5.884615384615385,Clean
SubverseSet,6,5.884615384615385,Fault_proner
SubverseSetList,1,5.884615384615385,Clean
SubverseSetSubscription,1,5.884615384615385,Clean
UserBadge,1,5.884615384615385,Clean
UserBlockedUser,1,5.884615384615385,Clean
UserContribution,1,5.884615384615385,Clean
UserPreference,3,5.884615384615385,Clean
usp_CommentTree_Result,3,5.884615384615385,Clean
ViewStatistic,1,5.884615384615385,Clean
Vote,3,5.884615384615385,Clean
VoteOption,2,5.884615384615385,Clean
VoteOutcome,2,5.884615384615385,Clean
VoteRestriction,2,5.884615384615385,Clean
VoteTracker,1,5.884615384615385,Clean
BaseLogger,7,5.884615384615385,Fault_proner
DummyScope,3,5.884615384615385,Clean
DurationLogger,6,5.884615384615385,Fault_proner
ILogger,6,5.884615384615385,Fault_proner
ILogInformation,4,5.884615384615385,Clean
Log4NetLogger,7,5.884615384615385,Fault_proner
LoggingConfigurationSettings,7,5.884615384615385,Fault_proner
LogInformation,9,5.884615384615385,Fault_proner
LogType,1,5.884615384615385,Clean
NullLogger,5,5.884615384615385,Clean
QueuedLogger,8,5.884615384615385,Fault_proner
IRuleContextHandler,0,5.884615384615385,Clean
IRequestContext,3,5.884615384615385,Clean
RequestContext,9,5.884615384615385,Fault_proner
NullFriendlyExpandoObject,6,5.884615384615385,Fault_proner
Rule,9,5.884615384615385,Fault_proner
Rule<T>,7,5.884615384615385,Fault_proner
RuleConfigurationSettings,2,5.884615384615385,Clean
RuleEntry,0,5.884615384615385,Clean
RuleContext,6,5.884615384615385,Fault_proner
RuleDiscoveryAttribute,5,5.884615384615385,Clean
RuleDiscoveryProvider,7,5.884615384615385,Fault_proner
RuleInformation,2,5.884615384615385,Clean
RuleException,5,5.884615384615385,Clean
RuleLoadableAttribute,5,5.884615384615385,Clean
RuleOutcome,7,5.884615384615385,Fault_proner
RuleResult,2,5.884615384615385,Clean
RuleAction,0,5.884615384615385,Clean
RuleArea,0,5.884615384615385,Clean
RuleScope,2,5.884615384615385,Clean
RulesEngine<T>,7,5.884615384615385,Fault_proner
OutcomeAttribute,1,5.884615384615385,Clean
RestrictionAttribute,1,5.884615384615385,Clean
VoteAttribute,2,5.884615384615385,Clean
IDescription,3,5.884615384615385,Clean
VoteItem,8,5.884615384615385,Fault_proner
VoteOutcome_duplicated,5,5.884615384615385,Clean
IVoteRestriction,3,5.884615384615385,Clean
RestrictionViolation,4,5.884615384615385,Clean
RestrictionEvaluation,3,5.884615384615385,Clean
VoteRestriction_duplicated,8,5.884615384615385,Fault_proner
