Component,Threshold,Cutoff,Status
Barcode128,8,7.592535394476387,Fault_proner
Barcode128CodeSet,0,7.592535394476387,Clean
Barcode1D,9,7.592535394476387,Fault_proner
Barcode2D,4,7.592535394476387,Clean
Barcode39,7,7.592535394476387,Clean
BarcodeCodabar,7,7.592535394476387,Clean
BarcodeDataMatrix,8,7.592535394476387,Fault_proner
BarcodeEAN,8,7.592535394476387,Fault_proner
BarcodeEANSUPP,4,7.592535394476387,Clean
BarcodeInter25,6,7.592535394476387,Clean
BarcodeMSI,7,7.592535394476387,Clean
BarcodePDF417,8,7.592535394476387,Fault_proner
Segment,2,7.592535394476387,Clean
SegmentList,2,7.592535394476387,Clean
BarcodePostnet,8,7.592535394476387,Fault_proner
BarcodeQRCode,7,7.592535394476387,Clean
BarcodesExtensions,3,7.592535394476387,Clean
DmParams,2,7.592535394476387,Clean
Placement,4,7.592535394476387,Clean
ReedSolomon,3,7.592535394476387,Clean
BitArray,4,7.592535394476387,Clean
BitMatrix,5,7.592535394476387,Clean
BitVector,5,7.592535394476387,Clean
BlockPair,0,7.592535394476387,Clean
ByteArray,5,7.592535394476387,Clean
ByteMatrix,6,7.592535394476387,Clean
CharacterSetECI,5,7.592535394476387,Clean
EncodeHintType,3,7.592535394476387,Clean
Encoder,5,7.592535394476387,Clean
ErrorCorrectionLevel,5,7.592535394476387,Clean
FormatInformation,4,7.592535394476387,Clean
GF256,6,7.592535394476387,Clean
GF256Poly,3,7.592535394476387,Clean
MaskUtil,5,7.592535394476387,Clean
MatrixUtil,6,7.592535394476387,Clean
Mode,6,7.592535394476387,Clean
QRCode,8,7.592535394476387,Fault_proner
QRCodeWriter,4,7.592535394476387,Clean
ReedSolomonEncoder,2,7.592535394476387,Clean
ReedSolomonException,0,7.592535394476387,Clean
Version,6,7.592535394476387,Clean
ECBlocks,2,7.592535394476387,Clean
ECB,0,7.592535394476387,Clean
WriterException,0,7.592535394476387,Clean
AppearanceResources,3,7.592535394476387,Clean
AppearanceXObject,3,7.592535394476387,Clean
PdfButtonFormField,9,7.592535394476387,Fault_proner
PdfChoiceFormField,8,7.592535394476387,Fault_proner
PdfFormField,9,7.592535394476387,Fault_proner
PdfSignatureFormField,4,7.592535394476387,Clean
PdfTextFormField,9,7.592535394476387,Fault_proner
FormsExtensions,4,7.592535394476387,Clean
PdfAcroForm,8,7.592535394476387,Fault_proner
PdfPageFormCopier,6,7.592535394476387,Clean
PdfSigFieldLock,5,7.592535394476387,Clean
LockAction,0,7.592535394476387,Clean
LockPermissions,0,7.592535394476387,Clean
DrawingUtil,6,7.592535394476387,Clean
AcroFieldsSearch,2,7.592535394476387,Clean
InverseStore,0,7.592535394476387,Clean
XfaForm,8,7.592535394476387,Fault_proner
Xml2Som,6,7.592535394476387,Clean
Xml2SomDatasets,4,7.592535394476387,Clean
BitFile,3,7.592535394476387,Clean
