Component,Threshold,Cutoff,Status
SvgConverter,6,7.6711758584807495,Clean
StyleResolverUtil,5,7.6711758584807495,Clean
SvgAttributeInheritance,0,7.6711758584807495,Clean
SvgNodeRendererInheritanceResolver,4,7.6711758584807495,Clean
SvgStyleResolver,6,7.6711758584807495,Clean
SvgCssContext,0,7.6711758584807495,Clean
SvgLogMessageConstant,4,7.6711758584807495,Clean
SvgProcessingException,2,7.6711758584807495,Clean
DefaultSvgProcessor,8,7.6711758584807495,Fault_proner
ProcessorState,3,7.6711758584807495,Clean
SvgConverterProperties,8,7.6711758584807495,Fault_proner
SvgProcessorContext,6,7.6711758584807495,Clean
SvgProcessorResult,5,7.6711758584807495,Clean
FontFace,5,7.6711758584807495,Clean
FontFaceSrc,6,7.6711758584807495,Clean
FontFormat,1,7.6711758584807495,Clean
SvgFontProcessor,5,7.6711758584807495,Clean
ISvgConverterProperties,4,7.6711758584807495,Clean
ISvgProcessor,1,7.6711758584807495,Clean
ISvgProcessorResult,3,7.6711758584807495,Clean
DefaultSvgNodeRendererFactory,6,7.6711758584807495,Clean
DefaultSvgNodeRendererMapper,4,7.6711758584807495,Clean
ISvgNodeRendererFactory,2,7.6711758584807495,Clean
ISvgNodeRendererMapper,1,7.6711758584807495,Clean
IBranchSvgNodeRenderer,3,7.6711758584807495,Clean
ISvgNodeRenderer,5,7.6711758584807495,Clean
SvgDrawContext,7,7.6711758584807495,Clean
AbstractBranchSvgNodeRenderer,7,7.6711758584807495,Clean
AbstractSvgNodeRenderer,8,7.6711758584807495,Fault_proner
CircleSvgNodeRenderer,4,7.6711758584807495,Clean
EllipseSvgNodeRenderer,8,7.6711758584807495,Fault_proner
GroupSvgNodeRenderer,3,7.6711758584807495,Clean
ImageSvgNodeRenderer,3,7.6711758584807495,Clean
LineSvgNodeRenderer,5,7.6711758584807495,Clean
NoDrawOperationSvgNodeRenderer,3,7.6711758584807495,Clean
PathSvgNodeRenderer,6,7.6711758584807495,Clean
PdfRootSvgNodeRenderer,6,7.6711758584807495,Clean
PolygonSvgNodeRenderer,3,7.6711758584807495,Clean
PolylineSvgNodeRenderer,7,7.6711758584807495,Clean
RectangleSvgNodeRenderer,7,7.6711758584807495,Clean
SvgTagSvgNodeRenderer,7,7.6711758584807495,Clean
TextSvgNodeRenderer,6,7.6711758584807495,Clean
UseSvgNodeRenderer,6,7.6711758584807495,Clean
AbstractPathShape,5,7.6711758584807495,Clean
CurveTo,4,7.6711758584807495,Clean
LineTo,3,7.6711758584807495,Clean
MoveTo,3,7.6711758584807495,Clean
PathShapeMapper,2,7.6711758584807495,Clean
QuadraticCurveTo,3,7.6711758584807495,Clean
SmoothSCurveTo,1,7.6711758584807495,Clean
IPathShape,2,7.6711758584807495,Clean
IPathShapeMapper,1,7.6711758584807495,Clean
SvgPathShapeFactory,1,7.6711758584807495,Clean
SvgConstants,2,7.6711758584807495,Clean
Tags,4,7.6711758584807495,Clean
Attributes,4,7.6711758584807495,Clean
Values,4,7.6711758584807495,Clean
DrawUtils,0,7.6711758584807495,Clean
SvgCssUtils,6,7.6711758584807495,Clean
SvgMathUtils,0,7.6711758584807495,Clean
SvgTextUtil,4,7.6711758584807495,Clean
TransformUtils,6,7.6711758584807495,Clean
