Component,Threshold,Cutoff,Status
LogViewType,1,7.438548752834468,Clean
TimeCount,0,7.438548752834468,Clean
LogOpreate,2,7.438548752834468,Clean
clsSetting,7,7.438548752834468,Clean
CommunicationCfg,2,7.438548752834468,Clean
FileIo,4,7.438548752834468,Clean
CallWebApi,4,7.438548752834468,Clean
CommunicationType,1,7.438548752834468,Clean
ICommunication,3,7.438548752834468,Clean
SerialPortManage,6,7.438548752834468,Clean
TcpIpManage,6,7.438548752834468,Clean
Helper,4,7.438548752834468,Clean
CommonHelper,4,7.438548752834468,Clean
CacheEngine,3,7.438548752834468,Clean
CommandParameter,2,7.438548752834468,Clean
DataAccess,6,7.438548752834468,Clean
CreateDataAccess,0,7.438548752834468,Clean
LableState,1,7.438548752834468,Clean
FloorPerformance,1,7.438548752834468,Clean
CacheState,1,7.438548752834468,Clean
LableCode,8,7.438548752834468,Fault_proner
ERPAlarmNo,1,7.438548752834468,Clean
LCodeSignal,2,7.438548752834468,Clean
OPCScanParam,2,7.438548752834468,Clean
OPCBeforCacheParam,2,7.438548752834468,Clean
NoneOpcParame,2,7.438548752834468,Clean
OPCParam,8,7.438548752834468,Fault_proner
PanelInfo,3,7.438548752834468,Clean
RobotParam,4,7.438548752834468,Clean
SqliteAccess,4,7.438548752834468,Clean
FrmMain,8,7.438548752834468,Fault_proner
FrmSet,6,7.438548752834468,Clean
LableCodeBll,6,7.438548752834468,Clean
LogType,3,7.438548752834468,Clean
MessageItem,2,7.438548752834468,Clean
MessageCenter,3,7.438548752834468,Clean
OpcHelper,5,7.438548752834468,Clean
PanelGen,4,7.438548752834468,Clean
Program,0,7.438548752834468,Clean
RobotJobTask,6,7.438548752834468,Clean
PanelState,1,7.438548752834468,Clean
RollPosition,9,7.438548752834468,Fault_proner
RobotHelper,8,7.438548752834468,Fault_proner
RobotJobQueue,3,7.438548752834468,Clean
WinDeleteLabel,5,7.438548752834468,Clean
WRollBrowser,5,7.438548752834468,Clean
PanelBrief,1,7.438548752834468,Clean
ListBoxHelper,3,7.438548752834468,Clean
RobotAgent,8,7.438548752834468,Fault_proner
NormalScan,5,7.438548752834468,Clean
OPCClient,7,7.438548752834468,Clean
WebService,6,7.438548752834468,Clean
getDataForLocationCompletedEventArgs,0,7.438548752834468,Clean
getDataForWeightCompletedEventArgs,0,7.438548752834468,Clean
getDataForFinishCompletedEventArgs,0,7.438548752834468,Clean
Resources,1,7.438548752834468,Clean
Settings,1,7.438548752834468,Clean
RobotControl,8,7.438548752834468,Fault_proner
Commands,3,7.438548752834468,Clean
PosVarType,1,7.438548752834468,Clean
PosType,1,7.438548752834468,Clean
VariableType,1,7.438548752834468,Clean
PostionVar,6,7.438548752834468,Clean
