Component,Threshold,Cutoff,Status
Direction,0,7.763406626206349,Clean
FirstPersonController,5,7.763406626206349,Clean
HeadBob,6,7.763406626206349,Clean
MouseLook,8,7.763406626206349,Fault_proner
RigidbodyFirstPersonController,8,7.763406626206349,Fault_proner
MovementSettings,7,7.763406626206349,Clean
AdvancedSettings,3,7.763406626206349,Clean
Ball,6,7.763406626206349,Clean
BallUserControl,5,7.763406626206349,Clean
AICharacterControl,7,7.763406626206349,Clean
ThirdPersonCharacter,6,7.763406626206349,Clean
ThirdPersonUserControl,5,7.763406626206349,Clean
AxisTouchButton,7,7.763406626206349,Clean
ButtonHandler,6,7.763406626206349,Clean
CrossPlatformInputManager,8,7.763406626206349,Fault_proner
ActiveInputMethod,1,7.763406626206349,Clean
VirtualAxis,6,7.763406626206349,Clean
VirtualButton,7,7.763406626206349,Clean
InputAxisScrollbar,4,7.763406626206349,Clean
Joystick,7,7.763406626206349,Clean
AxisOption,1,7.763406626206349,Clean
MobileControlRig,3,7.763406626206349,Clean
TiltInput,6,7.763406626206349,Clean
AxisOptions,0,7.763406626206349,Clean
AxisMapping,3,7.763406626206349,Clean
MappingType,0,7.763406626206349,Clean
TiltInputAxisStylePropertyDrawer,3,7.763406626206349,Clean
TouchPad,7,7.763406626206349,Clean
ControlStyle,1,7.763406626206349,Clean
VirtualInput,9,7.763406626206349,Fault_proner
MobileInput,6,7.763406626206349,Clean
StandaloneInput,5,7.763406626206349,Clean
ActivateTrigger,6,7.763406626206349,Clean
Mode,1,7.763406626206349,Clean
AutoMobileShaderSwitch,1,7.763406626206349,Clean
ReplacementDefinition,2,7.763406626206349,Clean
ReplacementList,2,7.763406626206349,Clean
ReplacementListDrawer,5,7.763406626206349,Clean
AutoMoveAndRotate,6,7.763406626206349,Clean
Vector3andSpace,3,7.763406626206349,Clean
CameraRefocus,6,7.763406626206349,Clean
CurveControlledBob,7,7.763406626206349,Clean
DragRigidbody,4,7.763406626206349,Clean
DynamicShadowSettings,5,7.763406626206349,Clean
FollowTarget,2,7.763406626206349,Clean
FOVKick,7,7.763406626206349,Clean
FPSCounter,3,7.763406626206349,Clean
LerpControlledBob,7,7.763406626206349,Clean
ObjectResetter,5,7.763406626206349,Clean
ParticleSystemDestroyer,6,7.763406626206349,Clean
PlatformSpecificContent,5,7.763406626206349,Clean
BuildTargetGroup,1,7.763406626206349,Clean
SimpleActivatorMenu,6,7.763406626206349,Clean
SimpleMouseRotator,6,7.763406626206349,Clean
SmoothFollow,4,7.763406626206349,Clean
TimedObjectActivator,5,7.763406626206349,Clean
Action,0,7.763406626206349,Clean
Entry,3,7.763406626206349,Clean
Entries,2,7.763406626206349,Clean
EntriesDrawer,6,7.763406626206349,Clean
TimedObjectDestructor,3,7.763406626206349,Clean
WaypointCircuit,8,7.763406626206349,Fault_proner
WaypointList,3,7.763406626206349,Clean
RoutePoint,4,7.763406626206349,Clean
WaypointListDrawer,6,7.763406626206349,Clean
TransformNameComparer,1,7.763406626206349,Clean
WaypointProgressTracker,8,7.763406626206349,Fault_proner
ProgressStyle,1,7.763406626206349,Clean
CrossPlatformInitialize,4,7.763406626206349,Clean
