Component,Threshold,Cutoff,Status
IAudioCodec,5,8.37759361165367,Clean
SpeexCodec,8,8.37759361165367,Clean
FrequencyProvider,2,8.37759361165367,Clean
codecWrapper,3,8.37759361165367,Clean
TestLocalVoiceController,3,8.37759361165367,Clean
UnityNetworkVoiceController,5,8.37759361165367,Clean
VoiceControllerBase,9,8.37759361165367,Fault_proner
AudioClipInputDevice,8,8.37759361165367,Clean
AudioInputDeviceBase,5,8.37759361165367,Clean
IAudioPlayer,4,8.37759361165367,Clean
MicrophoneInputDevice,9,8.37759361165367,Fault_proner
UnityAudioPlayer,9,8.37759361165367,Fault_proner
VoicePacketWrapper,7,8.37759361165367,Clean
FrequencyMode,1,8.37759361165367,Clean
IFrequencyProvider,3,8.37759361165367,Clean
AudioUtils,7,8.37759361165367,Clean
BigArray<T>,6,8.37759361165367,Clean
ChunkBuffer,5,8.37759361165367,Clean
FastList<T>,7,8.37759361165367,Clean
PooledEnumerator,7,8.37759361165367,Clean
FunctorComparer,6,8.37759361165367,Clean
TempArray<T>,3,8.37759361165367,Clean
VoiceControllerCollection<T>,2,8.37759361165367,Clean
"VoiceControllerKeyedCollection<K,T>",3,8.37759361165367,Clean
SplashScreen,2,8.37759361165367,Clean
GizmoType,1,8.37759361165367,Clean
GizmoTypeDrawer,1,8.37759361165367,Clean
LoadbalancingPeer,6,8.37759361165367,Clean
EnterRoomParams,3,8.37759361165367,Clean
OpJoinRandomRoomParams,4,8.37759361165367,Clean
ErrorCode,4,8.37759361165367,Clean
ActorProperties,2,8.37759361165367,Clean
GamePropertyKey,3,8.37759361165367,Clean
EventCode,2,8.37759361165367,Clean
ParameterCode,3,8.37759361165367,Clean
OperationCode,4,8.37759361165367,Clean
JoinMode,1,8.37759361165367,Clean
MatchmakingMode,1,8.37759361165367,Clean
ReceiverGroup,1,8.37759361165367,Clean
EventCaching,1,8.37759361165367,Clean
PropertyTypeFlag,0,8.37759361165367,Clean
RaiseEventOptions,3,8.37759361165367,Clean
LobbyType,0,8.37759361165367,Clean
TypedLobby,5,8.37759361165367,Clean
TypedLobbyInfo,2,8.37759361165367,Clean
CustomAuthenticationType,1,8.37759361165367,Clean
AuthenticationValues,7,8.37759361165367,Clean
SocketUdp,5,8.37759361165367,Clean
IPunObservable,0,8.37759361165367,Clean
IPunCallbacks,3,8.37759361165367,Clean
IPunPrefabPool,1,8.37759361165367,Clean
MonoBehaviour,2,8.37759361165367,Clean
PunBehaviour,5,8.37759361165367,Clean
PhotonMessageInfo,6,8.37759361165367,Clean
RoomOptions,4,8.37759361165367,Clean
PunEvent,2,8.37759361165367,Clean
PhotonStream,6,8.37759361165367,Clean
HelpURL,0,8.37759361165367,Clean
EditorSceneManager,3,8.37759361165367,Clean
SceneManager,3,8.37759361165367,Clean
SceneManagerHelper,2,8.37759361165367,Clean
WebRpcResponse,5,8.37759361165367,Clean
TimeKeeper,4,8.37759361165367,Clean
ChatChannel,8,8.37759361165367,Clean
ChatClient,8,8.37759361165367,Clean
ChatDisconnectCause,1,8.37759361165367,Clean
ChatEventCode,3,8.37759361165367,Clean
ChatOperationCode,3,8.37759361165367,Clean
ChatParameterCode,4,8.37759361165367,Clean
ChatPeer,9,8.37759361165367,Fault_proner
ChatState,1,8.37759361165367,Clean
ChatUserStatus,2,8.37759361165367,Clean
IChatClientListener,5,8.37759361165367,Clean
FirstPersonController,5,8.37759361165367,Clean
HeadBob,6,8.37759361165367,Clean
MouseLook,8,8.37759361165367,Clean
RigidbodyFirstPersonController,8,8.37759361165367,Clean
MovementSettings,6,8.37759361165367,Clean
AdvancedSettings,3,8.37759361165367,Clean
Ball,5,8.37759361165367,Clean
BallUserControl,5,8.37759361165367,Clean
AICharacterControl,4,8.37759361165367,Clean
ThirdPersonCharacter,6,8.37759361165367,Clean
ThirdPersonUserControl,5,8.37759361165367,Clean
AxisTouchButton,7,8.37759361165367,Clean
ButtonHandler,4,8.37759361165367,Clean
CrossPlatformInputManager,8,8.37759361165367,Clean
ActiveInputMethod,1,8.37759361165367,Clean
VirtualAxis,6,8.37759361165367,Clean
VirtualButton,7,8.37759361165367,Clean
InputAxisScrollbar,2,8.37759361165367,Clean
Joystick,7,8.37759361165367,Clean
AxisOption,1,8.37759361165367,Clean
MobileControlRig,3,8.37759361165367,Clean
TiltInput,6,8.37759361165367,Clean
AxisOptions,0,8.37759361165367,Clean
AxisMapping,3,8.37759361165367,Clean
MappingType,0,8.37759361165367,Clean
TiltInputAxisStylePropertyDrawer,0,8.37759361165367,Clean
TouchPad,7,8.37759361165367,Clean
ControlStyle,1,8.37759361165367,Clean
VirtualInput,9,8.37759361165367,Fault_proner
MobileInput,6,8.37759361165367,Clean
StandaloneInput,5,8.37759361165367,Clean
ActivateTrigger,6,8.37759361165367,Clean
Mode,1,8.37759361165367,Clean
AutoMobileShaderSwitch,1,8.37759361165367,Clean
ReplacementDefinition,2,8.37759361165367,Clean
ReplacementList,1,8.37759361165367,Clean
ReplacementListDrawer,5,8.37759361165367,Clean
AutoMoveAndRotate,4,8.37759361165367,Clean
Vector3andSpace,3,8.37759361165367,Clean
CameraRefocus,6,8.37759361165367,Clean
CurveControlledBob,7,8.37759361165367,Clean
DragRigidbody,4,8.37759361165367,Clean
DynamicShadowSettings,5,8.37759361165367,Clean
FollowTarget,2,8.37759361165367,Clean
FOVKick,7,8.37759361165367,Clean
FPSCounter,2,8.37759361165367,Clean
LerpControlledBob,6,8.37759361165367,Clean
ObjectResetter,5,8.37759361165367,Clean
ParticleSystemDestroyer,5,8.37759361165367,Clean
PlatformSpecificContent,5,8.37759361165367,Clean
BuildTargetGroup,1,8.37759361165367,Clean
SimpleActivatorMenu,3,8.37759361165367,Clean
SimpleMouseRotator,6,8.37759361165367,Clean
SmoothFollow,3,8.37759361165367,Clean
TimedObjectActivator,4,8.37759361165367,Clean
Action,0,8.37759361165367,Clean
Entry,3,8.37759361165367,Clean
Entries,1,8.37759361165367,Clean
EntriesDrawer,6,8.37759361165367,Clean
TimedObjectDestructor,2,8.37759361165367,Clean
WaypointCircuit,8,8.37759361165367,Clean
WaypointList,3,8.37759361165367,Clean
RoutePoint,3,8.37759361165367,Clean
WaypointListDrawer,6,8.37759361165367,Clean
TransformNameComparer,0,8.37759361165367,Clean
WaypointProgressTracker,6,8.37759361165367,Clean
ProgressStyle,1,8.37759361165367,Clean
CrossPlatformInitialize,4,8.37759361165367,Clean
ReorderableListResources,6,8.37759361165367,Clean
ResourceName,0,8.37759361165367,Clean
