Component,Threshold,Cutoff,Status
AxisTouchButton,7,8.28446143203855,Clean
ButtonHandler,6,8.28446143203855,Clean
CrossPlatformInputManager,8,8.28446143203855,Clean
ActiveInputMethod,1,8.28446143203855,Clean
VirtualAxis,6,8.28446143203855,Clean
VirtualButton,7,8.28446143203855,Clean
InputAxisScrollbar,4,8.28446143203855,Clean
Joystick,7,8.28446143203855,Clean
AxisOption,1,8.28446143203855,Clean
MobileControlRig,3,8.28446143203855,Clean
TiltInput,6,8.28446143203855,Clean
AxisOptions,0,8.28446143203855,Clean
AxisMapping,3,8.28446143203855,Clean
MappingType,0,8.28446143203855,Clean
TiltInputAxisStylePropertyDrawer,3,8.28446143203855,Clean
TouchPad,7,8.28446143203855,Clean
ControlStyle,1,8.28446143203855,Clean
VirtualInput,9,8.28446143203855,Fault_proner
MobileInput,6,8.28446143203855,Clean
StandaloneInput,5,8.28446143203855,Clean
AfterburnerPhysicsForce,5,8.28446143203855,Clean
ExplosionFireAndDebris,6,8.28446143203855,Clean
ExplosionPhysicsForce,4,8.28446143203855,Clean
Explosive,7,8.28446143203855,Clean
ExtinguishableParticleSystem,5,8.28446143203855,Clean
FireLight,5,8.28446143203855,Clean
Hose,4,8.28446143203855,Clean
ParticleSystemMultiplier,2,8.28446143203855,Clean
SmokeParticles,1,8.28446143203855,Clean
WaterHoseParticles,5,8.28446143203855,Clean
ActivateTrigger,6,8.28446143203855,Clean
Mode,1,8.28446143203855,Clean
AutoMobileShaderSwitch,1,8.28446143203855,Clean
ReplacementDefinition,2,8.28446143203855,Clean
ReplacementList,2,8.28446143203855,Clean
ReplacementListDrawer,5,8.28446143203855,Clean
AutoMoveAndRotate,6,8.28446143203855,Clean
Vector3andSpace,3,8.28446143203855,Clean
CameraRefocus,6,8.28446143203855,Clean
CurveControlledBob,6,8.28446143203855,Clean
DragRigidbody,4,8.28446143203855,Clean
DynamicShadowSettings,5,8.28446143203855,Clean
FollowTarget,2,8.28446143203855,Clean
FOVKick,6,8.28446143203855,Clean
FPSCounter,4,8.28446143203855,Clean
LerpControlledBob,6,8.28446143203855,Clean
ObjectResetter,6,8.28446143203855,Clean
ParticleSystemDestroyer,6,8.28446143203855,Clean
PlatformSpecificContent,5,8.28446143203855,Clean
BuildTargetGroup,1,8.28446143203855,Clean
SimpleActivatorMenu,6,8.28446143203855,Clean
SimpleMouseRotator,6,8.28446143203855,Clean
SmoothFollow,4,8.28446143203855,Clean
TimedObjectActivator,5,8.28446143203855,Clean
Action,0,8.28446143203855,Clean
Entry,3,8.28446143203855,Clean
Entries,2,8.28446143203855,Clean
EntriesDrawer,6,8.28446143203855,Clean
TimedObjectDestructor,3,8.28446143203855,Clean
WaypointCircuit,8,8.28446143203855,Clean
WaypointList,3,8.28446143203855,Clean
RoutePoint,4,8.28446143203855,Clean
WaypointListDrawer,6,8.28446143203855,Clean
TransformNameComparer,1,8.28446143203855,Clean
WaypointProgressTracker,8,8.28446143203855,Clean
ProgressStyle,1,8.28446143203855,Clean
CrossPlatformInitialize,4,8.28446143203855,Clean
