Component,Threshold,Cutoff,Status
AxisTouchButton,7,7.336197636949516,Clean
ButtonHandler,6,7.336197636949516,Clean
CrossPlatformInputManager,8,7.336197636949516,Fault_proner
ActiveInputMethod,1,7.336197636949516,Clean
VirtualAxis,6,7.336197636949516,Clean
VirtualButton,7,7.336197636949516,Clean
InputAxisScrollbar,2,7.336197636949516,Clean
Joystick,7,7.336197636949516,Clean
AxisOption,1,7.336197636949516,Clean
MobileControlRig,3,7.336197636949516,Clean
TiltInput,6,7.336197636949516,Clean
AxisOptions,0,7.336197636949516,Clean
AxisMapping,3,7.336197636949516,Clean
MappingType,0,7.336197636949516,Clean
TiltInputAxisStylePropertyDrawer,1,7.336197636949516,Clean
TouchPad,7,7.336197636949516,Clean
ControlStyle,1,7.336197636949516,Clean
VirtualInput,9,7.336197636949516,Fault_proner
MobileInput,6,7.336197636949516,Clean
StandaloneInput,5,7.336197636949516,Clean
CrossPlatformInitialize,4,7.336197636949516,Clean
