Component,Threshold,Cutoff,Status
IVRSystem,3,7.896497858402622,Clean
IVRExtendedDisplay,2,7.896497858402622,Clean
IVRApplications,3,7.896497858402622,Clean
IVRChaperone,3,7.896497858402622,Clean
IVRChaperoneSetup,3,7.896497858402622,Clean
IVRCompositor,3,7.896497858402622,Clean
IVROverlay,3,7.896497858402622,Clean
IVRRenderModels,3,7.896497858402622,Clean
IVRNotifications,1,7.896497858402622,Clean
IVRSettings,3,7.896497858402622,Clean
IVRTrackedCamera,3,7.896497858402622,Clean
CVRSystem,6,7.896497858402622,Clean
CVRExtendedDisplay,6,7.896497858402622,Clean
CVRApplications,6,7.896497858402622,Clean
CVRChaperone,6,7.896497858402622,Clean
CVRChaperoneSetup,6,7.896497858402622,Clean
CVRCompositor,6,7.896497858402622,Clean
CVROverlay,6,7.896497858402622,Clean
CVRRenderModels,6,7.896497858402622,Clean
CVRNotifications,4,7.896497858402622,Clean
CVRSettings,6,7.896497858402622,Clean
CVRTrackedCamera,5,7.896497858402622,Clean
OpenVRInterop,4,7.896497858402622,Clean
EVREye,1,7.896497858402622,Clean
EGraphicsAPIConvention,1,7.896497858402622,Clean
EColorSpace,1,7.896497858402622,Clean
ETrackingResult,1,7.896497858402622,Clean
ETrackedDeviceClass,1,7.896497858402622,Clean
ETrackedControllerRole,1,7.896497858402622,Clean
ETrackingUniverseOrigin,1,7.896497858402622,Clean
ETrackedDeviceProperty,2,7.896497858402622,Clean
ETrackedPropertyError,1,7.896497858402622,Clean
EVRSubmitFlags,1,7.896497858402622,Clean
EVRState,0,7.896497858402622,Clean
EVREventType,2,7.896497858402622,Clean
EDeviceActivityLevel,1,7.896497858402622,Clean
EVRButtonId,1,7.896497858402622,Clean
EVRMouseButton,0,7.896497858402622,Clean
EVRControllerAxisType,1,7.896497858402622,Clean
EVRControllerEventOutputType,0,7.896497858402622,Clean
ECollisionBoundsStyle,0,7.896497858402622,Clean
EVROverlayError,1,7.896497858402622,Clean
EVRApplicationType,1,7.896497858402622,Clean
EVRFirmwareError,1,7.896497858402622,Clean
EVRNotificationError,1,7.896497858402622,Clean
EVRInitError,2,7.896497858402622,Clean
EVRApplicationError,1,7.896497858402622,Clean
EVRApplicationProperty,1,7.896497858402622,Clean
EVRApplicationTransitionState,1,7.896497858402622,Clean
ChaperoneCalibrationState,1,7.896497858402622,Clean
EChaperoneConfigFile,1,7.896497858402622,Clean
EChaperoneImportFlags,0,7.896497858402622,Clean
