Component,Threshold,Cutoff,Status
AAMode,1,5.818837916402151,Clean
Antialiasing,8,5.818837916402151,Fault_proner
Bloom,8,5.818837916402151,Fault_proner
LensFlareStyle,1,5.818837916402151,Clean
TweakMode,1,5.818837916402151,Clean
HDRBloomMode,1,5.818837916402151,Clean
BloomScreenBlendMode,1,5.818837916402151,Clean
BloomQuality,1,5.818837916402151,Clean
LensflareStyle34,1,5.818837916402151,Clean
TweakMode34,1,5.818837916402151,Clean
BloomAndFlares,8,5.818837916402151,Fault_proner
BloomOptimized,8,5.818837916402151,Fault_proner
Resolution,1,5.818837916402151,Clean
BlurType,1,5.818837916402151,Clean
Blur,7,5.818837916402151,Fault_proner
BlurOptimized,8,5.818837916402151,Fault_proner
CameraMotionBlur,8,5.818837916402151,Fault_proner
MotionBlurFilter,1,5.818837916402151,Clean
ColorCorrectionCurves,8,5.818837916402151,Fault_proner
ColorCorrectionMode,1,5.818837916402151,Clean
ColorCorrectionLookup,7,5.818837916402151,Fault_proner
ColorCorrectionRamp,1,5.818837916402151,Clean
ContrastEnhance,7,5.818837916402151,Fault_proner
ContrastStretch,6,5.818837916402151,Fault_proner
CreaseShading,7,5.818837916402151,Fault_proner
DepthOfField,8,5.818837916402151,Fault_proner
BlurSampleCount,1,5.818837916402151,Clean
DepthOfFieldDeprecated,8,5.818837916402151,Fault_proner
Dof34QualitySetting,1,5.818837916402151,Clean
DofResolution,1,5.818837916402151,Clean
DofBlurriness,1,5.818837916402151,Clean
BokehDestination,1,5.818837916402151,Clean
EdgeDetection,8,5.818837916402151,Fault_proner
EdgeDetectMode,1,5.818837916402151,Clean
Fisheye,7,5.818837916402151,Fault_proner
GlobalFog,7,5.818837916402151,Fault_proner
Grayscale,2,5.818837916402151,Clean
ImageEffectBase,6,5.818837916402151,Fault_proner
ImageEffects,5,5.818837916402151,Clean
MotionBlur,7,5.818837916402151,Fault_proner
NoiseAndGrain,7,5.818837916402151,Fault_proner
NoiseAndScratches,6,5.818837916402151,Fault_proner
PostEffectsBase,7,5.818837916402151,Fault_proner
PostEffectsHelper,3,5.818837916402151,Clean
Quads,5,5.818837916402151,Clean
ScreenOverlay,8,5.818837916402151,Fault_proner
OverlayBlendMode,1,5.818837916402151,Clean
ScreenSpaceAmbientObscurance,7,5.818837916402151,Fault_proner
ScreenSpaceAmbientOcclusion,6,5.818837916402151,Fault_proner
SSAOSamples,1,5.818837916402151,Clean
SepiaTone,1,5.818837916402151,Clean
SunShafts,8,5.818837916402151,Fault_proner
SunShaftsResolution,1,5.818837916402151,Clean
ShaftsScreenBlendMode,1,5.818837916402151,Clean
TiltShift,8,5.818837916402151,Fault_proner
TiltShiftMode,1,5.818837916402151,Clean
TiltShiftQuality,1,5.818837916402151,Clean
Tonemapping,8,5.818837916402151,Fault_proner
TonemapperType,1,5.818837916402151,Clean
AdaptiveTexSize,1,5.818837916402151,Clean
Triangles,3,5.818837916402151,Clean
Twirl,4,5.818837916402151,Clean
VignetteAndChromaticAberration,8,5.818837916402151,Fault_proner
AberrationMode,1,5.818837916402151,Clean
Vortex,4,5.818837916402151,Clean
IVRSystem,3,5.818837916402151,Clean
IVRExtendedDisplay,2,5.818837916402151,Clean
IVRApplications,3,5.818837916402151,Clean
IVRChaperone,3,5.818837916402151,Clean
IVRChaperoneSetup,3,5.818837916402151,Clean
IVRCompositor,3,5.818837916402151,Clean
IVROverlay,3,5.818837916402151,Clean
IVRRenderModels,3,5.818837916402151,Clean
IVRNotifications,1,5.818837916402151,Clean
IVRSettings,3,5.818837916402151,Clean
CVRSystem,6,5.818837916402151,Fault_proner
CVRExtendedDisplay,6,5.818837916402151,Fault_proner
CVRApplications,6,5.818837916402151,Fault_proner
CVRChaperone,6,5.818837916402151,Fault_proner
CVRChaperoneSetup,6,5.818837916402151,Fault_proner
CVRCompositor,6,5.818837916402151,Fault_proner
CVROverlay,6,5.818837916402151,Fault_proner
CVRRenderModels,6,5.818837916402151,Fault_proner
CVRNotifications,4,5.818837916402151,Clean
CVRSettings,6,5.818837916402151,Fault_proner
OpenVRInterop,4,5.818837916402151,Clean
EVREye,1,5.818837916402151,Clean
EGraphicsAPIConvention,1,5.818837916402151,Clean
EColorSpace,1,5.818837916402151,Clean
ETrackingResult,1,5.818837916402151,Clean
ETrackedDeviceClass,1,5.818837916402151,Clean
ETrackedControllerRole,1,5.818837916402151,Clean
ETrackingUniverseOrigin,1,5.818837916402151,Clean
ETrackedDeviceProperty,2,5.818837916402151,Clean
ETrackedPropertyError,1,5.818837916402151,Clean
EVRSubmitFlags,1,5.818837916402151,Clean
EVRState,0,5.818837916402151,Clean
EVREventType,2,5.818837916402151,Clean
EDeviceActivityLevel,1,5.818837916402151,Clean
EVRButtonId,1,5.818837916402151,Clean
EVRMouseButton,0,5.818837916402151,Clean
EVRControllerAxisType,1,5.818837916402151,Clean
EVRControllerEventOutputType,0,5.818837916402151,Clean
ECollisionBoundsStyle,0,5.818837916402151,Clean
EVROverlayError,1,5.818837916402151,Clean
EVRApplicationType,1,5.818837916402151,Clean
EVRFirmwareError,1,5.818837916402151,Clean
EVRNotificationError,1,5.818837916402151,Clean
EVRInitError,2,5.818837916402151,Clean
EVRApplicationError,1,5.818837916402151,Clean
EVRApplicationProperty,1,5.818837916402151,Clean
EVRApplicationTransitionState,1,5.818837916402151,Clean
ChaperoneCalibrationState,1,5.818837916402151,Clean
