Component,Threshold,Cutoff,Status
AssertionComponent,10,7.081959183673469,Fault_proner
IAssertionComponentConfigurator,3,7.081959183673469,Clean
AssertionException,2,7.081959183673469,Clean
Assertions,5,7.081959183673469,Clean
CheckMethod,1,7.081959183673469,Clean
ActionBase,10,7.081959183673469,Fault_proner
ActionBaseGeneric<T>,4,7.081959183673469,Clean
BoolComparer,0,7.081959183673469,Clean
ColliderComparer,2,7.081959183673469,Clean
CompareType,2,7.081959183673469,Clean
ComparerBase,11,7.081959183673469,Fault_proner
CompareToType,1,7.081959183673469,Clean
ComparerBaseGeneric<T>,0,7.081959183673469,Clean
"ComparerBaseGeneric<T1,T2>",7,7.081959183673469,Clean
FloatComparer,3,7.081959183673469,Clean
CompareTypes,1,7.081959183673469,Clean
GeneralComparer,3,7.081959183673469,Clean
IntComparer,2,7.081959183673469,Clean
IsRenderedByCamera,2,7.081959183673469,Clean
StringComparer,4,7.081959183673469,Clean
TransformComparer,2,7.081959183673469,Clean
ValueDoesNotChange,1,7.081959183673469,Clean
Vector2Comparer,3,7.081959183673469,Clean
Vector3Comparer,3,7.081959183673469,Clean
Vector4Comparer,3,7.081959183673469,Clean
VectorComparerBase<T>,0,7.081959183673469,Clean
InvalidPathException,0,7.081959183673469,Clean
MemberResolver,6,7.081959183673469,Clean
TestResultState,2,7.081959183673469,Clean
AssertionComponentEditor,6,7.081959183673469,Clean
AssertionExplorerWindow,7,7.081959183673469,Clean
FilterType,1,7.081959183673469,Clean
ShowType,1,7.081959183673469,Clean
GroupByType,1,7.081959183673469,Clean
IListRenderer,2,7.081959183673469,Clean
AssertionListRenderer<T>,5,7.081959183673469,Clean
Styles,4,7.081959183673469,Clean
DropDownControl<T>,6,7.081959183673469,Clean
GroupByComparerRenderer,1,7.081959183673469,Clean
GroupByExecutionMethodRenderer,1,7.081959183673469,Clean
CheckFunctionAssertionPair,4,7.081959183673469,Clean
GroupByGoRenderer,2,7.081959183673469,Clean
GroupByNothingRenderer,0,7.081959183673469,Clean
GroupByTestsRenderer,1,7.081959183673469,Clean
PropertyPathSelector,7,7.081959183673469,Clean
SelectedPathError,1,7.081959183673469,Clean
PropertyResolver,7,7.081959183673469,Clean
Icons,4,7.081959183673469,Clean
ProjectSettingsBase,4,7.081959183673469,Clean
ResultSummarizer,7,7.081959183673469,Clean
StackTraceFilter,3,7.081959183673469,Clean
XmlResultWriter,7,7.081959183673469,Clean
TestFilterSettings,8,7.081959183673469,Fault_proner
Batch,6,7.081959183673469,Clean
TestRunnerEventListener,7,7.081959183673469,Clean
GroupLine,10,7.081959183673469,Fault_proner
RenderingOptions,3,7.081959183673469,Clean
TestLine,10,7.081959183673469,Fault_proner
UnitTestRendererLine,10,7.081959183673469,Fault_proner
UnitTestView,6,7.081959183673469,Clean
GuiHelper,6,7.081959183673469,Clean
IUnitTestEngine,3,7.081959183673469,Clean
NUnitExtensions,1,7.081959183673469,Clean
NUnitTestEngine,8,7.081959183673469,Fault_proner
TestFilter,3,7.081959183673469,Clean
UnitTestInfo,6,7.081959183673469,Clean
UnitTestResult,4,7.081959183673469,Clean
UnitTestsRunnerSettings,6,7.081959183673469,Clean
ITestRunnerCallback,4,7.081959183673469,Clean
TestRunnerCallbackList,7,7.081959183673469,Clean
