Component,Threshold,Cutoff,Status
CameraIntrinsics,5,7.739129558953815,Clean
KinectBuffer,6,7.739129558953815,Clean
PointF,4,7.739129558953815,Clean
AudioBeamSubFrame,7,7.739129558953815,Clean
AudioBeamFrame,8,7.739129558953815,Fault_proner
BodyFrame,8,7.739129558953815,Fault_proner
Body,5,7.739129558953815,Clean
ColorFrame,8,7.739129558953815,Fault_proner
DepthFrame,8,7.739129558953815,Fault_proner
BodyIndexFrame,8,7.739129558953815,Fault_proner
InfraredFrame,8,7.739129558953815,Fault_proner
KinectSensor,9,7.739129558953815,Fault_proner
LongExposureInfraredFrame,8,7.739129558953815,Fault_proner
CoordinateMapper,8,7.739129558953815,Fault_proner
Activity,0,7.739129558953815,Clean
Appearance,0,7.739129558953815,Clean
AudioBeam,7,7.739129558953815,Clean
AudioBeamFrameArrivedEventArgs,5,7.739129558953815,Clean
AudioBeamFrameList,5,7.739129558953815,Clean
AudioBeamFrameReader,8,7.739129558953815,Fault_proner
AudioBeamFrameReference,6,7.739129558953815,Clean
AudioBeamMode,0,7.739129558953815,Clean
AudioBodyCorrelation,5,7.739129558953815,Clean
AudioSource,7,7.739129558953815,Clean
BodyFrameArrivedEventArgs,5,7.739129558953815,Clean
BodyFrameReader,8,7.739129558953815,Fault_proner
BodyFrameReference,6,7.739129558953815,Clean
BodyFrameSource,8,7.739129558953815,Fault_proner
BodyIndexFrameArrivedEventArgs,5,7.739129558953815,Clean
BodyIndexFrameReader,8,7.739129558953815,Fault_proner
BodyIndexFrameReference,6,7.739129558953815,Clean
BodyIndexFrameSource,7,7.739129558953815,Clean
CameraSpacePoint,5,7.739129558953815,Clean
ColorCameraSettings,5,7.739129558953815,Clean
ColorFrameArrivedEventArgs,5,7.739129558953815,Clean
ColorFrameReader,8,7.739129558953815,Fault_proner
ColorFrameReference,6,7.739129558953815,Clean
ColorFrameSource,8,7.739129558953815,Fault_proner
ColorImageFormat,1,7.739129558953815,Clean
ColorSpacePoint,5,7.739129558953815,Clean
CoordinateMappingChangedEventArgs,4,7.739129558953815,Clean
DepthFrameArrivedEventArgs,5,7.739129558953815,Clean
DepthFrameReader,8,7.739129558953815,Fault_proner
DepthFrameReference,6,7.739129558953815,Clean
DepthFrameSource,7,7.739129558953815,Clean
DepthSpacePoint,4,7.739129558953815,Clean
DetectionResult,0,7.739129558953815,Clean
Expression,0,7.739129558953815,Clean
FrameCapturedEventArgs,6,7.739129558953815,Clean
FrameCapturedStatus,0,7.739129558953815,Clean
FrameDescription,6,7.739129558953815,Clean
FrameEdges,0,7.739129558953815,Clean
FrameSourceTypes,0,7.739129558953815,Clean
HandState,0,7.739129558953815,Clean
InfraredFrameArrivedEventArgs,5,7.739129558953815,Clean
InfraredFrameReader,8,7.739129558953815,Fault_proner
InfraredFrameReference,6,7.739129558953815,Clean
InfraredFrameSource,7,7.739129558953815,Clean
IsAvailableChangedEventArgs,5,7.739129558953815,Clean
Joint,5,7.739129558953815,Clean
JointOrientation,5,7.739129558953815,Clean
JointType,1,7.739129558953815,Clean
KinectAudioCalibrationState,0,7.739129558953815,Clean
KinectCapabilities,0,7.739129558953815,Clean
KinectUnityAddinUtils,0,7.739129558953815,Clean
LongExposureInfraredFrameArrivedEventArgs,5,7.739129558953815,Clean
LongExposureInfraredFrameReader,8,7.739129558953815,Fault_proner
LongExposureInfraredFrameReference,6,7.739129558953815,Clean
LongExposureInfraredFrameSource,7,7.739129558953815,Clean
MultiSourceFrame,6,7.739129558953815,Clean
MultiSourceFrameArrivedEventArgs,5,7.739129558953815,Clean
MultiSourceFrameReader,8,7.739129558953815,Fault_proner
MultiSourceFrameReference,6,7.739129558953815,Clean
TrackingConfidence,0,7.739129558953815,Clean
TrackingState,4,7.739129558953815,Clean
Vector4,4,7.739129558953815,Clean
"CollectionMap<TKey,TValue>",0,7.739129558953815,Clean
EventPump,8,7.739129558953815,Fault_proner
ExceptionHelper,4,7.739129558953815,Clean
INativeWrapper,2,7.739129558953815,Clean
NativeObjectCache,6,7.739129558953815,Clean
NativeWrapper,0,7.739129558953815,Clean
SmartGCHandle,4,7.739129558953815,Clean
"ThreadSafeDictionary<TKey,TValue>",4,7.739129558953815,Clean
PropertyChangedEventArgs,6,7.739129558953815,Clean
Complex,6,7.739129558953815,Clean
Matrix,7,7.739129558953815,Clean
DefinitenessType,0,7.739129558953815,Clean
Arm,8,7.739129558953815,Fault_proner
Bone,8,7.739129558953815,Fault_proner
BoneType,1,7.739129558953815,Clean
ClockCorrelator,6,7.739129558953815,Clean
Config,7,7.739129558953815,Clean
ValueType,1,7.739129558953815,Clean
Controller,9,7.739129558953815,Fault_proner
PolicyFlag,1,7.739129558953815,Clean
CSharpExtensions,4,7.739129558953815,Clean
Device,7,7.739129558953815,Clean
DeviceType,0,7.739129558953815,Clean
DeviceList,6,7.739129558953815,Clean
DistortionData,4,7.739129558953815,Clean
LeapEvent,1,7.739129558953815,Clean
LeapEventArgs,3,7.739129558953815,Clean
FrameEventArgs,2,7.739129558953815,Clean
ImageEventArgs,2,7.739129558953815,Clean
