Component,Threshold,Cutoff,Status
AngledLookAtSurfaceCameraComponent,7,5.532360643471755,Fault_proner
CameraControlPoint,3,5.532360643471755,Clean
CameraComponent,2,5.532360643471755,Clean
CubeSurfaceComponent,7,5.532360643471755,Fault_proner
LookAtSurfaceCameraComponent,5,5.532360643471755,Clean
MoverComponent,2,5.532360643471755,Clean
MoverInputHandler,6,5.532360643471755,Fault_proner
PlaneMoverComponent,5,5.532360643471755,Clean
PlaneSurfaceComponent,8,5.532360643471755,Fault_proner
SphereMoverComponent,5,5.532360643471755,Clean
SphereSurfaceComponent,8,5.532360643471755,Fault_proner
SurfaceComponent,2,5.532360643471755,Clean
AABoxCameraBounds,8,5.532360643471755,Fault_proner
AngledLookAtSurfaceCamera,6,5.532360643471755,Fault_proner
CartesianCameraBounds,1,5.532360643471755,Clean
CubeSurface,7,5.532360643471755,Fault_proner
LerpCurve,6,5.532360643471755,Fault_proner
CurveControlPoint,6,5.532360643471755,Fault_proner
LerpCurveException,1,5.532360643471755,Clean
LookAtSurfaceCamera,9,5.532360643471755,Fault_proner
LookAtSurfaceCameraBounds,2,5.532360643471755,Clean
LookAtSurfaceCameraMover,4,5.532360643471755,Clean
PlaneMover,8,5.532360643471755,Fault_proner
PlaneSurface,7,5.532360643471755,Fault_proner
SphereMover,8,5.532360643471755,Fault_proner
SphereSurface,8,5.532360643471755,Fault_proner
Surface,4,5.532360643471755,Clean
